business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Dream boys hostel,Hostels,Student dormitory,Student dormitory,802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",N/A,N/A,4.0,,"kanakpuri, Station Road, Katira, Arrah, Bihar 802301",Katira,25.548318,84.6591236,ChIJSZ0PmBNfjTkRZU_MCC374mc,https://www.google.com/maps/place/?q=place_id:ChIJSZ0PmBNfjTkRZU_MCC374mc,part_377,2026-09-20 20:19:26
Vinayak Hostel & PG,Hostels,Student dormitory,"Student dormitory, Boys' hostel, Guest house, Student housing center, Working women's hostel, Youth Hostel",802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 70041 65562,https://vinayakhostel.com/,4.8,,"Banaras bank chowk, near Relaince smart bazar, Ibrahim Colony, Chandwara, Muzaffarpur, Bihar 842001","Ibrahim Colony, Chandwara",26.1273007,85.39822459999999,ChIJyc1R2C0R7TkRvB41LtLxfGY,https://www.google.com/maps/place/?q=place_id:ChIJyc1R2C0R7TkRvB41LtLxfGY,part_377,2026-09-20 20:19:27
Sarang Boys & Girls Hostel - Best Hostel & PG,Hostels,Boys' hostel,"Boys' hostel, Girls' hostel, Working women's hostel, Youth Hostel",802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 82980 08818,https://sites.google.com/view/saranghostel?usp=sharing,4.8,,"Pani Tanki, Boring Rd, near An College, North Sri Krishna Puri, Patna, Bihar 800001",North Sri Krishna Puri,25.620670699999998,85.10850909999999,ChIJjWKbukhZ7TkRxR0_4ZNWev0,https://www.google.com/maps/place/?q=place_id:ChIJjWKbukhZ7TkRxR0_4ZNWev0,part_377,2026-09-20 20:19:27
Shree Radhe Boy's & Girl's Hostel - Cheap and Best Hostel & PG,Hostels,Boys' hostel,"Boys' hostel, Girls' hostel, Working women's hostel",802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 70335 70048,https://shree-radhe-boys.localo.site/,4.9,,"check post, NearJamuna Apartment, Boring Rd, near sk puri, Anandpuri, Patna, Bihar 800013",Anandpuri,25.616194099999998,85.1146869,ChIJUzTLYU9Z7TkRN37GQLkpWyQ,https://www.google.com/maps/place/?q=place_id:ChIJUzTLYU9Z7TkRN37GQLkpWyQ,part_377,2026-09-20 20:19:27
BABU JAGJIVAN RAM KALYAN CHHATRAVAS,Hostels,Boys' hostel,Boys' hostel,802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",N/A,N/A,4.8,,"Sundar Nagar, Bastipur, Dehri, Bihar 821307","Sundar Nagar, Bastipur",24.8936264,84.1748774,ChIJCxA_4SWvjTkRQEukAMHqG9w,https://www.google.com/maps/place/?q=place_id:ChIJCxA_4SWvjTkRQEukAMHqG9w,part_377,2026-09-20 20:19:27
Memory-1_Boys Hostel _PG_Guest House_Patna,Hostels,Student dormitory,"Student dormitory, Guest house",802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 95762 10396,N/A,4.4,,"Opp: Curis Hospital, Judges Colony, Saguna Khagaul Rd, Saguna More, Danapur, Bihar 801503","Saguna More, Kaliket Nagar",25.6155907,85.0424393,ChIJ-3PiStJX7TkRtEWo2f1Muc0,https://www.google.com/maps/place/?q=place_id:ChIJ-3PiStJX7TkRtEWo2f1Muc0,part_377,2026-09-20 20:19:27
Maa Veena Boys Hostel,Hostels,Boys' hostel,Boys' hostel,802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 85400 49229,https://maaveenaboyshostel.netlify.app/,4.7,,"near Carbon Factory, South Shivpuri, Shivpuri, Rajbansi Nagar, Patna, Bihar 800023","South Shivpuri, Shivpuri, Rajbansi Nagar",25.6121593,85.1087106,ChIJzyFir51Z7TkRPfeARHi55_I,https://www.google.com/maps/place/?q=place_id:ChIJzyFir51Z7TkRPfeARHi55_I,part_377,2026-09-20 20:19:27
Dr. B R Ambedkar Hostel,Hostels,Student housing center,Student housing center,802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",N/A,N/A,4.5,,"Sadhapur, Chapra, Bihar 841301",Sadhapur,25.785607499999998,84.7318011,ChIJK_M24eG6kjkR5qpw2XEK18o,https://www.google.com/maps/place/?q=place_id:ChIJK_M24eG6kjkR5qpw2XEK18o,part_377,2026-09-20 20:19:27
APJ Abdul Kalam Boys Hostel,Hostels,Student dormitory,Student dormitory,802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",N/A,N/A,4.2,,"GVR2+C5H, Dayalpur Daulatpur, Bihar 801106",802162,25.5411634,84.85093049999999,ChIJE1YIewBXjTkR76N5meBISy8,https://www.google.com/maps/place/?q=place_id:ChIJE1YIewBXjTkR76N5meBISy8,part_377,2026-09-20 20:19:27
Bihar state boy's hostel,Hostels,Student dormitory,Student dormitory,802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 70043 13014,N/A,4.1,,"ashiyana digha road, 04, road, Indrapuri, Bihar 800014","Indirapuri Colony, Indrapuri",25.6142193,85.0852361,ChIJV70T_rpZ7TkReiHwxfzQDDM,https://www.google.com/maps/place/?q=place_id:ChIJV70T_rpZ7TkReiHwxfzQDDM,part_377,2026-09-20 20:19:27
