business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Govt. Approved CNG KIT Fitment Center Patna Unique Automobiles,CNG Kit Fitment Center,CNG Fitment Center,CNG Fitment Center,802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 99584 02494,https://www.facebook.com/share/1A9pTY6ojY/,4.9,1020.0,"Ashiana - Digha Rd, near Neelkanth Hospital, Indrapuri, Patna, Bihar 800025",Indrapuri,25.611825399999997,85.08198229999999,ChIJXSB4U3hX7TkRd_rJC6Z1sxg,https://www.google.com/maps/place/?q=place_id:ChIJXSB4U3hX7TkRd_rJC6Z1sxg,part_377,2026-09-20 20:19:17
CNG KIT PATNA CENTRE,CNG Kit Fitment Center,CNG Fitment Center,"CNG Fitment Center, Auto electrical service, Auto parts store, Auto repair shop, Auto Accessories Store, Car stereo store, Gas installation service, Gasfitter, LPG conversion, Oil & natural gas company",802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 87099 34836,https://cngkitcentersaddam.website3.me/,4.8,202.0,"Ashiana - Digha Rd, near don Bosco school, Yadav Colony, Patna, Bihar 800011",Yadav Colony,25.6352302,85.0863036,ChIJTSxfTQlZ7TkR6kVzTWYpztg,https://www.google.com/maps/place/?q=place_id:ChIJTSxfTQlZ7TkR6kVzTWYpztg,part_377,2026-09-20 20:19:17
Maa Gayatri Cng Kit Center,CNG Kit Fitment Center,CNG Fitment Center,CNG Fitment Center,802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 75498 39381,N/A,4.6,43.0,"Shiv Apprtment, Opp, Gayatri Mandir Rd, near Mount Carmel School, Housing Board Colony, Kankarbagh, Lohia Nagar, Patna, Bihar 800020","Housing Board Colony, Kankarbagh, Lohia Nagar",25.5976741,85.1545888,ChIJFwYSGq1Z7TkRV1Aw_ZZZVSg,https://www.google.com/maps/place/?q=place_id:ChIJFwYSGq1Z7TkRV1Aw_ZZZVSg,part_377,2026-09-20 20:19:17
Cng Kit Patna (NextGen Fuel Solution),CNG Kit Fitment Center,CNG Fitment Center,CNG Fitment Center,802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 72097 72101,N/A,4.8,153.0,"Rajapur Pul, Near Jal Board, Opp. Alankar Maruti Showroom Devata Path, West Boring Canal Rd, Patna, Bihar 800001",Buddha Colony,25.623687,85.1245567,ChIJLT3aSd9Z7TkRTTpSORhdAAg,https://www.google.com/maps/place/?q=place_id:ChIJLT3aSd9Z7TkRTTpSORhdAAg,part_377,2026-09-20 20:19:17
JMD FLEET & CNG KIT CENTRE (Nextgen fuel system),CNG Kit Fitment Center,CNG Fitment Center,CNG Fitment Center,802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 70041 63274,http://mijoautogas.co.in/,4.8,109.0,"Infront Of Kailash Tower, Bhagwanpur, Nh 28, Muzaffarpur, Bihar 842001","Alkapuri Colony, Bishundatpur",26.123058,85.3583137,ChIJf8I1nggR7TkRiN04PZ-g8Es,https://www.google.com/maps/place/?q=place_id:ChIJf8I1nggR7TkRiN04PZ-g8Es,part_377,2026-09-20 20:19:17
Best CNG Fitment Centre Patna - Sahasra Traders,CNG Kit Fitment Center,CNG Fitment Center,CNG Fitment Center,802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 62004 58464,https://sahasratradersbihar.com/,4.9,234.0,"Campus of Aureola Motors Old Rupashpur Thana More, Priyadarshi Nagar, Patna, Bihar 801503","Priyadarshi Nagar, Kaliket Nagar",25.6109594,85.05573009999999,ChIJQz8lwWxZ7TkRa6l8LqlrQfE,https://www.google.com/maps/place/?q=place_id:ChIJQz8lwWxZ7TkRa6l8LqlrQfE,part_377,2026-09-20 20:19:17
CNG KIT PATNA (NEXTGEN FUEL SYSTEM),CNG Kit Fitment Center,CNG Fitment Center,CNG Fitment Center,802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",N/A,N/A,4.8,22.0,"Kangkar Bagh Road, PC Colony, RBI Flats Colony, Bankman Colony, Patna, Bihar 800020","PC Colony, RBI Flats Colony, Bankman Colony",25.602741899999998,85.1534051,ChIJ16--0n9Z7TkRPGQ8MeLlZGU,https://www.google.com/maps/place/?q=place_id:ChIJ16--0n9Z7TkRPGQ8MeLlZGU,part_377,2026-09-20 20:19:17
CNG KIT CENTER,CNG Kit Fitment Center,CNG Fitment Center,CNG Fitment Center,802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 72097 72101,N/A,4.0,2.0,"H3V4+HQG Chulai chak, Mustafapur, Patna, Bihar 801503",Mustafapur,25.5939394,85.056967,ChIJdw1pFNhX7TkRz-lH8NNCIRo,https://www.google.com/maps/place/?q=place_id:ChIJdw1pFNhX7TkRz-lH8NNCIRo,part_377,2026-09-20 20:19:17
Aradhya enterprises CNG fiting centre,CNG Kit Fitment Center,CNG Fitment Center,CNG Fitment Center,802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 95825 26032,N/A,5.0,7.0,"Dhakka singh market, rice mill chowk, mranga, Purnia, Maranga, Bihar 854303",mranga,25.7415177,87.4609261,ChIJV-spo0357zkRHcyD0g6w0lo,https://www.google.com/maps/place/?q=place_id:ChIJV-spo0357zkRHcyD0g6w0lo,part_377,2026-09-20 20:19:17
PR CNG CENTER,CNG Kit Fitment Center,CNG Fitment Center,CNG Fitment Center,802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 98214 73503,https://youtube.com/@prcngcentre?si=FqQh6-_s1gVcGGBv,5.0,5.0,"Nh muzaffarpur मझौलिया चौक, Majhaulia Rd, दिनकर नगर, Chowk, Muzaffarpur, Bihar 842001","दिनकर नगर, Chowk",26.109093299999998,85.3657379,ChIJy89-WgAR7TkRoDzHc2TbMXU,https://www.google.com/maps/place/?q=place_id:ChIJy89-WgAR7TkRoDzHc2TbMXU,part_377,2026-09-20 20:19:17
