business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Tent Studio – Event Materials, Banquet Furniture, and Catering Equipment Supplier",Tent House and Shamiana,Tent House Supplier,"Tent House Supplier, Carpet wholesaler, Electronics wholesaler, Cooler Supplier, Wedding buffet",803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 77070 06012,http://www.tentstudio.in/,4.9,365.0,"Ashanagar Bypass Rd, opp. B.P.S. PUBLIC SCHOOL, Sohsarai, Bihar Sharif, Bihar 803118",Sohsarai,25.2197507,85.5047791,ChIJf7IWOuaN8jkRk--RFFkYKlo,https://www.google.com/maps/place/?q=place_id:ChIJf7IWOuaN8jkRk--RFFkYKlo,part_378,2026-09-20 20:19:30
Maa Santoshi Sound And Tent House,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 98350 96225,N/A,4.6,11.0,"Geeta Kunj, Nai Sarai Chowk, gali, Mohaddinagar, Bihar Sharif, Bihar 803101","Mohaddinagar, Naseerpur",25.206149999999997,85.52855819999999,ChIJ-9iy5q_08jkRXJNX__ZxJ6g,https://www.google.com/maps/place/?q=place_id:ChIJ-9iy5q_08jkRXJNX__ZxJ6g,part_378,2026-09-20 20:19:30
Sinha Tent House And DJ,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 93348 15810,N/A,4.4,8.0,"6G4J+9PQ, Station Road, Nai Sarai, Bihar Sharif, Bihar 803101",Nai Sarai,25.2059692,85.53185409999999,ChIJXS42arD08jkR7DDqHzceyOI,https://www.google.com/maps/place/?q=place_id:ChIJXS42arD08jkR7DDqHzceyOI,part_378,2026-09-20 20:19:30
Sajan Sound And Tent House,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 84090 78722,N/A,4.7,15.0,"Telephone Exchange Road, Bhaisasur, Bihar Sharif, Bihar 803101",Bhaisasur,25.2044115,85.5203296,ChIJd8vLAKj08jkRrWrZRyVOV-o,https://www.google.com/maps/place/?q=place_id:ChIJd8vLAKj08jkRrWrZRyVOV-o,part_378,2026-09-20 20:19:30
Maa tent house and decoration,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 91221 00124,N/A,5.0,1.0,"near dalmia cement godown, talabpar, Ashanagar, Bihar Sharif, Bihar 803118","talabpar, Ashanagar",25.2187891,85.50491459999999,ChIJXVR4gbOM8jkRqWFdkK5cIAg,https://www.google.com/maps/place/?q=place_id:ChIJXVR4gbOM8jkRqWFdkK5cIAg,part_378,2026-09-20 20:19:30
Deva tent house,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 78707 74460,N/A,4.7,6.0,"Bari Pahari, Bihar Sharif, Bihar 803118",Bari Pahari,25.2031271,85.5065036,ChIJeZvbN6Dz8jkRtFVgmn4NvpM,https://www.google.com/maps/place/?q=place_id:ChIJeZvbN6Dz8jkRtFVgmn4NvpM,part_378,2026-09-20 20:19:30
Verma Tent House Bari Pahari,Tent House and Shamiana,Store,Store,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 75418 77494,http://tentbooking.in/,4.5,2.0,"Bari Pahari, Bihar Sharif, Bihar 803118",Bari Pahari,25.204317099999997,85.5089764,ChIJRx0190_z8jkRF85wEJsjNpk,https://www.google.com/maps/place/?q=place_id:ChIJRx0190_z8jkRF85wEJsjNpk,part_378,2026-09-20 20:19:30
MAA LAKHSMI MONU DJ TENTHOUSE,Tent House and Shamiana,Photography studio,Photography studio,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,5.0,1.0,"86J8+QFV, Pabheri - Hilsa Rd, Maranchi, Bihar 801302",803116,25.3320603,85.2161625,ChIJp2iWKwC98jkR-WgFSfblKyU,https://www.google.com/maps/place/?q=place_id:ChIJp2iWKwC98jkR-WgFSfblKyU,part_378,2026-09-20 20:19:30
Surbhi tent house,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,,,"7HF5+4JH, Rahui, Bihar 803119",803116,25.2728181,85.559097,ChIJcUydxRqL8jkRzAh-EuU_1bM,https://www.google.com/maps/place/?q=place_id:ChIJcUydxRqL8jkRzAh-EuU_1bM,part_378,2026-09-20 20:19:30
Apna Tent House,Tent House and Shamiana,Tent House Supplier,"Tent House Supplier, Event management company",803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 93040 36920,N/A,4.2,5.0,"near State Bank, Bari Pahari, Bihar Sharif, Bihar 803118",Bari Pahari,25.2037734,85.5083744,ChIJxbMCYEXz8jkRnMew-LID-ME,https://www.google.com/maps/place/?q=place_id:ChIJxbMCYEXz8jkRnMew-LID-ME,part_378,2026-09-20 20:19:30
Shamiyana Tent House,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 70045 61005,N/A,4.2,15.0,"QQJ2+728, Chapra - Patna Hwy, Chota Telpa, Chapra, Bihar 841301",Chota Telpa,25.780658499999998,84.7500804,ChIJDdAMMsC6kjkRqHSpSK8IymU,https://www.google.com/maps/place/?q=place_id:ChIJDdAMMsC6kjkRqHSpSK8IymU,part_378,2026-09-20 20:19:30
Nalanda Tent House,Tent House and Shamiana,Party planner,Party planner,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 91100 66207,N/A,5.0,2.0,"Durga Sthan Rd, Hilsa, Bihar 801302",803116,25.315521099999998,85.2809484,ChIJT3YRE-WX8jkREFPgdWHoBsM,https://www.google.com/maps/place/?q=place_id:ChIJT3YRE-WX8jkREFPgdWHoBsM,part_378,2026-09-20 20:19:30
Sajan lights&DJ and Pandal electrical,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,4.7,3.0,"Main road, opposite of PNB, Nur Sarai, Bihar 803113",803116,25.2764113,85.4555891,ChIJ0ZD2_jON8jkRGXCWjGisWik,https://www.google.com/maps/place/?q=place_id:ChIJ0ZD2_jON8jkRGXCWjGisWik,part_378,2026-09-20 20:19:30
Tridev sound and pandaal,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 91358 54994,N/A,5.0,1.0,"Kundwapar, more, opposite Kali Sthan, before, Aungari, Ekangardih, Bihar 801301",before,25.218578299999997,85.25087669999999,ChIJ25EtbUu_8jkRvM9Xu6PjzEQ,https://www.google.com/maps/place/?q=place_id:ChIJ25EtbUu_8jkRvM9Xu6PjzEQ,part_378,2026-09-20 20:19:30
Delhi Light And Tent House,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 97089 45871,N/A,4.8,4.0,"Chowk, Naisarai Main Rd, Amber, Bihar Sharif, Bihar 803101",Amber,25.2060279,85.527172,ChIJ1zaXDK_08jkRSHns3S0_ncY,https://www.google.com/maps/place/?q=place_id:ChIJ1zaXDK_08jkRSHns3S0_ncY,part_378,2026-09-20 20:19:30
GANPATI DECORATORS,Tent House and Shamiana,Tent House Supplier,"Tent House Supplier, Lighting products wholesaler",803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 79033 46616,http://ganpatidecorators.business.site/,4.2,,"Karunabag, Sohsarai, Bihar Sharif, Bihar 803118","Karunabag, Sohsarai",25.2205668,85.5144649,ChIJL9kd86uM8jkRfxfhL2ITgsk,https://www.google.com/maps/place/?q=place_id:ChIJL9kd86uM8jkRfxfhL2ITgsk,part_378,2026-09-20 20:19:30
Shubham Dj Tent house makrauta,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 70618 44864,N/A,5.0,,"Devasthan Dj, Makrouta, Patna, Bihar 801304",803116,25.3676997,85.23305909999999,ChIJGyfwpYG98jkRHSP3fLLpvQ4,https://www.google.com/maps/place/?q=place_id:ChIJGyfwpYG98jkRHSP3fLLpvQ4,part_378,2026-09-20 20:19:30
Kavyansh tent,Tent House and Shamiana,Housing complex,Housing complex,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 84094 37239,N/A,5.0,1.0,"985Q+22G, Saidanpur Sakraura, Bihar 801305",803116,25.3575618,85.33757609999999,ChIJjex-SQCX8jkRrMI9Z5MOh0U,https://www.google.com/maps/place/?q=place_id:ChIJjex-SQCX8jkRrMI9Z5MOh0U,part_378,2026-09-20 20:19:31
Bhartiya Shamiyana Tent Contractor,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 98520 86823,N/A,5.0,3.0,"Patther Ki Masjid, Patna, Bihar 800006","New Khajoorbanna, Muhammadpur",25.6144209,85.1856835,ChIJHSC90MpZ7TkRpMwcBhJVM6U,https://www.google.com/maps/place/?q=place_id:ChIJHSC90MpZ7TkRpMwcBhJVM6U,part_378,2026-09-20 20:19:31
