business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Gaytri automation,Industrial Equipment Suppliers,Welding supply store,Welding supply store,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 85390 34454,N/A,5.0,,"near sivani holl, Dangi Tola, Rajgir, Bihar 803116",Dangi Tola,25.0307097,85.42305429999999,ChIJMZSPHRHv8jkR11Ee42jPozw,https://www.google.com/maps/place/?q=place_id:ChIJMZSPHRHv8jkR11Ee42jPozw,part_378,2026-09-20 20:19:41
Vikash J.C.B,Industrial Equipment Suppliers,Construction equipment supplier,Construction equipment supplier,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 82109 84157,N/A,4.3,,"NH-82, Silao, Bihar 803117",803116,25.082670399999998,85.4303295,ChIJOaBKdy_u8jkRgn9_jcID4MQ,https://www.google.com/maps/place/?q=place_id:ChIJOaBKdy_u8jkRgn9_jcID4MQ,part_378,2026-09-20 20:19:41
Rajgir Ice Factory,Industrial Equipment Suppliers,Ice supplier,Ice supplier,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 79820 74599,N/A,3.5,,"near Indo Hokke Hotel, Rajgir, Bihar 803116",803116,25.014488999999998,85.4072609,ChIJKcvJGUfl8jkRcy3z_06EgkE,https://www.google.com/maps/place/?q=place_id:ChIJKcvJGUfl8jkRcy3z_06EgkE,part_378,2026-09-20 20:19:41
Vishwakarma Traders,Industrial Equipment Suppliers,Aluminium Supplier,Aluminium Supplier,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 75648 50693,N/A,5.0,,"NH120, Silao Bypaas Road, Silao, Bihar 803117",803116,25.0792397,85.4285098,ChIJM3sUQjDv8jkR5GaNqDVNadM,https://www.google.com/maps/place/?q=place_id:ChIJM3sUQjDv8jkR5GaNqDVNadM,part_378,2026-09-20 20:19:41
Patharkatti,Industrial Equipment Suppliers,Marble supplier,Marble supplier,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,,,"X6C3+X96, Patharkatti, Bihar 823311",803116,24.9724219,85.2033849,ChIJzVX9VgDd8jkRGGhCJk-ozDs,https://www.google.com/maps/place/?q=place_id:ChIJzVX9VgDd8jkRGGhCJk-ozDs,part_378,2026-09-20 20:19:41
Raees Test Equipment Research & Custom Centre,Industrial Equipment Suppliers,Manufacturer,Manufacturer,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,,,"510, Sarbahada, Bihar 823311",803116,25.0170614,85.2216835,ChIJzzGlam7d8jkRkNTbMjMnNiM,https://www.google.com/maps/place/?q=place_id:ChIJzzGlam7d8jkRkNTbMjMnNiM,part_378,2026-09-20 20:19:41
Tractor Repair machine,Industrial Equipment Suppliers,Tractor repair shop,Tractor repair shop,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 77399 45662,N/A,5.0,,"near Srijan Honda showroom, Pavapuri, Bihar, 803115",803116,25.0826441,85.53144879999999,ChIJC2jP-TP38jkRtEJ3m0nXZnA,https://www.google.com/maps/place/?q=place_id:ChIJC2jP-TP38jkRtEJ3m0nXZnA,part_378,2026-09-20 20:19:41
Eastman Dealer - Y. Ss Enterprises,Industrial Equipment Suppliers,Battery Store,"Battery Store, Battery Wholesaler, Solar energy system service, Solar energy equipment supplier, Solar panel maintenance service",803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 674 674 6156,https://eastmanbattery.in/,,,"Silo Moll, Silao, Bihar 803117",803116,25.0821452,85.4278226,ChIJxV105Qrv8jkR8SsUBMk4UQI,https://www.google.com/maps/place/?q=place_id:ChIJxV105Qrv8jkR8SsUBMk4UQI,part_378,2026-09-20 20:19:41
Eastman Dealer - Sonu Enterprises,Industrial Equipment Suppliers,Battery Store,"Battery Store, Battery Wholesaler, Solar energy system service, Solar energy equipment supplier, Solar panel maintenance service",803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 84347 07099,https://eastmanbattery.in/,,,"Chowk, Silao, Bihar 803117",Chowk,25.081748899999997,85.42849819999999,ChIJC47Y_Izv8jkRQOiXQeD81Is,https://www.google.com/maps/place/?q=place_id:ChIJC47Y_Izv8jkRQOiXQeD81Is,part_378,2026-09-20 20:19:41
Narendra Industries,Industrial Equipment Suppliers,Manufacturer,Manufacturer,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 93341 24514,https://www.narendraindustries.in/,5.0,12.0,"Indralok nagar, agamkuan, Bihar 800008",Ranipur,25.592312099999997,85.1982448,ChIJ-5OCeKNf7TkRORoteUnYKFY,https://www.google.com/maps/place/?q=place_id:ChIJ-5OCeKNf7TkRORoteUnYKFY,part_378,2026-09-20 20:19:42
Chanchala Traders,Industrial Equipment Suppliers,Machining manufacturer,Machining manufacturer,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 93860 34007,https://chanchalatraders.in/,4.6,195.0,"Shop No. 1, J45R+6CF Abhishek Plaza, Exhibition Rd, Station Road, Fraser Road Area, Patna, Bihar 800001","Station Road, Fraser Road Area",25.607902,85.1411351,ChIJ4aDsuF1Y7TkRp5SgQf3PN98,https://www.google.com/maps/place/?q=place_id:ChIJ4aDsuF1Y7TkRp5SgQf3PN98,part_378,2026-09-20 20:19:42
ARMind Industries,Industrial Equipment Suppliers,Machining manufacturer,Machining manufacturer,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 94318 15446,https://www.armindindustries.com/,4.6,143.0,"H5M6+RJP, Bhagalpur - Patna Rd, East Lakshmi Nagar, Ramkrishan Nagar, Patna, Bihar 800026","East Lakshmi Nagar, Ramkrishan Nagar",25.5850767,85.162509,ChIJy8tPfxRZ7TkRIAVzHc96O2Q,https://www.google.com/maps/place/?q=place_id:ChIJy8tPfxRZ7TkRIAVzHc96O2Q,part_378,2026-09-20 20:19:42
Shukla Industries & Engineering,Industrial Equipment Suppliers,Agricultural Engineer,"Agricultural Engineer, Agricultural machinery manufacturer, Agricultural Product Wholesaler",803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 72928 62533,https://www.facebook.com/share/1745P89sVo/,5.0,3.0,"Grand Trunk Rd, near Hotel Rohit International, Mico, Dilia, Sasaram, Bihar 821115","Mico, Dilia",24.9547022,84.033187,ChIJa4ythDuxjTkRxdGR5O9vM68,https://www.google.com/maps/place/?q=place_id:ChIJa4ythDuxjTkRxdGR5O9vM68,part_378,2026-09-20 20:19:42
Parash murti kala Kendra patharkatti,Industrial Equipment Suppliers,Marble supplier,Marble supplier,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 90315 42170,N/A,5.0,1.0,"Patharkatti, Bihar 823311",803116,24.9743328,85.2035384,ChIJm2oiPwDd8jkRl39f0b7tRkc,https://www.google.com/maps/place/?q=place_id:ChIJm2oiPwDd8jkRl39f0b7tRkc,part_378,2026-09-20 20:19:42
MSS Engineering and Industrial Equipment,Industrial Equipment Suppliers,Construction equipment supplier,"Construction equipment supplier, Construction machine rental service, Construction Material Wholesaler, Manufacturer, Material handling equipment supplier, Tool manufacturer",803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 80 4896 1738,https://mssengineering.in/,4.9,103.0,"156, Thambu Chetty St, Parry's Corner, George Town, Chennai, Tamil Nadu 600001","Parry's Corner, George Town",13.0893409,80.2884661,ChIJFTuO_WlvUjoR__NFu1p3U2k,https://www.google.com/maps/place/?q=place_id:ChIJFTuO_WlvUjoR__NFu1p3U2k,part_378,2026-09-20 20:19:42
M/s Rajgir Khad Bhandar,Industrial Equipment Suppliers,Fertilizer Store,Fertilizer Store,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 90513 66637,N/A,4.3,6.0,"2CHG+6QJ, Griyak Road, Dhoni Tola, Rajgir, Bihar 803116",Dhoni Tola,25.0280789,85.42689229999999,ChIJIxWxZvfv8jkRlECWPhrYgcY,https://www.google.com/maps/place/?q=place_id:ChIJIxWxZvfv8jkRlECWPhrYgcY,part_378,2026-09-20 20:19:42
Industrial Equipment Company,Industrial Equipment Suppliers,Industrial equipment supplier,Industrial equipment supplier,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 99949 19950,https://www.industrialequipment.co.in/,4.7,12.0,"Thottarayan Koil St, Kattoor, Anupperpalayam, Ram Nagar, Coimbatore, Tamil Nadu 641009","Kattoor, Anupperpalayam, Ram Nagar",11.006469,76.9658578,ChIJHaHyuKlZqDsRaSad_AyPbiE,https://www.google.com/maps/place/?q=place_id:ChIJHaHyuKlZqDsRaSad_AyPbiE,part_378,2026-09-20 20:19:42
M/S Sudarshan Krishi Kendra,Industrial Equipment Suppliers,Agricultural Seed Store,"Agricultural Seed Store, Fertilizer Store, Pest control service",803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,https://whatsapp.com/channel/0029Vb7P7dmCXC3TlardbV16,4.8,23.0,"Oppo Post Office, Sarbahada, Khushahalpur, Bihar 823311",803116,25.0089196,85.2239152,ChIJq8WVrIbd8jkRTfzfdTFbtY8,https://www.google.com/maps/place/?q=place_id:ChIJq8WVrIbd8jkRTfzfdTFbtY8,part_378,2026-09-20 20:19:42
ACE TRACTOR NARDIGANJ (BAIBHAV TRACTOR),Industrial Equipment Suppliers,Tractor dealer,Tractor dealer,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 80921 03656,N/A,5.0,2.0,"Nardiganj, Gotrayan, Bihar 805109",803116,24.945985699999998,85.4340033,ChIJD36mhxDl8jkRnhv-dsNNM7Y,https://www.google.com/maps/place/?q=place_id:ChIJD36mhxDl8jkRnhv-dsNNM7Y,part_378,2026-09-20 20:19:42
Akash furniture house and CNC router machine,Industrial Equipment Suppliers,Manufacturer,Manufacturer,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 79911 24756,N/A,5.0,3.0,"803116, Sabji Mandi Rd, Par, Rajgir, Bihar 803116",Par,25.027895299999997,85.4259532,ChIJZwqQHrj78jkRkMTkpEk3oHU,https://www.google.com/maps/place/?q=place_id:ChIJZwqQHrj78jkRkMTkpEk3oHU,part_378,2026-09-20 20:19:42
Ganga electric & bij Bhandar,Industrial Equipment Suppliers,Electronic parts supplier,Electronic parts supplier,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 76673 66432,N/A,,,"Main road bhui, Silao, Bihar 803117",803116,25.0910771,85.3888638,ChIJW7Xu6Xvv8jkRS49IvJvolhc,https://www.google.com/maps/place/?q=place_id:ChIJW7Xu6Xvv8jkRS49IvJvolhc,part_378,2026-09-20 20:19:42
Eastman Dealer - Sonu Electronics,Industrial Equipment Suppliers,Battery Store,"Battery Store, Battery Wholesaler, Solar energy system service, Solar energy equipment supplier",803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 82106 49622,https://eastmanbattery.in/,,,"Khudaganj, Maidi Kalan, Bihar 801303",803116,25.089414299999998,85.25160369999999,ChIJTdomdTbD8jkRLwKkCQ0A9NE,https://www.google.com/maps/place/?q=place_id:ChIJTdomdTbD8jkRLwKkCQ0A9NE,part_378,2026-09-20 20:19:43
