business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
chanchala poultry farm,Meat and Poultry Shop,Poultry farm,Poultry farm,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,4.8,,"Jalalpur, Nirpur, Bihar 803111",Jalalpur,25.1432781,85.420048,ChIJo44yw5Tt8jkRaOrNGwupNuY,https://www.google.com/maps/place/?q=place_id:ChIJo44yw5Tt8jkRaOrNGwupNuY,part_378,2026-09-20 20:19:08
Ak poultry farm,Meat and Poultry Shop,Poultry farm,Poultry farm,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,5.0,,"Village gaurbigha, Silao, Bihar 803117",803116,25.0777596,85.4258979,ChIJZbaFLCjv8jkREs09IFEXU-M,https://www.google.com/maps/place/?q=place_id:ChIJZbaFLCjv8jkREs09IFEXU-M,part_378,2026-09-20 20:19:08
Nalanda poultry farm,Meat and Poultry Shop,Farm,Farm,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 99346 11389,N/A,4.1,,"4CVC+57H, Jalalpur, Nirpur, Bihar 803111",803116,25.1429382,85.4207199,ChIJ65dQx5Xt8jkRsFHtjcYgIVs,https://www.google.com/maps/place/?q=place_id:ChIJ65dQx5Xt8jkRsFHtjcYgIVs,part_378,2026-09-20 20:19:08
Binay Egg Farm,Meat and Poultry Shop,Poultry farm,Poultry farm,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,5.0,,"Dumrawa, Bihar Sharif, Dumrawan, Bihar 803111",Dumrawa,25.1774599,85.46798129999999,ChIJvYhR93vz8jkR7FnpdzXNayo,https://www.google.com/maps/place/?q=place_id:ChIJvYhR93vz8jkR7FnpdzXNayo,part_378,2026-09-20 20:19:08
Rajiv Poultry Farm,Meat and Poultry Shop,Poultry farm,Poultry farm,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 99340 45932,N/A,4.6,,"Bihar Ekangarsarai, Road, Badraj, Bihar 801301",803116,25.216731,85.26698069999999,ChIJXQjaz3G_8jkRyGaKb0fegcI,https://www.google.com/maps/place/?q=place_id:ChIJXQjaz3G_8jkRyGaKb0fegcI,part_378,2026-09-20 20:19:08
Raju poultry,Meat and Poultry Shop,Poultry farm,"Poultry farm, Fishing store",803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,5.0,,"XG27+8Q, Bhadokhara, Bihar 805123",803116,24.950754999999997,85.51441,ChIJGSJG7t778jkR56V-DoBq0M0,https://www.google.com/maps/place/?q=place_id:ChIJGSJG7t778jkR56V-DoBq0M0,part_378,2026-09-20 20:19:08
AASHIRWAD EC EQUIPMENT SERVICES,Meat and Poultry Shop,Poultry farm,Poultry farm,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 82523 53667,https://www.aees.com/,5.0,,"Bus 🚌 Stand, Ranchi Rd, Durgasthan, Bihar Sharif, Bihar 803101",Durgasthan,25.2001739,85.5190035,ChIJxwHo8Svz8jkRjD6JZR_TnUI,https://www.google.com/maps/place/?q=place_id:ChIJxwHo8Svz8jkRjD6JZR_TnUI,part_378,2026-09-20 20:19:08
BABA POULTRY FARM,Meat and Poultry Shop,Poultry farm,Poultry farm,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,,,"Bindi Dih, Bihar 803109",803116,25.0687625,85.50404689999999,ChIJFUmuZwDx8jkRp4ZFmoukAZ4,https://www.google.com/maps/place/?q=place_id:ChIJFUmuZwDx8jkRp4ZFmoukAZ4,part_378,2026-09-20 20:19:08
Sian Agro Industries,Meat and Poultry Shop,Poultry farm,Poultry farm,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 97586 00671,N/A,4.6,,"Vill-Sirsi,P.O-Sirsi Dihra,P.S-Harnaut,Dist- Nalanda Sian Agro Lane Sirsi Village Road, Harnaut, Bihar 803110",803116,25.401822799999998,85.4797964,ChIJ8ZAhbDiP8jkRqescoW1ROyI,https://www.google.com/maps/place/?q=place_id:ChIJ8ZAhbDiP8jkRqescoW1ROyI,part_378,2026-09-20 20:19:08
Champaran meat house,Meat and Poultry Shop,North Indian restaurant,North Indian restaurant,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 98358 18550,N/A,3.4,,"Devisarai, Bihar Sharif, Bihar 803216",Devisarai,25.198342999999998,85.5030872,ChIJuQBaVefz8jkRUQiSbfdJais,https://www.google.com/maps/place/?q=place_id:ChIJuQBaVefz8jkRUQiSbfdJais,part_378,2026-09-20 20:19:08
NAGMANI POULTRY FARM,Meat and Poultry Shop,Chicken & Mutton Shop,Chicken & Mutton Shop,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,5.0,,"29C5+XGW, Thera, Bihar 803116",803116,25.022476899999997,85.35881409999999,ChIJ06RALgDv8jkRHIfEF3khqDY,https://www.google.com/maps/place/?q=place_id:ChIJ06RALgDv8jkRHIfEF3khqDY,part_378,2026-09-20 20:19:08
Shivansh poultry farm & services,Meat and Poultry Shop,Chicken & Mutton Shop,Chicken & Mutton Shop,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,,,"389X+3J7 Birju Bigha, Gobdiha, Bihar 803116",803116,25.0676545,85.3490375,ChIJgQ2ZEQDp8jkR7MKuO8QeAMA,https://www.google.com/maps/place/?q=place_id:ChIJgQ2ZEQDp8jkR7MKuO8QeAMA,part_378,2026-09-20 20:19:08
Vikash Poultry farm (Satokhari) saur,Meat and Poultry Shop,Chicken & Mutton Shop,Chicken & Mutton Shop,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,,,"3C93+MMM, Kahta, Katha, Bihar 803117",803116,25.0692137,85.4041757,ChIJl852XADv8jkRe0GbtIyZqBI,https://www.google.com/maps/place/?q=place_id:ChIJl852XADv8jkRe0GbtIyZqBI,part_378,2026-09-20 20:19:08
Hasan Meat Shop,Meat and Poultry Shop,Chicken & Mutton Shop,Chicken & Mutton Shop,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 62075 49711,https://hasan-meat-shop.grexa.site/,4.9,,"Shop no 1, Meat Market, Boring Rd, Kidwaipuri, Patna, Bihar 800001",Kidwaipuri,25.6134658,85.1193012,ChIJD-3LGgBZ7TkRNlHYpcCVWBI,https://www.google.com/maps/place/?q=place_id:ChIJD-3LGgBZ7TkRNlHYpcCVWBI,part_378,2026-09-20 20:19:08
Purana Champaran Meat House,Meat and Poultry Shop,Chicken & Mutton Shop,"Chicken & Mutton Shop, Indian restaurant, Restaurant",803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 93082 42514,N/A,4.6,,"GVM4+RJ5, Dilawarpur, Bihar 801103",803116,25.5353381,84.8569014,ChIJRTkjAq1VjTkRBIIFxVXN27c,https://www.google.com/maps/place/?q=place_id:ChIJRTkjAq1VjTkRBIIFxVXN27c,part_378,2026-09-20 20:19:08
Uttam Murga Farm,Meat and Poultry Shop,Poultry farm,Poultry farm,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 78083 93888,N/A,4.8,,"Ward No, 8M4W+7J4, 16, Bind - Sak Sohara - Barh Rd, Mirachak, Bihar 803214",803116,25.3055053,85.6947296,ChIJVVVVZaVm8jkREZaWqAl2jKU,https://www.google.com/maps/place/?q=place_id:ChIJVVVVZaVm8jkREZaWqAl2jKU,part_378,2026-09-20 20:19:09
