business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Upadhyay Hardware and Sanitory stor,Hardware Store,Hardware store,Hardware store,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 93347 70998,N/A,4.3,4.0,"basera hotel, Bus stand, Bihar Sharif - Rajgir Rd, Dangi Tola, Rajgir, Bihar 803116",Dangi Tola,25.0276741,85.4174527,ChIJwziiHIzv8jkR0TG71I7gqCg,https://www.google.com/maps/place/?q=place_id:ChIJwziiHIzv8jkR0TG71I7gqCg,part_378,2026-09-20 20:19:23
Muskan hardware and sanitary,Hardware Store,Hardware store,Hardware store,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,5.0,2.0,"gate, Nai Pokhar, Rajgir, Bihar 803116",gate,25.0283581,85.428907,ChIJVUEbRwLv8jkRUpJdDYYOVoU,https://www.google.com/maps/place/?q=place_id:ChIJVUEbRwLv8jkRUpJdDYYOVoU,part_378,2026-09-20 20:19:23
हार्डवेयर राजगीर,Hardware Store,Hardware store,Hardware store,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,5.0,1.0,"2CP9+58H, Rajgir, Bihar 803116",Rajgir,25.0354341,85.4183742,ChIJ2SN8fwDv8jkR6tXGLpSq4xw,https://www.google.com/maps/place/?q=place_id:ChIJ2SN8fwDv8jkR6tXGLpSq4xw,part_378,2026-09-20 20:19:23
Public Hardware and sanitary store,Hardware Store,Hardware store,Hardware store,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 79838 31011,N/A,5.0,1.0,"Dharamshala Rd, Bangali Para, Rajgir, Bihar 803116",Bangali Para,25.0262033,85.42061629999999,ChIJuTyNxlXv8jkRaCBQfX5G22g,https://www.google.com/maps/place/?q=place_id:ChIJuTyNxlXv8jkRaCBQfX5G22g,part_378,2026-09-20 20:19:23
hari om sales ply,Hardware Store,Hardware store,Hardware store,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 93045 76269,N/A,4.8,23.0,"Rdh, Rajgir, Bihar 803116",Rdh,25.0258427,85.41248499999999,ChIJq28D8drv8jkRqYVITnA7nP0,https://www.google.com/maps/place/?q=place_id:ChIJq28D8drv8jkRqYVITnA7nP0,part_378,2026-09-20 20:19:23
Apna Hardware,Hardware Store,Hardware store,Hardware store,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 92045 07570,N/A,5.0,1.0,"2CGC+P6X, Road, Main Bazar, Rajgir, Bihar 803116",Dangi Tola,25.0268537,85.42060719999999,ChIJxbuc7vbv8jkRJYRPkSD8c3w,https://www.google.com/maps/place/?q=place_id:ChIJxbuc7vbv8jkRJYRPkSD8c3w,part_378,2026-09-20 20:19:23
Mahadev Traders,Hardware Store,Hardware store,Hardware store,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 80845 47377,N/A,5.0,1.0,"544 Rajgur Bazar, Chhabilapur - Parwalpur Rd, Bihar Sharif, Rajgir, Bihar 803116",803116,25.022754,85.4061162,ChIJq-3YBWXl8jkRY3Yv4STMo9g,https://www.google.com/maps/place/?q=place_id:ChIJq-3YBWXl8jkRY3Yv4STMo9g,part_378,2026-09-20 20:19:23
Shree Balaji Hardware,Hardware Store,Hardware store,Hardware store,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 98350 68261,N/A,3.0,2.0,"Bus Stand, Main Road, Bangali Para, Rajgir, Bihar 803116",Bangali Para,25.0257066,85.4184061,ChIJX-_8FvXv8jkRjQNc5oP4rOw,https://www.google.com/maps/place/?q=place_id:ChIJX-_8FvXv8jkRjQNc5oP4rOw,part_378,2026-09-20 20:19:23
Shree Laxmi Hardware,Hardware Store,Hardware store,Hardware store,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 97980 34741,N/A,5.0,6.0,"2CG9+7HC, Raj Vamshi Market, Rajgir, Bihar 803116",Bangali Para,25.0256913,85.4188795,ChIJs_UvDvXv8jkRfDifjoPLNEU,https://www.google.com/maps/place/?q=place_id:ChIJs_UvDvXv8jkRfDifjoPLNEU,part_378,2026-09-20 20:19:23
Saniya Hardware,Hardware Store,Hardware store,Hardware store,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 96936 56401,N/A,4.3,9.0,"Maulanagar - Bathani Rd, Bathani, Bihar 803116",803116,24.995478799999997,85.2752474,ChIJecBhK4vn8jkRpXHx_ZKwFe4,https://www.google.com/maps/place/?q=place_id:ChIJecBhK4vn8jkRpXHx_ZKwFe4,part_378,2026-09-20 20:19:23
Kisan Hardware & Tubewell Centre,Hardware Store,Hardware store,Hardware store,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 98354 26767,N/A,3.5,2.0,"2CHG+542, Giriyak Road, Rajgir, Bihar 803116",Dhoni Tola,25.027881999999998,85.4252779,ChIJjXcTGvfv8jkR_CkbHvMFvgQ,https://www.google.com/maps/place/?q=place_id:ChIJjXcTGvfv8jkR_CkbHvMFvgQ,part_378,2026-09-20 20:19:23
Saanvi Hardware,Hardware Store,Hardware store,Hardware store,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 80845 56022,N/A,,,"Shop No 01, Railway Station Mor, Lahuar, Bihar 803116",Dangi Tola,25.032315,85.4178858,ChIJwyQWLS3v8jkRXMWfLnJk7jQ,https://www.google.com/maps/place/?q=place_id:ChIJwyQWLS3v8jkRXMWfLnJk7jQ,part_378,2026-09-20 20:19:23
