business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Rajgir Dental Clinic(Dr.ChandraMani kumar),Dental Clinic,Dental clinic,Dental clinic,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 91353 39155,N/A,4.9,64.0,"Lal market, Chhabilapur - Parwalpur Rd, near dr Ashok pd, Rajgir, Bihar 803116",Rajgir,25.026718,85.41660499999999,ChIJp7tTK4vv8jkR_PWzBmMVVTo,https://www.google.com/maps/place/?q=place_id:ChIJp7tTK4vv8jkR_PWzBmMVVTo,part_378,2026-09-20 20:19:17
Kumar Dental Care,Dental Clinic,Medical clinic,Medical clinic,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,4.4,8.0,"2, Hospital road, inside Devnath Market, Bangali Para, Rajgir, Bihar 803116",Bangali Para,25.0263685,85.4237471,ChIJ3a6zXvbv8jkRoG69UbfsfJQ,https://www.google.com/maps/place/?q=place_id:ChIJ3a6zXvbv8jkRoG69UbfsfJQ,part_378,2026-09-20 20:19:17
Rajgir Dental Clinic,Dental Clinic,Dental clinic,Dental clinic,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 91353 39155,N/A,5.0,1.0,"Lal Market, Bus Stand, opposite Bandhan Bank, Rajgir, Bihar 803116",Rajgir,25.0267469,85.4165769,ChIJZTK_QAPv8jkRSPcGkn8hsmU,https://www.google.com/maps/place/?q=place_id:ChIJZTK_QAPv8jkRSPcGkn8hsmU,part_378,2026-09-20 20:19:17
Akash Dental & Facial Trauma Centre,Dental Clinic,Dental clinic,Dental clinic,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 82078 26384,https://www.instagram.com/drakashdentalftc/,5.0,646.0,"Near Masjid, Basar Bigha Rd, Bihar Sharif, Bihar 803118",Habibpura,25.215082799999998,85.5166215,ChIJG8MQ5eDz8jkRRldjmt-gzO4,https://www.google.com/maps/place/?q=place_id:ChIJG8MQ5eDz8jkRRldjmt-gzO4,part_378,2026-09-20 20:19:17
Smile Dental clinic,Dental Clinic,Dental clinic,Dental clinic,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 80514 97134,N/A,4.7,12.0,"3CJG+9XC, Ambedkar nagar, silao choak, Silao, Bihar 803117",803116,25.0809398,85.4273911,ChIJU17F2S_u8jkRCRUUCEdnRxY,https://www.google.com/maps/place/?q=place_id:ChIJU17F2S_u8jkRCRUUCEdnRxY,part_378,2026-09-20 20:19:17
DENTAL EXPRESS,Dental Clinic,Dental clinic,"Dental clinic, Cosmetic dentist, Dental radiology, Dental implants provider, Dentist",803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 90907 01555,https://dontin.app/book/dental-express,5.0,40.0,"Dental Hospital, Bypass Road, Silao, Bihar 803117",803116,25.081208099999998,85.4298084,ChIJKZGWnKrv8jkRV232_EPxtGU,https://www.google.com/maps/place/?q=place_id:ChIJKZGWnKrv8jkRV232_EPxtGU,part_378,2026-09-20 20:19:17
Dr. Ankit's Dental Clinic,Dental Clinic,Dental clinic,Dental clinic,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,5.0,1.0,"Silao - Goraur Rd, Silao, Bihar 803117",803116,25.0811554,85.42983199999999,ChIJmyMBmcTv8jkRKsmen0dP5YM,https://www.google.com/maps/place/?q=place_id:ChIJmyMBmcTv8jkRKsmen0dP5YM,part_378,2026-09-20 20:19:17
Shree ram dental clinic,Dental Clinic,Dental clinic,Dental clinic,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,5.0,1.0,"3CJH+G68, Silao, Bihar 803117",803116,25.0812991,85.4280835,ChIJT4dACwDv8jkRWArzst-X-vQ,https://www.google.com/maps/place/?q=place_id:ChIJT4dACwDv8jkRWArzst-X-vQ,part_378,2026-09-20 20:19:17
Dental clinic,Dental Clinic,Dental clinic,Dental clinic,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,3.0,1.0,"2GHH+59V, Giriak, Bihar 803109",803116,25.0280335,85.52824679999999,ChIJMVMCPwD38jkRACM2hOmcmjo,https://www.google.com/maps/place/?q=place_id:ChIJMVMCPwD38jkRACM2hOmcmjo,part_378,2026-09-20 20:19:17
New Dental Clinic,Dental Clinic,Dental clinic,Dental clinic,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,5.0,1.0,"236, Pawapuri Jal Mandir Rd, near Jal Mandir Road, Pawapuri Bazar, Pavapuri, Bihar 803115",Pawapuri Bazar,25.088884699999998,85.53243499999999,ChIJwTh6BsX28jkR_RY5bxZy978,https://www.google.com/maps/place/?q=place_id:ChIJwTh6BsX28jkR_RY5bxZy978,part_378,2026-09-20 20:19:17
Balaji dental clinic,Dental Clinic,Dental clinic,Dental clinic,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 70048 81620,N/A,5.0,4.0,"Pavapuri, Bihar 803115",803116,25.0892588,85.54008689999999,ChIJIYEvepj38jkRGu8PZkZKFeo,https://www.google.com/maps/place/?q=place_id:ChIJIYEvepj38jkRGu8PZkZKFeo,part_378,2026-09-20 20:19:17
Nalanda Dental Care,Dental Clinic,Dental clinic,Dental clinic,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 93869 60361,N/A,2.5,8.0,"Paila Pokhar, Ranchi Rd, near Hospital More Road, Kaghzi Mohalla, Bihar Sharif, Bihar 803101",Kaghzi Mohalla,25.2074532,85.5166484,ChIJ2TR241bz8jkRnAdhplWXrS4,https://www.google.com/maps/place/?q=place_id:ChIJ2TR241bz8jkRnAdhplWXrS4,part_378,2026-09-20 20:19:17
Mahaveer dental care,Dental Clinic,Dental clinic,Dental clinic,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,5.0,1.0,"near Manvi chasma ghar, Pavapuri, Bihar 803115",803116,25.089076,85.5398482,ChIJtSQFSAP38jkRwjHXUIh4UQs,https://www.google.com/maps/place/?q=place_id:ChIJtSQFSAP38jkRwjHXUIh4UQs,part_378,2026-09-20 20:19:17
Pearl dental care,Dental Clinic,Dental clinic,Dental clinic,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,2.3,3.0,"3CHH+XC7, Silao Rd, Silao, Bihar 803117",803116,25.079906299999998,85.4285584,ChIJbYeJHSbv8jkRl7cuapeX7Yk,https://www.google.com/maps/place/?q=place_id:ChIJbYeJHSbv8jkRl7cuapeX7Yk,part_378,2026-09-20 20:19:17
AYUSHMAN DENTAL CARE,Dental Clinic,Dentist,Dentist,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,5.0,4.0,"2CGF+VG4 Janch Ghar and Ultrasound, AYUSHMAN DENTAL CARE, Bangali Para, Rajgir, Bihar 803116",Bangali Para,25.027144999999997,85.4238393,ChIJuWYMzgTv8jkR6VdyI88HH88,https://www.google.com/maps/place/?q=place_id:ChIJuWYMzgTv8jkR6VdyI88HH88,part_378,2026-09-20 20:19:17
Dant Aarogya Hospital 🏥,Dental Clinic,Dental clinic,"Dental clinic, Dental implants periodontist, Dental radiology, Hospital, Oral and maxillofacial surgeon, Oral surgeon, Orthodontist, Periodontist",803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 70043 91132,http://www.dantaarogya.com/,5.0,237.0,"Mogalkuan, New, Amber Rahui Rd, Atwari Bazar, Bihar Sharif, Bihar 803118",Atwari Bazar,25.213760999999998,85.51965109999999,ChIJ6cDLRwCL8jkR9XaI0TE83Dk,https://www.google.com/maps/place/?q=place_id:ChIJ6cDLRwCL8jkR9XaI0TE83Dk,part_378,2026-09-20 20:19:17
Nalanda Dental Clinic: dentist in bihar sharif | best dental clinic in bihar sharif | near me | best root canal,Dental Clinic,Dental clinic,Dental clinic,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 77399 53840,N/A,4.9,59.0,"Dayrapar, South of bradari mode, Bihar Sharif, Bihar 803101",Shivaji Nagar,25.2019578,85.5297107,ChIJp2K6k6_08jkR8eKG0zf_PdY,https://www.google.com/maps/place/?q=place_id:ChIJp2K6k6_08jkR8eKG0zf_PdY,part_378,2026-09-20 20:19:17
Riddhima Dental Clinic,Dental Clinic,Dentist,Dentist,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 85212 15382,https://www.instagram.com/dr.udaydevrajan?igsh=MWI5MjhhbnB3ZjVzYw==,4.5,11.0,"Kaghzi Mohalla, Bihar Sharif, Bihar 803101",Kaghzi Mohalla,25.2067958,85.5168039,ChIJQ7dbGlfz8jkRAjwSG3z6Ca8,https://www.google.com/maps/place/?q=place_id:ChIJQ7dbGlfz8jkRAjwSG3z6Ca8,part_378,2026-09-20 20:19:17
