business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
VARMORA TILES & BATHWARE- Jagannath Interiors,Tile and Marble Showroom,Hardware store,Hardware store,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 70050 02675,N/A,4.7,28.0,"near TVS Showroom, Padmapur, Dharmanagar, Tripura 799253",Padmapur,24.366875999999998,92.16010999999999,ChIJ96r5QGrtUTcR32N_mLwMbSs,https://www.google.com/maps/place/?q=place_id:ChIJ96r5QGrtUTcR32N_mLwMbSs,part_375,2026-09-20 20:19:23
Kajaria Tiles Authorised Showroom - Shree Mahabir Enterprise,Tile and Marble Showroom,Tile store,"Tile store, Building materials store, Ceramics wholesaler, Construction Material Wholesaler, Flooring store, Granite supplier, Marble supplier, Tile manufacturer",799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 94365 32153,https://dealers.kajariaceramics.com/kajaria-tiles-in-tripura-north-tripura-dharmanagar-67235,,,"Ward No.23, near Ongc Stock Yard, Dharmanagar, Tripura 799250",799281,24.3837628,92.1892438,ChIJC19nUyLtUTcRKPHkMDgbfP4,https://www.google.com/maps/place/?q=place_id:ChIJC19nUyLtUTcRKPHkMDgbfP4,part_375,2026-09-20 20:19:23
Tripura Marble and Tiles,Tile and Marble Showroom,Marble supplier,"Marble supplier, Bathroom supply store",799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 93666 93137,N/A,4.3,8.0,"Math chowmuhani, opp. isckon mandir, Shiv Nagar, Dhaleswar, Agartala, Tripura 799001","Shiv Nagar, Dhaleswar",23.8309487,91.2900026,ChIJUxgF8NbzUzcRHS3RMR9AXGE,https://www.google.com/maps/place/?q=place_id:ChIJUxgF8NbzUzcRHS3RMR9AXGE,part_375,2026-09-20 20:19:23
STONIC TILES - Agartala Main Branch,Tile and Marble Showroom,Tile store,Tile store,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",N/A,http://www.stonictiles.com/,4.9,30.0,"Kuru Pukur, opposite to Truck da Dhaba, Madhupur, Amtali, Madhupur, Tripura 799022","Madhupur, Amtali",23.767799,91.2648332,ChIJawikMbb1UzcR5y5INWjXxYU,https://www.google.com/maps/place/?q=place_id:ChIJawikMbb1UzcR5y5INWjXxYU,part_375,2026-09-20 20:19:23
Premium Tiles,Tile and Marble Showroom,Tile store,Tile store,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 97741 19367,N/A,4.5,10.0,"R8R7+J2M, NH-44, Agartala, Reshambagan, Agartala, Tripura 799008","Agartala, Reshambagan",23.841594399999998,91.31254229999999,ChIJ5Q5HwxLzUzcRyrxo-fV41ZA,https://www.google.com/maps/place/?q=place_id:ChIJ5Q5HwxLzUzcRyrxo-fV41ZA,part_375,2026-09-20 20:19:23
Champalal Traders,Tile and Marble Showroom,Tile store,Tile store,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",N/A,N/A,4.5,6.0,"525Q+85F, Pabiacherra, Kumarghat, Tripura 799264",Pabiacherra,24.1583041,92.0379265,ChIJcf5UXQCJUTcRDCzzSA6YBkU,https://www.google.com/maps/place/?q=place_id:ChIJcf5UXQCJUTcRDCzzSA6YBkU,part_375,2026-09-20 20:19:23
Tripura marble tiles,Tile and Marble Showroom,Wholesaler,Wholesaler,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",N/A,N/A,5.0,1.0,"R8FF+J6G, West Champamura, Agartala, Tripura 799004",West Champamura,23.8241631,91.3230232,ChIJR6vEXwDzUzcRAIusZSe241E,https://www.google.com/maps/place/?q=place_id:ChIJR6vEXwDzUzcRAIusZSe241E,part_375,2026-09-20 20:19:23
Jagadambe Marble & Tiles,Tile and Marble Showroom,Marble supplier,"Marble supplier, Granite supplier, Tile store",799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 98560 01554,N/A,4.8,42.0,"Assam - Agartala Rd, Kashipur, Agartala, Uttar Champamura, Tripura 799008",Kashipur,23.843442399999997,91.323554,ChIJm_qoNtLzUzcR8G2JH5TNiWs,https://www.google.com/maps/place/?q=place_id:ChIJm_qoNtLzUzcR8G2JH5TNiWs,part_375,2026-09-20 20:19:24
Raj Traders,Tile and Marble Showroom,Tile store,"Tile store, Hardware store, Home goods store, Home improvement store, Interior Decorator, Paint store, Painter",799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 60090 95825,https://www.facebook.com/share/1Hg6y1fAAE/,4.9,18.0,"Rajbari Rd, near jurkalbat market, Batorashi, Dharmanagar, Radhapur, Tripura 799253",Batorashi,24.3573307,92.1655444,ChIJXRkDAbztUTcR5BevYUVYAP8,https://www.google.com/maps/place/?q=place_id:ChIJXRkDAbztUTcR5BevYUVYAP8,part_375,2026-09-20 20:19:24
Eureka Mosaic Tiles And Sanitations,Tile and Marble Showroom,Tile store,"Tile store, Bathroom supply store, Building materials store, Cement Supplier, Flooring store, Granite supplier, Home improvement store, Marble supplier, Natural stone supplier, Plumbing supply store",799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 70850 61111,https://eureka-mosaic-tiles.grexa.site/,4.9,16.0,"EUREKA MOSAIC TILES AND SANITATIONS 9, Mantribari Rd Ext, Dhaleswar, Agartala, Tripura 799001",Dhaleswar,23.830312799999998,91.27851679999999,ChIJu3CXuRL0UzcRSN-y4V5OZ58,https://www.google.com/maps/place/?q=place_id:ChIJu3CXuRL0UzcRSN-y4V5OZ58,part_375,2026-09-20 20:19:24
Tripureswari Marble & Tiles,Tile and Marble Showroom,Marble supplier,Marble supplier,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 70856 37962,N/A,3.9,14.0,"R8VF+7P8, NH 8, near co-operative, Kashipur, Agartala, Uttar Champamura, Tripura 799008",Kashipur,23.8431577,91.32431629999999,ChIJ9x1wYYzzUzcR0hgeUdJXMvA,https://www.google.com/maps/place/?q=place_id:ChIJ9x1wYYzzUzcR0hgeUdJXMvA,part_375,2026-09-20 20:19:24
JAI SANTOSHI TILES,Tile and Marble Showroom,Tile store,"Tile store, Building materials market, Cement Supplier, Ceramics wholesaler, Roofing supply store",799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",09774-451675,https://wayapp.in/675/jaisantoshitiles,4.4,59.0,"Bhati Abhoynagar, Agartala, Ramnagar part, Tripura 799002",Bhati Abhoynagar,23.851125,91.2689189,ChIJ89HzOSD0UzcR5loWrDRbxgQ,https://www.google.com/maps/place/?q=place_id:ChIJ89HzOSD0UzcR5loWrDRbxgQ,part_375,2026-09-20 20:19:24
B.B.Tiles House,Tile and Marble Showroom,Tile store,Tile store,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",N/A,N/A,5.0,10.0,"Mohanpur, Tripura 799211",799281,23.976048,91.38411339999999,ChIJN1ObVtflUzcRn0aFTKizqVI,https://www.google.com/maps/place/?q=place_id:ChIJN1ObVtflUzcRn0aFTKizqVI,part_375,2026-09-20 20:19:24
Kajaria Tiles Authorised Showroom - Sreemaa Tiles,Tile and Marble Showroom,Tile store,"Tile store, Granite supplier, Marble supplier",799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 94365 14151,https://dealers.kajariaceramics.com/kajaria-tiles-in-khowai-26048,5.0,8.0,"Officetilla Road, Master Para Road, near public Library, Khowai, Tripura 799202",799281,24.0667832,91.6087106,ChIJ39zIoEzZUzcR5GFHXjkdEOk,https://www.google.com/maps/place/?q=place_id:ChIJ39zIoEzZUzcR5GFHXjkdEOk,part_375,2026-09-20 20:19:24
Chowdhury Marbles,Tile and Marble Showroom,Tile store,Tile store,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 94364 59927,N/A,5.0,5.0,"Tripura University, near 8H, Babul Chowmohani, Suryamani Nagar, Agartala, Bikramnagar, Tripura 799022","Babul Chowmohani, Suryamani Nagar",23.757711999999998,91.2666575,ChIJbY9xRPX1UzcRRBt_dhgN3ts,https://www.google.com/maps/place/?q=place_id:ChIJbY9xRPX1UzcRRBt_dhgN3ts,part_375,2026-09-20 20:19:24
FOREVER Tiles & Décor,Tile and Marble Showroom,Tile store,Tile store,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 89741 64208,N/A,5.0,2.0,"Ambassa - Kamalpur Rd, Ambassa, Tripura 799289",799281,23.929851499999998,91.8417254,ChIJR5xtrD4zUjcR_fmktoG2bTw,https://www.google.com/maps/place/?q=place_id:ChIJR5xtrD4zUjcR_fmktoG2bTw,part_375,2026-09-20 20:19:24
Gujrat Tiles & Sanitary,Tile and Marble Showroom,Tile store,Tile store,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 98634 50391,https://dealers.kajariaceramics.com/,4.4,52.0,"Santipara, Dhaleswar, Agartala, Tripura 799001","Santipara, Dhaleswar",23.8295046,91.2860412,ChIJg125MjX1UzcRyXkeU_M3zQk,https://www.google.com/maps/place/?q=place_id:ChIJg125MjX1UzcRyXkeU_M3zQk,part_375,2026-09-20 20:19:24
Sri Krishna Tiles Parlour,Tile and Marble Showroom,Tile store,Tile store,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 87310 31500,N/A,4.2,13.0,"Reshambagan, Tripura, Agartala, Tripura 799008",Reshambagan,23.8418518,91.3131258,ChIJI3_DDQbzUzcRKm8S7z7uJC4,https://www.google.com/maps/place/?q=place_id:ChIJI3_DDQbzUzcRKm8S7z7uJC4,part_375,2026-09-20 20:19:25
A. P. APOLLO ENTERPRISE,Tile and Marble Showroom,Interior designer,"Interior designer, Aluminium Supplier, Aluminum window, Blinds shop, Glass shop, Home goods store, Kitchen furniture store, Modular home dealer, PVC windows supplier, Railing contractor",799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 94363 61122,https://apapollo.com/,4.9,212.0,"Nimbag Industrial Estate, Siddi Ashram, behind of Electric Office, Badharghat, Agartala, Tripura 799003",Badharghat,23.7968771,91.2695882,ChIJTbMeJmr0UzcRIK2osGIVzoM,https://www.google.com/maps/place/?q=place_id:ChIJTbMeJmr0UzcRIK2osGIVzoM,part_375,2026-09-20 20:19:25
