business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"M/S Loknath Enterprise /hp/Dell/Lenovo/Asus Laptop Shop /Laptop Showroom/Computer store/Computers,Laptop Service",Computer Sales and Laptop Repair,Computer store,"Computer store, Computer accessories store, Computer consultant, Computer Hardware Company, Computer service, Computer software store, Computer Wholesaler, Printer ink refill store, Printer repair service",799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 98636 98828,N/A,4.8,909,"Math Chowmuhani, Jail Ashram Rd, opp. HDFC Bank, opposite Hotel Woodland Park, Indranagar, Agartala, Tripura 799007",Indranagar,23.8316184,91.2910754,ChIJH5qjBvXzUzcRFUvmuvcJZM4,https://www.google.com/maps/place/?q=place_id:ChIJH5qjBvXzUzcRFUvmuvcJZM4,part_375,2026-09-20 20:19:35
1Click | PC Solutions,Computer Sales and Laptop Repair,Electronics store,Electronics store,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 96122 67669,N/A,4.7,157,"Bimal Sinha Shopping Complex, Kumarghat, Tripura 799264",799281,24.1608071,92.03788039999999,ChIJ1V2AELqJUTcRRfIHY2WfLak,https://www.google.com/maps/place/?q=place_id:ChIJ1V2AELqJUTcRRfIHY2WfLak,part_375,2026-09-20 20:19:35
New Infosolution System,Computer Sales and Laptop Repair,Electronics store,Electronics store,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 94361 28103,N/A,4.9,515,"TG Rd, opposite Ram Nagar Road, Krishna Nagar, Agartala, Tripura 799001",Krishna Nagar,23.8358854,91.27027799999999,ChIJl78mMQf1UzcRNe22QgkU_Ig,https://www.google.com/maps/place/?q=place_id:ChIJl78mMQf1UzcRNe22QgkU_Ig,part_375,2026-09-20 20:19:35
CREATIVE COMPUTER SHOP (SUKHENJIT),Computer Sales and Laptop Repair,Computer store,"Computer store, Closed circuit television, Computer networking service, Computer service, DJ supply store, Photographer, Photography studio",799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 94364 69265,N/A,4.9,22,"near Biswas chowmuni, Kamalpur, Tripura 799285",799281,24.1913932,91.8293238,ChIJJR2qiHh_UTcRLgq-4x9_MtE,https://www.google.com/maps/place/?q=place_id:ChIJJR2qiHh_UTcRLgq-4x9_MtE,part_375,2026-09-20 20:19:35
Ghosh Computer,Computer Sales and Laptop Repair,Computer store,Computer store,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 76409 22957,N/A,4.3,35,"Central Road, Kailashahar, Tripura 799277",799281,24.3185732,91.99940959999999,ChIJn1hYd-KPUTcRDMIxItcKNbc,https://www.google.com/maps/place/?q=place_id:ChIJn1hYd-KPUTcRDMIxItcKNbc,part_375,2026-09-20 20:19:35
Global IT Rework,Computer Sales and Laptop Repair,Computer repair service,Computer repair service,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 93667 97270,N/A,5.0,124,"Math Chowmuhani, Jail Ashram Rd, Dhaleswar, Agartala, Tripura 799007",Dhaleswar,23.8324352,91.2912266,ChIJO9s2veLzUzcREhpS9XAzILs,https://www.google.com/maps/place/?q=place_id:ChIJO9s2veLzUzcREhpS9XAzILs,part_375,2026-09-20 20:19:35
Password,Computer Sales and Laptop Repair,Computer store,"Computer store, Computer accessories store, Computer software store, Computer Wholesaler, Printing equipment supplier",799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 94021 22087,N/A,4.6,112,"Colonel Chowmuhani, J B Rd, Banerjee Para, Krishna Nagar, Agartala, Tripura 799001","Banerjee Para, Krishna Nagar",23.8365767,91.27945559999999,ChIJxVXHT2v0UzcRbU2FimXAM_c,https://www.google.com/maps/place/?q=place_id:ChIJxVXHT2v0UzcRbU2FimXAM_c,part_375,2026-09-20 20:19:35
THE COMPUTER CORNER,Computer Sales and Laptop Repair,Computer support and services,Computer support and services,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 82570 30520,N/A,4.6,56,"Mahatma Gandhi Rd, Udaipur part, Tripura 799120",799281,23.542609199999998,91.48843839999999,ChIJS2hA20-ZUzcRWy2cHtZQV70,https://www.google.com/maps/place/?q=place_id:ChIJS2hA20-ZUzcRWy2cHtZQV70,part_375,2026-09-20 20:19:35
TECHNOCOMP,Computer Sales and Laptop Repair,Computer store,"Computer store, Camera repair shop, Cell phone accessory store, Computer service, Electronics repair shop, Mobile phone repair shop, Phone repair service",799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 94363 57604,https://facebook.com/technocomp.in,4.9,29,"HALHALI, Kamalpur, Halhuli, Tripura 799286",HALHALI,24.1050021,91.8244418,ChIJtzk2VwPVUzcRyVCJJ2AbLPU,https://www.google.com/maps/place/?q=place_id:ChIJtzk2VwPVUzcRyVCJJ2AbLPU,part_375,2026-09-20 20:19:35
Bijaya Xerox Center,Computer Sales and Laptop Repair,Computer store,Computer store,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 89741 49458,N/A,5.0,4,"Bijaya Xerox Center, Paiturbazar, Chandipur, Kailashahar, Tripura 799277",Paiturbazar,24.3173291,92.00500579999999,ChIJSxmcg7aPUTcR0JargEH6dm4,https://www.google.com/maps/place/?q=place_id:ChIJSxmcg7aPUTcR0JargEH6dm4,part_375,2026-09-20 20:19:35
I T PLANET,Computer Sales and Laptop Repair,Electronics store,Electronics store,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 94369 93066,N/A,4.7,59,"Agartala, Tripura, India Swasti Bazar , H.G.B Road Ground Floor , Room, Agartala, Tripura 799001",Dhaleswar,23.8293133,91.2794851,ChIJz4f_tb31UzcRmQTxUsxnHcU,https://www.google.com/maps/place/?q=place_id:ChIJz4f_tb31UzcRmQTxUsxnHcU,part_375,2026-09-20 20:19:35
