business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
LAXMI SECURITY SYSTEM | CCTV DEALERS,CCTV Installation and Security System,Security system supplier,Security system supplier,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 85880 53645,http://laxmisecuritysystem.in/,4.4,26.0,"Ker Chowmuhani, Krishna Nagar, Agartala, Tripura 799001",Krishna Nagar,23.8341845,91.2700686,ChIJE94jdrX1UzcRKnVy8ETUXYQ,https://www.google.com/maps/place/?q=place_id:ChIJE94jdrX1UzcRKnVy8ETUXYQ,part_375,2026-09-20 20:19:35
Cp Plus Cctv camera Dealers,CCTV Installation and Security System,Security system supplier,Security system supplier,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",N/A,N/A,4.0,12.0,"R7HR+Q7Q, Agartala - Kamalasagar Rd, Shibnagar, Dhaleswar, Agartala, Tripura 799004","Shibnagar, Dhaleswar",23.8294717,91.2907343,ChIJyfgJM_XzUzcRHl90k_boeto,https://www.google.com/maps/place/?q=place_id:ChIJyfgJM_XzUzcRHl90k_boeto,part_375,2026-09-20 20:19:35
CP PLUS Galaxy - Third Eye Surveillance Systems,CCTV Installation and Security System,Security system supplier,"Security system supplier, Camera store, Security system installation service",799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 80 4526 2616,https://stores.cpplusworld.com/cp-plus/stores-in-agartala/stores-in-Indranagar/cp-plus-galaxy-third-eye-surveillance-systems-in-Indranagar-agartala--790w2N/home,4.3,50.0,"Colonel Mahim Thakur Sarani, nearby Chandan dighi, Palace Compound, Indranagar, Agartala, Tripura 799001","Palace Compound, Indranagar",23.8367799,91.2798275,ChIJaUbSwOT1UzcR7uPqnf_Tqw4,https://www.google.com/maps/place/?q=place_id:ChIJaUbSwOT1UzcR7uPqnf_Tqw4,part_375,2026-09-20 20:19:35
SHREE JI CCTV HUB,CCTV Installation and Security System,Electronics store,"Electronics store, Electronics wholesaler",799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 69093 13555,N/A,5.0,30.0,"17, Rd Number 4, Last end, Ram Nagar, Agartala, Tripura 799002","Last end, Ram Nagar",23.8392423,91.260016,ChIJw7ETwkP1UzcRf1KCLmWV-uY,https://www.google.com/maps/place/?q=place_id:ChIJw7ETwkP1UzcRf1KCLmWV-uY,part_375,2026-09-20 20:19:35
SARKAR INFOTECH,CCTV Installation and Security System,Security system installation service,"Security system installation service, Closed circuit television, Computer accessories store",799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 76280 12820,N/A,4.7,78.0,"NH 8, near ICDS office, Shantinagar, Teliamura, Tripura 799205",Shantinagar,23.8409296,91.6339958,ChIJBS8Cj-LHUzcRLXdFVyb0XOM,https://www.google.com/maps/place/?q=place_id:ChIJBS8Cj-LHUzcRLXdFVyb0XOM,part_375,2026-09-20 20:19:35
Zicom Cctv camera dealer in Tripura,CCTV Installation and Security System,Security system supplier,"Security system supplier, Camera store",799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 70052 41578,N/A,,,"room no 43, city centre, Dhaleswar, Agartala, Tripura 799001",Dhaleswar,23.8263833,91.2817927,ChIJKWQ14eP1UzcRawddzQVkfKk,https://www.google.com/maps/place/?q=place_id:ChIJKWQ14eP1UzcRawddzQVkfKk,part_375,2026-09-20 20:19:35
SuperSecureSystem,CCTV Installation and Security System,Security system installation service,"Security system installation service, Computer security service, GPS supplier, Security service, Electronics Company, Software company, Transportation service",799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 92333 02730,https://www.supersecuresystem.com/,4.1,84.0,"Tripura North, Lake chowmohani road, near DWS office, Banamalipur, Indranagar, Agartala, Tripura 799001","Banamalipur, Indranagar",23.8412956,91.2848432,ChIJcUUSF5X2UzcRIurDZNCzCdk,https://www.google.com/maps/place/?q=place_id:ChIJcUUSF5X2UzcRIurDZNCzCdk,part_375,2026-09-20 20:19:35
CCTV GALLERY,CCTV Installation and Security System,Security system installation service,Security system installation service,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 95825 57223,https://www.cctvgallery.in/,5.0,27.0,"akki cctv camera installation, Bandi, Uttar Pradesh 281301",799281,27.4487825,77.80634239999999,ChIJAz177fteQEgRaiHWEWo3lW8,https://www.google.com/maps/place/?q=place_id:ChIJAz177fteQEgRaiHWEWo3lW8,part_375,2026-09-20 20:19:35
Dipon Enterprise,CCTV Installation and Security System,Security system installation service,"Security system installation service, Closed circuit television, Computer store, Fire alarm supplier, GPS supplier, Internet service provider, Notary public, Security system supplier, Video camera repair service, Washer & dryer repair service",799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 93821 48929,http://www.dipon-enterprise.grexa.site/,4.9,34.0,"Talpukur, Subhaspally, Kharagpur, West Bengal 721301","Talpukur, Subhaspally",22.346609299999997,87.3121742,ChIJd2jsuQtFHToRfmYNz3kxllI,https://www.google.com/maps/place/?q=place_id:ChIJd2jsuQtFHToRfmYNz3kxllI,part_375,2026-09-20 20:19:35
SMART SECURITY SYSTEM,CCTV Installation and Security System,Computer security service,Computer security service,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 93661 79966,N/A,4.3,4.0,"Jatan Bari, Nutan Bazar, Tripura 799104",799281,23.4225659,91.7561834,ChIJQYqcFSyrUzcRrOWL1iT3xpg,https://www.google.com/maps/place/?q=place_id:ChIJQYqcFSyrUzcRrOWL1iT3xpg,part_375,2026-09-20 20:19:35
