business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Cookie Press Bakery,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 97745 07831,N/A,5.0,3.0,"Taidu Ompi stand, Ompi road, opposite Ram Thakur Ashram, Teliamura, Tripura 799205",799281,23.8390548,91.63615089999999,ChIJk3xafh7HUzcR2QJtHp6KTlE,https://www.google.com/maps/place/?q=place_id:ChIJk3xafh7HUzcR2QJtHp6KTlE,part_375,2026-09-20 20:19:09
Sartaj Cake Parlour & Resturant,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",N/A,N/A,3.6,145.0,"hospital chowmini, Melaghar, Tripura 799115",799281,23.491415,91.328384,ChIJBUN-v6yFUzcRPW2IJkW8XpQ,https://www.google.com/maps/place/?q=place_id:ChIJBUN-v6yFUzcRPW2IJkW8XpQ,part_375,2026-09-20 20:19:09
Cakes 'O' Clock,Patisserie,Cake shop,Cake shop,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 93663 53022,N/A,4.6,11.0,"Vidyapith Corner, opp. Belonia, Vidyapith, Belonia, Tripura 799155",Vidyapith,23.2543994,91.4636225,ChIJleCFdItzUzcRORir5wpSvpU,https://www.google.com/maps/place/?q=place_id:ChIJleCFdItzUzcRORir5wpSvpU,part_375,2026-09-20 20:19:09
Me & My Pastry N Bakery,Patisserie,Pastry shop,Pastry shop,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 70055 21831,https://www.facebook.com/share/1Avrbvc1kD/?mibextid=wwXIfr,4.9,91.0,"Volcan club, Banamalipur, Indranagar, Agartala, Tripura 799007","Banamalipur, Indranagar",23.839317299999998,91.2918378,ChIJAfTf7ETxUzcRwqmEpHQkAu8,https://www.google.com/maps/place/?q=place_id:ChIJAfTf7ETxUzcRwqmEpHQkAu8,part_375,2026-09-20 20:19:10
Indian Cakes & Nuts,Patisserie,Bakery and Cake Shop,"Bakery and Cake Shop, Cake decorating equipment shop, Cake shop, Cupcake shop, Pancake restaurant, Rice cake shop, Wedding bakery",799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 70055 03316,N/A,4.6,466.0,"krishnanagar, thakurpally road, near satsanga ashram, Padma Pukur, Krishna Nagar, Agartala, Tripura 799001","Padma Pukur, Krishna Nagar",23.834536399999998,91.273851,ChIJ7RgepAn1UzcRYtPZQp60g58,https://www.google.com/maps/place/?q=place_id:ChIJ7RgepAn1UzcRYtPZQp60g58,part_375,2026-09-20 20:19:10
Cakes N Buns Delight,Patisserie,Cake shop,Cake shop,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",N/A,N/A,4.3,57.0,"R7MX+GPM, Kalyani, Dhaleswar, Agartala, Tripura 799004","Kalyani, Dhaleswar",23.8338438,91.2993116,ChIJIy0ysPTzUzcRD7KEZBdFFGk,https://www.google.com/maps/place/?q=place_id:ChIJIy0ysPTzUzcRD7KEZBdFFGk,part_375,2026-09-20 20:19:10
Bites,Patisserie,Restaurant,Restaurant,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 98630 50038,N/A,4.6,8.0,"opposite of Kadamtala School Ground, Kadamtala, Tripura 799261",799281,24.4554561,92.2133155,ChIJPWiE2yzrUTcRVMTU-U_N9b0,https://www.google.com/maps/place/?q=place_id:ChIJPWiE2yzrUTcRVMTU-U_N9b0,part_375,2026-09-20 20:19:10
Arohi's Crunchy Bites & Namkeen,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 98629 88188,N/A,,,"Gournagar Bazar, Kendriya Vidyalaya Rd, Police Line, Tripura 799280",Police Line,24.2883449,92.0229267,ChIJe0isuFmPUTcRY2CdYytNJ3U,https://www.google.com/maps/place/?q=place_id:ChIJe0isuFmPUTcRY2CdYytNJ3U,part_375,2026-09-20 20:19:10
Chatpata Cake Corner,Patisserie,Bakery and Cake Shop,"Bakery and Cake Shop, Fast food restaurant",799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 84160 83228,N/A,4.1,,"Agartala123 Kamanchowmoni, Dhaleswar, Agartala, Tripura 799001",Dhaleswar,23.831186799999998,91.2826953,ChIJQU3sl7v1UzcRuv6c6sJxDhk,https://www.google.com/maps/place/?q=place_id:ChIJQU3sl7v1UzcRuv6c6sJxDhk,part_375,2026-09-20 20:19:11
Cakes & Buns,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",N/A,N/A,,,"7572+2Q9, Panisagar, Tripura 799260",799281,24.2625496,92.1519857,ChIJ8QeTBwDzUTcRFClf_DGnczQ,https://www.google.com/maps/place/?q=place_id:ChIJ8QeTBwDzUTcRFClf_DGnczQ,part_375,2026-09-20 20:19:11
