business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
ML Plaza,Malls,Shopping mall,"Shopping mall, Movie theater",799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 97748 87803,http://rupasicinema.com/,4.0,7017.0,"Post Office Chowmuhani, Mantribari Rd Ext, Dhaleswar, Agartala, Tripura 799001",Dhaleswar,23.828509099999998,91.27905559999999,ChIJSf_-Wm30UzcRMCn-THidd4U,https://www.google.com/maps/place/?q=place_id:ChIJSf_-Wm30UzcRMCn-THidd4U,part_375,2026-09-20 20:19:44
"Polo Central Mall, Agartala",Malls,Shopping mall,Shopping mall,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 93669 82693,http://www.polocentralmall.com/,4.5,330.0,"VIP ROAD, Agartala Airport Rd, Kunjaban, Agartala, Tripura 799006",Kunjaban,23.8529505,91.28324239999999,ChIJ4ylLLgD1UzcRh0uBjUGyqSI,https://www.google.com/maps/place/?q=place_id:ChIJ4ylLLgD1UzcRh0uBjUGyqSI,part_375,2026-09-20 20:19:44
Agartala City Centre,Malls,Shopping mall,Shopping mall,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",N/A,N/A,4.1,6065.0,"1st Flor, Rom No 10, Center, Melarmath, Dhaleswar, Agartala, Tripura 799001","Melarmath, Dhaleswar",23.8292458,91.2749314,ChIJQSlUjrD1UzcRXGoiOzTkI9Y,https://www.google.com/maps/place/?q=place_id:ChIJQSlUjrD1UzcRXGoiOzTkI9Y,part_375,2026-09-20 20:19:44
Nagar Panchayat Shopping Mall,Malls,Shopping mall,Shopping mall,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",N/A,N/A,3.2,63.0,"526Q+962, NH 8, Kumarghat, Tripura 799264",799281,24.160893299999998,92.0380259,ChIJJRPUGbqJUTcRAdCV-h19juo,https://www.google.com/maps/place/?q=place_id:ChIJJRPUGbqJUTcRAdCV-h19juo,part_375,2026-09-20 20:19:44
Fashion Corner AGARTALA,Malls,Shopping mall,Shopping mall,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",N/A,N/A,4.4,220.0,"Krishna Nagar, Agartala, Tripura 799001",Krishna Nagar,23.839991599999998,91.273997,ChIJtZn5BtX1UzcRg1aLU9Iak3o,https://www.google.com/maps/place/?q=place_id:ChIJtZn5BtX1UzcRg1aLU9Iak3o,part_375,2026-09-20 20:19:44
JR FASHION MALL,Malls,Shopping mall,Shopping mall,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",N/A,N/A,4.8,10.0,"Bridge, Chowmuhani - Kachua Rd, Sonamura, Tripura 799131",799281,23.475778299999998,91.27098819999999,ChIJ39YwJACHUzcRa-vmiEkVXZg,https://www.google.com/maps/place/?q=place_id:ChIJ39YwJACHUzcRa-vmiEkVXZg,part_375,2026-09-20 20:19:44
Proyojan Shop,Malls,Shopping mall,Shopping mall,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",N/A,N/A,4.7,10.0,"R7V7+77C, Ram Nagar, Ramnagar, Agartala, Tripura 799002",Ram Nagar,23.8431987,91.2631275,ChIJmdDdjcn1UzcRmyU3MHcxlBM,https://www.google.com/maps/place/?q=place_id:ChIJmdDdjcn1UzcRmyU3MHcxlBM,part_375,2026-09-20 20:19:44
"Sorojini Market,Guest House, & wedding halls Sonamura",Malls,Shopping mall,Shopping mall,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",N/A,N/A,3.8,30.0,"F7G8+C58, Sonamura, Tripura 799131",799281,23.476047599999998,91.2654481,ChIJi4GyhcuGUzcRCwXbj67DItk,https://www.google.com/maps/place/?q=place_id:ChIJi4GyhcuGUzcRCwXbj67DItk,part_375,2026-09-20 20:19:44
"Max - Dhaleswar Orient, Agartala",Malls,Shopping mall,"Shopping mall, Baby clothing store, Children's clothing store, Clothing store, Handbags shop, Men's clothing store, T-shirt store, Women's clothing store, Work clothes store",799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 91472 18627,https://stores.maxfashion.in/max-dhaleswar-orient-agartala-dhaleswar-shopping-centre-dhaleswar-agartala-281854/Home?utm_source=locator&utm_medium=googleplaces,4.2,895.0,"Orient Chowmuhani, Dhaleswar, Agartala, Tripura 799001",Dhaleswar,23.832470999999998,91.28056099999999,ChIJkeaPjrv1UzcRQyu39lfthhk,https://www.google.com/maps/place/?q=place_id:ChIJkeaPjrv1UzcRQyu39lfthhk,part_375,2026-09-20 20:19:44
SENTRUM,Malls,Shopping mall,Shopping mall,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",N/A,N/A,4.7,3.0,"R7JJ+357, Madhyapara, Dhaleswar, Agartala, Tripura 799001","Madhyapara, Dhaleswar",23.8301731,91.2804251,ChIJ_c1-Xxr1UzcRy4I-wIIEtTY,https://www.google.com/maps/place/?q=place_id:ChIJ_c1-Xxr1UzcRy4I-wIIEtTY,part_375,2026-09-20 20:19:44
