business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"BSNL ETR, Dimapur",IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O",N/A,N/A,3.8,,"WP4P+9H5, Super Market Ln, Half Nagarjan, Dimapur, Nagaland 797112",Half Nagarjan,25.9058775,93.7364774,ChIJ2SmzyPvhRTcRzM13ogRbtTE,https://www.google.com/maps/place/?q=place_id:ChIJ2SmzyPvhRTcRzM13ogRbtTE,part_373,2026-09-20 20:19:36
GMTD BSNL OFFICE,IT and Telecom Services,Telecommunications service provider,"Telecommunications service provider, Internet service provider",797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O",+91 3862 228 426,http://www.bsnl.co.in/,3.5,,"WP5J+2MX, Flyover, Bank Colony, Police Colony, Dimapur, Nagaland 797112","Bank Colony, Police Colony",25.907612,93.73172749999999,ChIJGaco9PDhRTcRJfOHV7ZtMao,https://www.google.com/maps/place/?q=place_id:ChIJGaco9PDhRTcRJfOHV7ZtMao,part_373,2026-09-20 20:19:36
Bharat Sanchar Nigam Limited Quarter Complex,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O",+91 1800 345 1500,http://www.bsnl.co.in/,3.5,,"VPP9+XRR, Kevijau Colony, Signal Basti, Dimapur, Nagaland 797118",Signal Bosti,25.8874823,93.71951609999999,ChIJU6eIRSPiRTcRIGIXNrpvrnU,https://www.google.com/maps/place/?q=place_id:ChIJU6eIRSPiRTcRIGIXNrpvrnU,part_373,2026-09-20 20:19:36
BSNL Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O",+91 94029 22898,https://bsnl.co.in/,5.0,,"DUNCAN BASTI, Dimapur, Nagaland 797112",797115,25.878827899999997,93.70905979999999,ChIJ7wjFqXDjRTcRdeBhOtjYr6c,https://www.google.com/maps/place/?q=place_id:ChIJ7wjFqXDjRTcRdeBhOtjYr6c,part_373,2026-09-20 20:19:36
BSNL Office Chumukedima,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O",+91 1800 345 1500,http://www.bsnl.co.in/,3.3,,"RQ4P+XV9, Chümoukedima, Dimapur, Nagaland 797103",Chümoukedima,25.8074041,93.7872489,ChIJT39CEoEIRjcRtJ-wEL8Gbq8,https://www.google.com/maps/place/?q=place_id:ChIJT39CEoEIRjcRtJ-wEL8Gbq8,part_373,2026-09-20 20:19:36
Shan Enterprises,IT and Telecom Services,Corporate office,"Corporate office, Prepaid SIM card store",797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O",+91 70053 13331,N/A,3.0,,"VQ78+4XR, 4th Mile, Dimapur, Nagaland 797115",4th Mile,25.862852999999998,93.7673896,ChIJm4812bkJRjcRn_dbq2_5pts,https://www.google.com/maps/place/?q=place_id:ChIJm4812bkJRjcRn_dbq2_5pts,part_373,2026-09-20 20:19:36
BSNL Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O",+91 94029 23794,https://bsnl.co.in/,,,"HNO 78, Sangtamtilla, Dimapur, Nagaland 797117",797115,25.8489,93.72149999999999,ChIJGwRXTQ3jRTcRGokc_xaKFwk,https://www.google.com/maps/place/?q=place_id:ChIJGwRXTQ3jRTcRGokc_xaKFwk,part_373,2026-09-20 20:19:36
CELL CARE (Pvt Ltd),IT and Telecom Services,Mobile phone repair shop,Mobile phone repair shop,797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O",+91 70051 91681,N/A,5.0,,"opposite Power House, Kuda Village, Half Nagarjan, Dimapur, Nagaland 797112","Kuda Village, Half Nagarjan",25.8847533,93.7376713,ChIJe0J_aqPjRTcRcNEUD3KJT9Y,https://www.google.com/maps/place/?q=place_id:ChIJe0J_aqPjRTcRcNEUD3KJT9Y,part_373,2026-09-20 20:19:36
BSNL Customer Service Centre,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O",N/A,N/A,3.0,,"WP53+8FR, Duncan Basti, Dimapur, Nagaland 797113",Duncan Basti,25.9083537,93.7036509,ChIJYwmhWmzhRTcRLuxc1xcZtko,https://www.google.com/maps/place/?q=place_id:ChIJYwmhWmzhRTcRLuxc1xcZtko,part_373,2026-09-20 20:19:36
BSNL Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O",+91 94027 60723,https://bsnl.co.in/,,,"H/no-52, urra village, Dimapur, Nagaland 797112",797115,25.8257348,93.68517709999999,ChIJ8T_Bv8PjRTcRi0r_PGJMzXU,https://www.google.com/maps/place/?q=place_id:ChIJ8T_Bv8PjRTcRi0r_PGJMzXU,part_373,2026-09-20 20:19:36
