business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
LOOKNATH TYRE,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",N/A,N/A,5.0,,"96FW+J87, Sanichhara, Tripura 799262",799281,24.374040899999997,92.2458096,ChIJs_ZWeADvUTcRoBAn31Xmfh8,https://www.google.com/maps/place/?q=place_id:ChIJs_ZWeADvUTcRoBAn31Xmfh8,part_375,2026-09-20 20:19:20,1891
KGN Arman tyre repair shop,Tyre Showroom and Puncture Shop,Chauffeur service,Chauffeur service,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",N/A,N/A,5.0,,"KGN Arman Tyre Repair, National Highway, road, Churaibari, Laxminagar, Tripura 799262",road,24.4199925,92.2429738,ChIJpVyC7m3pUTcRYXtz0OE5_Zw,https://www.google.com/maps/place/?q=place_id:ChIJpVyC7m3pUTcRYXtz0OE5_Zw,part_375,2026-09-20 20:19:20,1892
Jk Tyre,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",N/A,N/A,4.6,,"Ram Nagar Rd, Ram Nagar, Agartala, Tripura 799002",Ram Nagar,23.835238,91.26465069999999,ChIJRbFE19f1UzcRIvAA6cbcDTk,https://www.google.com/maps/place/?q=place_id:ChIJRbFE19f1UzcRIvAA6cbcDTk,part_375,2026-09-20 20:19:20,1893
"Akoirita, Sudu golpo ar manush dakani",Tyre Showroom and Puncture Shop,Tire shop,Tire shop,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",N/A,N/A,,,"9236+3W4, Irani To Kailashahar Rd, Laxmipur, Jubarajnagar, Tripura 799281",799281,24.352638799999998,92.0123124,ChIJ5T4aIQCRUTcRTAzvHyAGwuw,https://www.google.com/maps/place/?q=place_id:ChIJ5T4aIQCRUTcRTAzvHyAGwuw,part_375,2026-09-20 20:19:20,1894
Joy Ram Tyre Shop B.K,Tyre Showroom and Puncture Shop,Auto repair shop,Auto repair shop,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 94369 03661,N/A,5.0,,"Ambassa - Kamalpur Rd, Salema, Tripura 799278",799281,24.0114648,91.8366379,ChIJDTFHEgAtUjcR6nqTR8tlBmk,https://www.google.com/maps/place/?q=place_id:ChIJDTFHEgAtUjcR6nqTR8tlBmk,part_375,2026-09-20 20:19:20,1895
TRIPURESWARI SALES AGENCY (apollo & MRF Tyres),Tyre Showroom and Puncture Shop,Tire shop,Tire shop,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 87878 86597,N/A,4.7,,"Math Chowmuhani, near Iscon Mandir, Shiv Nagar, Dhaleswar, Agartala, Tripura 799001","Shiv Nagar, Dhaleswar",23.8309265,91.2897713,ChIJ7SbJqsHzUzcR6F7gx0L5vRA,https://www.google.com/maps/place/?q=place_id:ChIJ7SbJqsHzUzcR6F7gx0L5vRA,part_375,2026-09-20 20:19:20,1896
Nigamanada Tyres,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 96120 89790,N/A,1.0,,"Satsang Ashram, Bishalgarh, Tripura 799102",799281,23.671951999999997,91.2850783,ChIJzczCQC-LUzcRZdGnrTsdRIM,https://www.google.com/maps/place/?q=place_id:ChIJzczCQC-LUzcRZdGnrTsdRIM,part_375,2026-09-20 20:19:20,1897
MRF Tyres Exclusive - Ipshita Tyre,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 87941 13210,https://dealers.mrftyres.com/mrf-tyres-exclusive-ipshita-tyre-tyre-shop-pabiachhara-north-tripura-432242/Home?utm_source=locator&utm_medium=googleplaces,3.3,,"Pabiachhara part, Kumarghat, Tripura 799264",799281,24.153937499999998,92.0338125,ChIJOxBC2cmJUTcRkOlP8EEKkqI,https://www.google.com/maps/place/?q=place_id:ChIJOxBC2cmJUTcRkOlP8EEKkqI,part_375,2026-09-20 20:19:20,1898
RAJU TYRES,Tyre Showroom and Puncture Shop,Chauffeur service,"Chauffeur service, Tire shop",799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 98623 48876,N/A,5.0,,"M BAZAR, Assam - Agartala Rd, Kumarghat, Tripura 799264",799281,24.1576733,92.03587329999999,ChIJqQLNDLeJUTcRlqGY04tQagw,https://www.google.com/maps/place/?q=place_id:ChIJqQLNDLeJUTcRlqGY04tQagw,part_375,2026-09-20 20:19:20,1899
DAS TYRE SERVICE CENTER,Tyre Showroom and Puncture Shop,Auto repair shop,Auto repair shop,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 60332 17034,N/A,5.0,,"Hospital Chowmony, Amarpur, Tripura 799101",799281,23.5155162,91.6499102,ChIJY3LMf8ClUzcR8uYqlnGme_Q,https://www.google.com/maps/place/?q=place_id:ChIJY3LMf8ClUzcR8uYqlnGme_Q,part_375,2026-09-20 20:19:20,1900
