business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
L S Steel Factory,Steel Fabrication Workshop,Steel fabricator,Steel fabricator,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 94021 42910,N/A,4.4,7.0,"Lankamura, Agartala, Tripura 799002",Lankamura,23.858458799999998,91.2494794,ChIJv7uuwCn3UzcRLoa1bBocU2I,https://www.google.com/maps/place/?q=place_id:ChIJv7uuwCn3UzcRLoa1bBocU2I,part_374,2026-09-20 20:19:41
Maa Steel Fabrication,Steel Fabrication Workshop,Steel fabricator,"Steel fabricator, Steel framework contractor",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 98628 19232,N/A,5.0,3.0,"R7GM+5PM, Gangail Rd, Maharaj Ganj Bazar, Dhaleswar, Agartala, Tripura 799001","Maharaj Ganj Bazar, Dhaleswar",23.825473,91.2842835,ChIJyz0qiHP0UzcROolBjbSgPV0,https://www.google.com/maps/place/?q=place_id:ChIJyz0qiHP0UzcROolBjbSgPV0,part_374,2026-09-20 20:19:41
Goa Fabrication,Steel Fabrication Workshop,Steel fabricator,"Steel fabricator, Fabrication Engineer, Interior construction contractor, Interior Decorator, Metal fabricator",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 90211 84353,https://goafabrication.com/,5.0,123.0,"La Calypso, near Baga Parking, Baga Beach, Calangute, Baga, Goa 403516",Baga Beach,15.561692599999999,73.7529017,ChIJiYVeVIqkd2MR9GhhqHNUitM,https://www.google.com/maps/place/?q=place_id:ChIJiYVeVIqkd2MR9GhhqHNUitM,part_374,2026-09-20 20:19:41
STAR ALUMINIUM WORKSHOP,Steel Fabrication Workshop,Mechanic,Mechanic,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 69099 25219,N/A,5.0,4.0,"8X8R PMF, Srirampur, Kailashahar, Tripura 799277",799105,24.3166272,91.99128499999999,ChIJI6KrhYqPUTcRFKuDtwdihJM,https://www.google.com/maps/place/?q=place_id:ChIJI6KrhYqPUTcRFKuDtwdihJM,part_374,2026-09-20 20:19:41
Iron grill workshop,Steel Fabrication Workshop,Iron works,Iron works,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",N/A,N/A,,,"NADIAPUR BAZAR, Saidacherra, Ganganagar, Tripura 799290",799105,24.1657019,91.9605328,ChIJT0RK_yKHUTcRHWGT_my-vJc,https://www.google.com/maps/place/?q=place_id:ChIJT0RK_yKHUTcRHWGT_my-vJc,part_374,2026-09-20 20:19:41
UNITECH STRUCTURAL WORKS,Steel Fabrication Workshop,Manufacturer,Manufacturer,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 80 4581 5784,https://www.unitechstructure.com/,4.8,19.0,"1st Floor, Ideal Towers, Block-A, Diamond Harbour Rd, Naptani Bagan, Kidderpore, Kolkata, West Bengal 700023","Naptani Bagan, Kidderpore",22.5316848,88.32670619999999,ChIJvzNIA1l3AjoRNKQaDhgPuYc,https://www.google.com/maps/place/?q=place_id:ChIJvzNIA1l3AjoRNKQaDhgPuYc,part_374,2026-09-20 20:19:41
Susanta Engineering Works,Steel Fabrication Workshop,Shed builder,Shed builder,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 98363 39022,http://www.susantaengineeringworks.com/,4.9,139.0,"ground floor, 14A, near Netra Nikatan Eye Hospital, Bikramgarh, Jadavpur, Kolkata, West Bengal 700032","Bikramgarh, Jadavpur",22.4964877,88.35885809999999,ChIJoWMXaSJxAjoRQVft-wPCb9s,https://www.google.com/maps/place/?q=place_id:ChIJoWMXaSJxAjoRQVft-wPCb9s,part_374,2026-09-20 20:19:41
Sayed workshop,Steel Fabrication Workshop,Steel fabricator,Steel fabricator,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",N/A,N/A,,,"F7G7+5RH, Rabindranagar Road, Sonamura, Tripura 799131",799105,23.4754364,91.2646048,ChIJN8QTILqHUzcRvh2Xq5Vts4U,https://www.google.com/maps/place/?q=place_id:ChIJN8QTILqHUzcRvh2Xq5Vts4U,part_374,2026-09-20 20:19:41
Maa Mechanical Iron & Grill Factory,Steel Fabrication Workshop,Metal fabricator,Metal fabricator,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",N/A,N/A,,,"R7M9+96W, Jay Nagar, Agartala, Tripura 799002",Jay Nagar,23.8334865,91.2680779,ChIJ1Qlelkj1UzcRaEWmwK8q3xU,https://www.google.com/maps/place/?q=place_id:ChIJ1Qlelkj1UzcRaEWmwK8q3xU,part_374,2026-09-20 20:19:41
Deep Steel Industry,Steel Fabrication Workshop,Steel fabricator,"Steel fabricator, Iron & Steel Store, Steel industry",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",N/A,N/A,5.0,5.0,"Surabhi, Ashram Rd, Po:, Chandrapur, Dharmanagar, Baruakandi, Tripura 799251","Po:, Chandrapur",24.400612799999998,92.1563977,ChIJ2V4Rbz7tUTcRrR2ogcXgUd8,https://www.google.com/maps/place/?q=place_id:ChIJ2V4Rbz7tUTcRrR2ogcXgUd8,part_374,2026-09-20 20:19:41
