business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
DIPAK E-STAMP VENDOR,Document Writer and Stamp Vendor,Stamp shop,Stamp shop,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 87874 77277,N/A,5.0,4.0,"Court Complex Road, opposite of Tripura Bar Association, Dhaleswar, Agartala, Tripura 799001",Dhaleswar,23.8319695,91.2701558,ChIJpy3JD231UzcRcJMqs10Uj1A,https://www.google.com/maps/place/?q=place_id:ChIJpy3JD231UzcRcJMqs10Uj1A,part_374,2026-09-20 20:19:37
Verma and Nirala Associates,Document Writer and Stamp Vendor,Legal services,"Legal services, Real Estate Builders & Construction Company, Loan agency, Real estate agency, Real estate agent",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 93123 02614,N/A,4.9,,"SHOP NO. 10, GROUND FLOOR, B Block Market, Sector 33, Noida, Uttar Pradesh 201301",Sector 33,28.589989199999998,77.35654459999999,ChIJ92BniR_lDDkRZjEb232OWC8,https://www.google.com/maps/place/?q=place_id:ChIJ92BniR_lDDkRZjEb232OWC8,part_374,2026-09-20 20:19:38
Infinity Paper House,Document Writer and Stamp Vendor,Paper store,"Paper store, Stationery store, Wholesaler",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 96123 85144,http://www.infinitypaperhouse.com/,5.0,,"Kanchanpalli, Badharghat, Agartala, Tripura 799014","ONGC Quarters, Badharghat",23.7896932,91.27311329999999,ChIJyxvkmrP1UzcRHf36H_D8rCc,https://www.google.com/maps/place/?q=place_id:ChIJyxvkmrP1UzcRHf36H_D8rCc,part_374,2026-09-20 20:19:38
Commercial Paper Mart,Document Writer and Stamp Vendor,Office Accessories Wholesaler,Office Accessories Wholesaler,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 97747 70240,N/A,5.0,,"R7JJ+R4F, 37, Akhaura Rd, Old RMS Chowmuhani, Krishna Nagar, Agartala, Tripura 799001","Old RMS Chowmuhani, Krishna Nagar",23.832100999999998,91.28027519999999,ChIJ_1qacQ30UzcR5z-FWxUqkVA,https://www.google.com/maps/place/?q=place_id:ChIJ_1qacQ30UzcR5z-FWxUqkVA,part_374,2026-09-20 20:19:38
SUMEN DEB STAMP VENDOR,Document Writer and Stamp Vendor,Stamp shop,"Stamp shop, General store",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 97742 13082,N/A,5.0,,"Court Complex, opp. BAR ASSOCIATION, Palace Compound, Indranagar, Agartala, Tripura 799001","Palace Compound, Indranagar",23.8349312,91.28099619999999,ChIJVWBVehX0UzcRAAAAsITV60U,https://www.google.com/maps/place/?q=place_id:ChIJVWBVehX0UzcRAAAAsITV60U,part_374,2026-09-20 20:19:38
E Stamp Vendor,Document Writer and Stamp Vendor,Stamp shop,Stamp shop,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 95660 48277,N/A,5.0,,"opposite to SDM Office, Santirbazar, Laogang, Tripura 799144",799105,23.300194599999998,91.5703884,ChIJVfibAMsLUzcR97L5AwQGTXw,https://www.google.com/maps/place/?q=place_id:ChIJVfibAMsLUzcR97L5AwQGTXw,part_374,2026-09-20 20:19:38
Joyram stamp vendor,Document Writer and Stamp Vendor,Government office,Government office,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 94365 43813,N/A,5.0,,"judge court complex, Dhaleswar, Agartala, Tripura 799001",Dhaleswar,23.8315666,91.271023,ChIJP5fNCbb1UzcRQWxRl1OA3cg,https://www.google.com/maps/place/?q=place_id:ChIJP5fNCbb1UzcRQWxRl1OA3cg,part_374,2026-09-20 20:19:39
E Stamp Vendor,Document Writer and Stamp Vendor,Stationery store,Stationery store,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 98569 57729,N/A,5.0,,"Assam - Agartala Rd, near SDM Office, Kumarghat, Tripura 799264",799105,24.1658789,92.0401626,ChIJ193tXq2JUTcRrQVlBZMAlLQ,https://www.google.com/maps/place/?q=place_id:ChIJ193tXq2JUTcRrQVlBZMAlLQ,part_374,2026-09-20 20:19:39
Stamp Vendor & Document Writer,Document Writer and Stamp Vendor,Stamp shop,Stamp shop,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",N/A,N/A,4.8,,"36C6+JPP, SH63, Nayarambalam, Kochi, Keralam 682509",Nayarambalam,10.0715975,76.2118413,ChIJ04nhxNcRCDsR3Vfmbi-KYNs,https://www.google.com/maps/place/?q=place_id:ChIJ04nhxNcRCDsR3Vfmbi-KYNs,part_374,2026-09-20 20:19:39
Arora Typing Center,Document Writer and Stamp Vendor,Stamp shop,"Stamp shop, Legal services, Typist",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 99286 23188,N/A,4.2,,"119/476, Madhyam Marg, Mansarovar Sector 11, Jhalana Chhod, Mansarovar, Jaipur, Rajasthan 302020","Mansarovar Sector 11, Jhalana Chhod, Mansarovar",26.842137899999997,75.7705357,ChIJ976fdvC1bTkRb3hjFOy7UJ4,https://www.google.com/maps/place/?q=place_id:ChIJ976fdvC1bTkRb3hjFOy7UJ4,part_374,2026-09-20 20:19:39
