business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
LIGHT AND LIGHT SOUND,Sound and Light Rental,DJ service,DJ service,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 97741 50239,N/A,5.0,,"A D NAGAR SCHOOL ROAD A D NAGAR SCHOOL ROAD, Arundhauti Nagar, Agartala, Tripura 799003",Arundhauti Nagar,23.8135528,91.2622645,ChIJjQfXHFv1UzcRsnzUxmkl3Rk,https://www.google.com/maps/place/?q=place_id:ChIJjQfXHFv1UzcRsnzUxmkl3Rk,part_374,2026-09-20 20:19:32
BM AUDIO SOUND AND LIGHT ELECTRIC,Sound and Light Rental,Audiovisual equipment rental service,"Audiovisual equipment rental service, Event planner, Lighting contractor, Party equipment rental service",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 82403 18447,https://bm-audio-sound.grexa.site/,5.0,,"Jora Pukur, Arabinda Pally, Konnagar, West Bengal 712235","Arabinda Pally, Konnagar",22.693406,88.346777,ChIJfaQEJ0lxAjoRe6e8qAeVh8k,https://www.google.com/maps/place/?q=place_id:ChIJfaQEJ0lxAjoRe6e8qAeVh8k,part_374,2026-09-20 20:19:32
SOUND SAHA,Sound and Light Rental,DJ service,DJ service,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 70856 16143,N/A,,,"Rajghat Road, chowmuhani, Melaghar, Tripura 799115",chowmuhani,23.4918873,91.3287975,ChIJ-Vhr7n6FUzcRcYIk8clRcIM,https://www.google.com/maps/place/?q=place_id:ChIJ-Vhr7n6FUzcRcYIk8clRcIM,part_374,2026-09-20 20:19:32
S.k Box Renting,Sound and Light Rental,DJ service,DJ service,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 93663 62209,N/A,3.8,6.0,"Shop No 5, Sk Box, Renting Malaynagar, datta Pali, Subhash Nagar, Jogendra Nagar, Agartala, Tripura 799004","datta Pali, Subhash Nagar, Jogendra Nagar",23.810751999999997,91.30912119999999,ChIJ0UtazvPzUzcRrXiuDoN1_Zo,https://www.google.com/maps/place/?q=place_id:ChIJ0UtazvPzUzcRrXiuDoN1_Zo,part_374,2026-09-20 20:19:32
SIBI Light & Sound,Sound and Light Rental,Audiovisual equipment rental service,Audiovisual equipment rental service,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 96563 32306,N/A,4.9,131.0,"Pallippuram building, opp. Basalius Thomasicatholicose Public School, Puthenkurish, Kochi, Keralam 682308",Puthenkurish,9.9708188,76.4200927,ChIJQeXMXvx1CDsRUm-XoDAf5zo,https://www.google.com/maps/place/?q=place_id:ChIJQeXMXvx1CDsRUm-XoDAf5zo,part_374,2026-09-20 20:19:32
REAL MIX Audio Solutions : Light and Sounds Rental,Sound and Light Rental,Audiovisual equipment rental service,Audiovisual equipment rental service,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 85906 38589,N/A,4.8,517.0,"near SI property OJRA21, Mudavanmugal, Poojapura, Thiruvananthapuram, Keralam 695032","Mudavanmugal, Poojapura",8.4897181,76.9877072,ChIJ3W5A62G7BTsRqgQqHKy0OY8,https://www.google.com/maps/place/?q=place_id:ChIJ3W5A62G7BTsRqgQqHKy0OY8,part_374,2026-09-20 20:19:32
Micro Light & Sound,Sound and Light Rental,Audiovisual equipment rental service,"Audiovisual equipment rental service, DJ service, DJ supply store, Electric generator shop",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 94468 67540,https://www.instagram.com/micro.kochi?igsh=bDU5d2xueWZqcHgz&utm_source=qr,4.8,19.0,"Ground Floor, St George Shopping Complex, East Side of St George Cathedral, Opp to Hera Royale Apartments, NH 85, Karingachira, Junction, Irumpanam, Thrippunithura, Kochi, Keralam 682309","Irumpanam, Thrippunithura",9.951854899999999,76.35827739999999,ChIJoVQp1GBzCDsRgiTpxcPgZsY,https://www.google.com/maps/place/?q=place_id:ChIJoVQp1GBzCDsRgiTpxcPgZsY,part_374,2026-09-20 20:19:32
SIMA SOUNDS AND DECORATORS,Sound and Light Rental,Electronics store,Electronics store,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 82580 12675,N/A,5.0,1.0,"72 PRABINAY, MALLIK Meshpur Road, Satsangam, Maheshpur, Tripura 799261",799105,24.4524035,92.1922299,ChIJTefgjybrUTcRyasHDKPSAgI,https://www.google.com/maps/place/?q=place_id:ChIJTefgjybrUTcRyasHDKPSAgI,part_374,2026-09-20 20:19:32
Sony exclusive store - IT solution,Sound and Light Rental,Electronics store,Electronics store,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 94361 26245,http://sony.co.in/,4.7,,"near choloman Sangha club. Back side of Metro bazar, Madhyapara, Dhaleswar, Agartala, Tripura 799001","Madhyapara, Dhaleswar",23.8301804,91.2796578,ChIJ4ZWKuLf1UzcRD7glbEKEmjU,https://www.google.com/maps/place/?q=place_id:ChIJ4ZWKuLf1UzcRD7glbEKEmjU,part_374,2026-09-20 20:19:33
SUPER SOUND,Sound and Light Rental,Electronics store,Electronics store,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 88372 23264,N/A,,,"R9P9+33W, Ranirbazar, Tripura 799035",799105,23.8352358,91.3676902,ChIJlZ8bcvbtUzcRN8k4CfCQZLA,https://www.google.com/maps/place/?q=place_id:ChIJlZ8bcvbtUzcRN8k4CfCQZLA,part_374,2026-09-20 20:19:33
