business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Mirza,Businesses,Housing complex,Housing complex,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",N/A,N/A,5.0,1.0,"CCW8+Q7C, Upendranagar, Tripura 799105",799105,23.4475362,91.4157475,ChIJi5LmegCdUzcRd1YbYlaRqRo,https://www.google.com/maps/place/?q=place_id:ChIJi5LmegCdUzcRd1YbYlaRqRo,part_374,2026-09-20 20:19:47
Das Rubber Enterprise,Businesses,Housing society,Housing society,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",N/A,N/A,,,"Mirza, Udaipur, Gamaichhara, Tripura 799105",Mirza,23.435888199999997,91.40731099999999,ChIJL8HAHgCdUzcRDvjQg4TjhEU,https://www.google.com/maps/place/?q=place_id:ChIJL8HAHgCdUzcRDvjQg4TjhEU,part_374,2026-09-20 20:19:47
BHOWMIK house,Businesses,Housing complex,Housing complex,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",N/A,N/A,5.0,1.0,"FC25+94J, Rani, Tripura 799105",799105,23.4509744,91.40778089999999,ChIJdcHPQgCdUzcRDcr6mPd3gB8,https://www.google.com/maps/place/?q=place_id:ChIJdcHPQgCdUzcRDcr6mPd3gB8,part_374,2026-09-20 20:19:47
Lari Business,Businesses,Taxi service,Taxi service,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 88372 71341,N/A,,,"120 Tulamura Tulamura, Tripura 799105",799105,23.4249294,91.4417809,ChIJQwH8RdqdUzcR_1TPppQZ_R8,https://www.google.com/maps/place/?q=place_id:ChIJQwH8RdqdUzcR_1TPppQZ_R8,part_374,2026-09-20 20:19:47
Aich Mansion,Businesses,Apartment building,Apartment building,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",N/A,N/A,5.0,1.0,"CCP6+4V, Balurpathar, Tripura 799105",799105,23.4353612,91.4121713,ChIJ1dkIRqCdUzcR35Qh6Xl63qU,https://www.google.com/maps/place/?q=place_id:ChIJ1dkIRqCdUzcR35Qh6Xl63qU,part_374,2026-09-20 20:19:47
MR PRASANJIT DAS,Businesses,Apartment building,Apartment building,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",N/A,https://www.facebook.com/profile.php?id=100012724725427,5.0,5.0,"Unnamed Road, Rani, Gamaichhara, Tripura 799105",799105,23.4277659,91.40966569999999,ChIJ5Tl2Bh2dUzcRln1VrEiZCSI,https://www.google.com/maps/place/?q=place_id:ChIJ5Tl2Bh2dUzcRln1VrEiZCSI,part_374,2026-09-20 20:19:47
Kowshik Datta Home,Businesses,Housing development,Housing development,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",N/A,N/A,3.0,1.0,"CCX8+828, Road, উদয়পুর, Kakraban, Upendranagar, Tripura 799105",উদয়পুর,23.4491721,91.4153943,ChIJIXZqYQCdUzcRQeBuphk36nQ,https://www.google.com/maps/place/?q=place_id:ChIJIXZqYQCdUzcRQeBuphk36nQ,part_374,2026-09-20 20:19:47
RAMU SHIL,Businesses,Wholesaler,Wholesaler,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 70054 57648,N/A,,,"RAMU SHIL, Tulamura, Kakraban, Tripura 799105",799105,23.432556599999998,91.4460007,ChIJyRYXpXSfUzcRZnh2Qn1nyP8,https://www.google.com/maps/place/?q=place_id:ChIJyRYXpXSfUzcRZnh2Qn1nyP8,part_374,2026-09-20 20:19:47
Uttam murasing,Businesses,Housing society,Housing society,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",N/A,N/A,5.0,1.0,"FC53+RR2, Rani, Tripura 799105",799105,23.459520899999998,91.4045029,ChIJE26JsLedUzcRy6fVutlgG64,https://www.google.com/maps/place/?q=place_id:ChIJE26JsLedUzcRy6fVutlgG64,part_374,2026-09-20 20:19:47
Saddam Hossen,Businesses,Apartment building,Apartment building,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",N/A,N/A,5.0,1.0,"FC7J+GJV, Hurijala, Garji R.F. part, Tripura 799105",799105,23.463872799999997,91.43155229999999,ChIJTVyDVQCdUzcRCTQ1NZvalY0,https://www.google.com/maps/place/?q=place_id:ChIJTVyDVQCdUzcRCTQ1NZvalY0,part_374,2026-09-20 20:19:47
