business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Hare Krishn Consultancy,Home Loan DSA and Loan Consultant,Loan agency,"Loan agency, Business banking service, Car finance and loan company, Credit counseling service, Financial consultant, Financial institution, Home insurance agency, Insurance agent, Mortgage broker",799113,North Eastern Circle,Shillong HQ Region,Agartala Division,"Tepania S.O, Bagma B.O, East Bagabassa B.O",+91 63532 26117,https://www.harekrishnconsultancy.com/,5.0,114.0,"White House, 405, above passport office, near Shyam Shikhar, Bapunagar, Ahmedabad, Gujarat 380024","Soni ni chali, Bapunagar",23.028705,72.633219,ChIJQYhUV0iFXjkRhU5_Xsob8pw,https://www.google.com/maps/place/?q=place_id:ChIJQYhUV0iFXjkRhU5_Xsob8pw,part_374,2026-09-20 20:20:16
Lotus Financial Solutions - Personal Loan & Home Loan in Ahmedabad,Home Loan DSA and Loan Consultant,Loan agency,"Loan agency, Business banking service, Car finance and loan company, Finance broker, Financial consultant, Financial planner, Mortgage lender",799113,North Eastern Circle,Shillong HQ Region,Agartala Division,"Tepania S.O, Bagma B.O, East Bagabassa B.O",+91 98791 12355,http://ahmedabadloans.com/,4.9,182.0,"311, Tulsi Complex, Mithakhali Cir, opposite Crossword, Rashmi Society, Mithakhali, Navrangpura, Ahmedabad, Gujarat 380009","Rashmi Society, Mithakhali, Navrangpura",23.0319804,72.56522489999999,ChIJVVVVpfaEXjkRTDbZMWANqSU,https://www.google.com/maps/place/?q=place_id:ChIJVVVVpfaEXjkRTDbZMWANqSU,part_374,2026-09-20 20:20:16
Loan Consultancy,Home Loan DSA and Loan Consultant,Loan agency,Loan agency,799113,North Eastern Circle,Shillong HQ Region,Agartala Division,"Tepania S.O, Bagma B.O, East Bagabassa B.O",+91 82002 52041,N/A,4.6,9.0,"32 New Ashok nagar society, Ahmedabad, Gujarat 380021","Rajpur Hirpur, Gomtipur",23.014717299999997,72.6155959,ChIJm1LCUDWHXjkRXSZEH_RQKJQ,https://www.google.com/maps/place/?q=place_id:ChIJm1LCUDWHXjkRXSZEH_RQKJQ,part_374,2026-09-20 20:20:16
SOLE CAPITAL FINANCE PRIVATE LIMITED,Home Loan DSA and Loan Consultant,Loan agency,Loan agency,799113,North Eastern Circle,Shillong HQ Region,Agartala Division,"Tepania S.O, Bagma B.O, East Bagabassa B.O",+91 99241 67709,http://www.solecapital.in/,4.9,1386.0,"4th Floor, Nakshatra Arcade, 5,6, 7, IOC Rd, Chandkheda, Ahmedabad, Gujarat 382424","Vivekanand Nagar, D-Cabin, Chandkheda",23.1120527,72.5745273,ChIJQVpJypGDXjkRA9_t8zitvYk,https://www.google.com/maps/place/?q=place_id:ChIJQVpJypGDXjkRA9_t8zitvYk,part_374,2026-09-20 20:20:16
MY SAFE LOAN,Home Loan DSA and Loan Consultant,Loan agency,Loan agency,799113,North Eastern Circle,Shillong HQ Region,Agartala Division,"Tepania S.O, Bagma B.O, East Bagabassa B.O",+91 95744 50460,https://mysafeloan.com/,4.9,736.0,"16, 2nd Floor, Anjali Chamber, RC Dutt Rd, near Panchsheel Hotel, Vadodara, Gujarat 390007",Jetalpur,22.310107499999997,73.1772563,ChIJJeXwKdTJXzkRyUQ0UCtXFOA,https://www.google.com/maps/place/?q=place_id:ChIJJeXwKdTJXzkRyUQ0UCtXFOA,part_374,2026-09-20 20:20:16
Moratorium Financial Services,Home Loan DSA and Loan Consultant,Loan agency,"Loan agency, Business to business service, Car finance and loan company, Consultant, Credit counseling service, Financial consultant, Financial planner, Mortgage broker, Mortgage lender",799113,North Eastern Circle,Shillong HQ Region,Agartala Division,"Tepania S.O, Bagma B.O, East Bagabassa B.O",+91 84888 44116,https://www.moratoriumfinserv.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,4.9,98.0,"A/824, Sun Westbank, Ashram Rd, opp. City Gold Cinema, Ahmedabad, Gujarat 380009","Vishalpur, Muslim Society, Navrangpura",23.0313533,72.5713773,ChIJk7eqWLOFXjkRRESRcR8fIDA,https://www.google.com/maps/place/?q=place_id:ChIJk7eqWLOFXjkRRESRcR8fIDA,part_374,2026-09-20 20:20:16
i-Deals,Home Loan DSA and Loan Consultant,Loan agency,Loan agency,799113,North Eastern Circle,Shillong HQ Region,Agartala Division,"Tepania S.O, Bagma B.O, East Bagabassa B.O",+91 94098 29030,http://www.i-deals.co.in/,4.9,114.0,"i-Deals, 407, 4th floor - Arizona Building, Ashram Rd, opp. GUJARAT VIDYAPITH, Usmanpura, Ahmedabad, Gujarat 380009",Usmanpura,23.0446295,72.5702416,ChIJmdoa-4SFXjkR5qR8NDK_k7M,https://www.google.com/maps/place/?q=place_id:ChIJmdoa-4SFXjkR5qR8NDK_k7M,part_374,2026-09-20 20:20:16
Prarvi Consultancy,Home Loan DSA and Loan Consultant,Financial consultant,Financial consultant,799113,North Eastern Circle,Shillong HQ Region,Agartala Division,"Tepania S.O, Bagma B.O, East Bagabassa B.O",+91 79840 43569,http://www.prarviconsultancy.com/,4.9,187.0,"Prarvi Consultancy, Ghanshyamnagar Soc - 2, Ghanshyam Nagar Society 2, Manjalpur, Vadodara, Gujarat 390011","Ghanshyamnagar Soc - 2, Ghanshyam Nagar Society 2, Manjalpur",22.2721363,73.1901281,ChIJu0FgQtDFXzkRxp7953vZHNg,https://www.google.com/maps/place/?q=place_id:ChIJu0FgQtDFXzkRxp7953vZHNg,part_374,2026-09-20 20:20:16
CP ADVISOR,Home Loan DSA and Loan Consultant,Financial consultant,Financial consultant,799113,North Eastern Circle,Shillong HQ Region,Agartala Division,"Tepania S.O, Bagma B.O, East Bagabassa B.O",+91 79848 33474,https://cpadvisordigital.in/,5.0,1249.0,"855C+3F2, Jetalpur Rd, Alkapuri, Vadodara, Gujarat 390007",Alkapuri,22.307641999999998,73.17115199999999,ChIJQ0gPF6jJXzkRpsbOCFpNfD0,https://www.google.com/maps/place/?q=place_id:ChIJQ0gPF6jJXzkRpsbOCFpNfD0,part_374,2026-09-20 20:20:16
RK Finserv pvt ltd.,Home Loan DSA and Loan Consultant,Loan agency,"Loan agency, Credit counseling service, Finance broker, Financial consultant, Financial planner, Industrial real estate agency, Investment company, Low income housing program, Mortgage lender, Property investment company",799113,North Eastern Circle,Shillong HQ Region,Agartala Division,"Tepania S.O, Bagma B.O, East Bagabassa B.O",+91 98983 18140,http://www.rkfinserv.in/,4.9,258.0,"G3, G4, 2HQ9+H2X Krishna Complex, behind Ambika Chamber, near Old High Court Road, Income Tax, Shreyas Colony, Navrangpura, Ahmedabad, Gujarat 380009","Income Tax, Shreyas Colony, Navrangpura",23.0390473,72.56755,ChIJBUk251-EXjkRoiHmwUpEqUQ,https://www.google.com/maps/place/?q=place_id:ChIJBUk251-EXjkRoiHmwUpEqUQ,part_374,2026-09-20 20:20:16
