business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sparsh Clinic - Dr. Nirmalya Malakar,Skin Clinic and Dermatologist,Dermatologist,Dermatologist,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",N/A,N/A,4.6,,"Bijoy Kumar Girls' School, Shankar Chowmuhani Towards, near Sanghati Club, Agartala, Tripura 799001",Krishna Nagar,23.8386021,91.2713696,ChIJ79YaFGn1UzcRko_83LGjRMo,https://www.google.com/maps/place/?q=place_id:ChIJ79YaFGn1UzcRko_83LGjRMo,part_374,2026-09-20 20:19:20
"Zen Skin Haven, Dr. Sujit Debbarma, MD.Dermatologist, Skin Hair Laser Clinic",Skin Clinic and Dermatologist,Dermatologist,Dermatologist,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 97745 57623,https://zenskinhaven.com/,4.7,,"1st floor of, Rathore Bhawan, ZEN SKIN HAVEN, Palace Compound, Agartala, Tripura 799001","Palace Compound, Indranagar",23.8395534,91.28169109999999,ChIJhRWclmnzUzcR0R-hMmSD8Vo,https://www.google.com/maps/place/?q=place_id:ChIJhRWclmnzUzcR0R-hMmSD8Vo,part_374,2026-09-20 20:19:20
"Dr. Priyanka Das Majumder,MD Dermatologist (Skin,Hair & Nail Specialist)",Skin Clinic and Dermatologist,Dermatologist,"Dermatologist, Cosmetic surgeon",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 381 231 0117,N/A,4.8,,"House Branch, Colonel Chowmuhani, Divine Touch Medi Clinic, near SBI T.L.A, Agartala, Tripura 799001","Palace Compound, Indranagar",23.8374962,91.2806592,ChIJu5bMx4_1UzcRUe9T75RIKB0,https://www.google.com/maps/place/?q=place_id:ChIJu5bMx4_1UzcRUe9T75RIKB0,part_374,2026-09-20 20:19:20
Dermatologist. Apollo Information Center. Dr Surajit Gorai. MD,Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Cosmetic surgeon, Doctor, Dermatologist",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 97741 32725,http://www.drsgorai.com/,4.7,,"Apollo Gleneagles Hospital information centre. Palace compound., Near Akashbani bhawan and Air India office, Agartala, Tripura 799001","Palace Compound, Indranagar",23.839115,91.2835652,ChIJAaRgAXP0UzcRjVcThAXOmAA,https://www.google.com/maps/place/?q=place_id:ChIJAaRgAXP0UzcRjVcThAXOmAA,part_374,2026-09-20 20:19:20
"Dr Rakesh Biswas ,Rejuva Skin & Laser Clinic",Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Dermatologist, Laser hair removal service, Medical clinic",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 89744 84047,http://www.rejuvaskinworld.com/,4.5,,"1st floor, 45, Hari Ganga Basak Rd, Singh Para, Agartala, Tripura 799001",Singh Para,23.829301599999997,91.2775001,ChIJL7vYunP1UzcRJFq_dUjY8OA,https://www.google.com/maps/place/?q=place_id:ChIJL7vYunP1UzcRJFq_dUjY8OA,part_374,2026-09-20 20:19:20
Dr. R.G. Saha,Skin Clinic and Dermatologist,Dermatologist,"Dermatologist, Doctor",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 97747 26818,N/A,3.6,,"6, Jail Ashram Rd, opp. N.S. Honda, Shiv Nagar, Indranagar, Agartala, Tripura 799007","Shiv Nagar, Indranagar",23.8325402,91.2912858,ChIJXRkkqvXzUzcRM5TXoG5OKDk,https://www.google.com/maps/place/?q=place_id:ChIJXRkkqvXzUzcRM5TXoG5OKDk,part_374,2026-09-20 20:19:20
Dermatica Aesthetics | Best Skincare Clinic in Agartala | Best Haircare Clinic in Agartala,Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Laser hair removal service",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 98635 75854,https://www.facebook.com/profile.php?id=61572742569534,4.8,,"Oppsite National Insurance, Akhaura Rd, RMS Chowmuhani, Dhaleswar, Agartala, Tripura 799001","RMS Chowmuhani, Dhaleswar",23.831854399999997,91.2770039,ChIJdXtWSjj1UzcRtuUUVXuCQFE,https://www.google.com/maps/place/?q=place_id:ChIJdXtWSjj1UzcRtuUUVXuCQFE,part_374,2026-09-20 20:19:20
Dr. Pinak Prasad Debbarma,Skin Clinic and Dermatologist,Dermatologist,"Dermatologist, Doctor",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 94361 38556,N/A,4.7,,"Doctor Pinak Prasad Debbarma Chamber Krishna Nagar Lake Chowmohani, opposite St Corporation Office, Krishna Nagar, Agartala, Tripura 799001",Krishna Nagar,23.8404652,91.280481,ChIJ5ZdtWYH1UzcRry6pJRYWTDU,https://www.google.com/maps/place/?q=place_id:ChIJ5ZdtWYH1UzcRry6pJRYWTDU,part_374,2026-09-20 20:19:20
Dr kamal Das,Skin Clinic and Dermatologist,Doctor,Doctor,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 82570 92813,N/A,4.7,,"6, Office Ln, Dhaleswar, Agartala, Tripura 799001",Dhaleswar,23.8303458,91.2725978,ChIJnTgL3Hb1UzcREGUB1TUz7uM,https://www.google.com/maps/place/?q=place_id:ChIJnTgL3Hb1UzcREGUB1TUz7uM,part_374,2026-09-20 20:19:20
TSHS Clinic ( Multi - Speciality Skin Clinic ),Skin Clinic and Dermatologist,Skin care clinic,Skin care clinic,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 81189 46130,https://www.tshsclinic.com/,4.9,,"Jahar Bhaban, Thakurpalli, Kulai Ghantachara, Ambassa, Tripura 799204",Thakurpalli,23.939166399999998,91.835977,ChIJq7uPjUMzUjcRZzc826ZOlbg,https://www.google.com/maps/place/?q=place_id:ChIJq7uPjUMzUjcRZzc826ZOlbg,part_374,2026-09-20 20:19:20
Dr Sumit Bhattacharjee -Skin Specialist and Cosmetologist,Skin Clinic and Dermatologist,Dermatologist,Dermatologist,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 93663 50086,https://www.facebook.com/share/16J3qz7uoq/,4.9,,"Bhattacharjee Medical Hall, TMC Hospital Road, near Satyanarayan Gas Agency, Hapania, Agartala, Tripura 799014",Hapania,23.7875351,91.2634738,ChIJ--DZklf1UzcREl0NWJbYpgc,https://www.google.com/maps/place/?q=place_id:ChIJ--DZklf1UzcREl0NWJbYpgc,part_374,2026-09-20 20:19:20
SKINOCARE LASER HAIR AND SKIN CLINIC BY- DR SOMALI MAJUMDER,Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Doctor, Health consultant, Homeopath",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 70052 36019,http://skinocare.in/,4.8,,"A.D Nagar, Road No 3, M.B. Tilla, Arundhauti Nagar, Agartala, Tripura 799003","M.B. Tilla, Arundhauti Nagar",23.8116769,91.2659651,ChIJowvNPbf1UzcRkFJkWKjbyns,https://www.google.com/maps/place/?q=place_id:ChIJowvNPbf1UzcRkFJkWKjbyns,part_374,2026-09-20 20:19:20
