business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
BAG BAZAR,Leather Goods and Bags,Bag shop,Bag shop,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 60096 97954,https://agtbagbazar.com/,3.8,,"Hawkers Corner, ROAD, Dhaleswar, Agartala, Tripura 799001",Dhaleswar,23.8292765,91.2797903,ChIJOZwkKfH1UzcRmoS26cv7VQs,https://www.google.com/maps/place/?q=place_id:ChIJOZwkKfH1UzcRmoS26cv7VQs,part_374,2026-09-20 20:19:17
Saha Bag Traders,Leather Goods and Bags,Bag shop,"Bag shop, Handbags shop",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 94361 25288,N/A,3.7,,"Hawkers Corner, Road, Dhaleswar, Agartala, Tripura 799001",Dhaleswar,23.8288078,91.2801858,ChIJQQ5OsHL0UzcRYqoNWVHCsZI,https://www.google.com/maps/place/?q=place_id:ChIJQQ5OsHL0UzcRYqoNWVHCsZI,part_374,2026-09-20 20:19:17
Flawsome Leather Accessories & Apparels,Leather Goods and Bags,Leather goods supplier,Leather goods supplier,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 87006 61603,http://www.flawsomeleather.com/,4.9,38.0,"opposite Mecca Masjid, KDA Colony, Mg 1/2, Lal Bangla, Jajmau, Kanpur, Uttar Pradesh 208010","KDA Colony, Mg 1/2, Lal Bangla, Jajmau",26.4318971,80.3906403,ChIJuStqEE5BnDkRNCCCYvLQSl8,https://www.google.com/maps/place/?q=place_id:ChIJuStqEE5BnDkRNCCCYvLQSl8,part_374,2026-09-20 20:19:18
American Tourister Store,Leather Goods and Bags,Luggage store,Luggage store,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 98624 52680,https://www.americantourister.in/,4.5,11.0,"Orient Chowmuhani, Akhaura Rd, Madhyapara, Dhaleswar, Agartala, Tripura 799001","Madhyapara, Dhaleswar",23.831755599999997,91.2805394,ChIJd93agKv1UzcRH67BHvEjrvM,https://www.google.com/maps/place/?q=place_id:ChIJd93agKv1UzcRH67BHvEjrvM,part_374,2026-09-20 20:19:18
Stan India,Leather Goods and Bags,Leather goods store,"Leather goods store, Bag shop, Belt shop, Handbags shop, Leather Exporter, Leather Products Manufacturer, Leather goods supplier, Leather Goods Wholesaler, Leather wholesaler, Manufacturer",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 70840 44414,https://stanindia.com/,4.5,100.0,"Opp: STI Lawn, 129 - B, 150 Feet Rd, Jajmau, Kanpur, Uttar Pradesh 209861",Jajmau,26.431600699999997,80.3988967,ChIJYalK6GhBnDkRVo-AEgH7rZI,https://www.google.com/maps/place/?q=place_id:ChIJYalK6GhBnDkRVo-AEgH7rZI,part_374,2026-09-20 20:19:18
MaheTri Studio - Celebration Mall,Leather Goods and Bags,Leather goods store,"Leather goods store, Bag shop, Handbags shop",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 63770 51415,http://mahetri.in/,4.5,160.0,"Nexus Celebration, Opposite Devendra Dham, Pulla Bhuwana, Bhuwana, Udaipur, Bhuwana, Rajasthan 313004","Opposite Devendra Dham, Pulla Bhuwana, Bhuwana",24.6125471,73.7024836,ChIJoxwrxkrlZzkR1yrNkd_qY9I,https://www.google.com/maps/place/?q=place_id:ChIJoxwrxkrlZzkR1yrNkd_qY9I,part_374,2026-09-20 20:19:18
Purbasree Handicrafts Shop,Leather Goods and Bags,Store,Store,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 97746 91811,N/A,4.5,15.0,"R7JJ+G72, Sakuntala Rd, Madhyapara, Dhaleswar, Agartala, Tripura 799001","Madhyapara, Dhaleswar",23.8312743,91.28065199999999,ChIJc09cEw30UzcR2R8xidkN5Dc,https://www.google.com/maps/place/?q=place_id:ChIJc09cEw30UzcR2R8xidkN5Dc,part_374,2026-09-20 20:19:18
Say India Leather,Leather Goods and Bags,Leather goods store,"Leather goods store, Leather Products Manufacturer, Leather goods supplier, Leather Goods Wholesaler",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 98503 60308,https://sayindialeather.com/,4.9,56.0,"Sudarshan Paradise, Matoshri Colony, Nandanwan Society, Vishal Nagar, Pimple Nilakh, Pimpri-Chinchwad, Maharashtra 411027","Matoshri Colony, Nandanwan Society, Vishal Nagar, Pimple Nilakh",18.5839355,73.78377429999999,ChIJWXWjaki5wjsRECjF8yX6Q7E,https://www.google.com/maps/place/?q=place_id:ChIJWXWjaki5wjsRECjF8yX6Q7E,part_374,2026-09-20 20:19:18
Woodland,Leather Goods and Bags,Shoe store,Shoe store,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 381 238 0076,https://shop.woodlandworldwide.com/woodland-shoe-store-hari-ganga-basak-road-agartala-531920/Home?utm_source=locator&utm_medium=googleplaces,3.4,57.0,"Hari Ganga Basak Rd Plot 1025, AMC Ward 21, Holding 395-B, TK-East, Sheet 15, Dhaleswar, Agartala, Tripura 799001","Sheet 15, Dhaleswar",23.829963199999998,91.2819143,ChIJhb4GwOn1UzcRLg4GeO_hcn0,https://www.google.com/maps/place/?q=place_id:ChIJhb4GwOn1UzcRLg4GeO_hcn0,part_374,2026-09-20 20:19:18
GITANJALI CRAFTS,Leather Goods and Bags,Shopping mall,Shopping mall,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 98563 48176,N/A,4.2,,"R9FP+H2H, Ranirbazar, Purba Noagoan, Tripura 799035",799105,23.8239475,91.3851201,ChIJp6145tTtUzcRDshAfXadiyE,https://www.google.com/maps/place/?q=place_id:ChIJp6145tTtUzcRDshAfXadiyE,part_374,2026-09-20 20:19:18
