business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
ANS Multispeciality Hospital,Multispeciality Hospital,Hospital,Hospital,801113,Bihar Circle,Patna HQ Region,Patna Division,"NEORA S.O, ANDA BO, BALUA BO",+91 78578 11565,https://www.anshospitals.com/,4.8,385.0,"Shree Hanuman Dham, Ashiana - Digha Rd, above Canara Bank, Sankar Colony, Kautilya Nagar, Patna, Bihar 800025","Sankar Colony, Kautilya Nagar",25.6203921,85.08282969999999,ChIJlfUE0f9X7TkRBeD61siDApk,https://www.google.com/maps/place/?q=place_id:ChIJlfUE0f9X7TkRBeD61siDApk,part_376,2026-09-20 20:19:14
Tanish Multispeciality Hospital,Multispeciality Hospital,Hospital,Hospital,801113,Bihar Circle,Patna HQ Region,Patna Division,"NEORA S.O, ANDA BO, BALUA BO",+91 87570 94836,https://tmhpatna.com/,4.9,118.0,"near Patliputra Station, Gandhi Nagar, Jagat Vihar Colony, Rukanpura, Patna, Bihar 800025","Gandhi Nagar, Jagat Vihar Colony, Rukanpura",25.6306668,85.07462989999999,ChIJq4m1ZhtX7TkRXEFT3wMB0mc,https://www.google.com/maps/place/?q=place_id:ChIJq4m1ZhtX7TkRXEFT3wMB0mc,part_376,2026-09-20 20:19:14
Patliputra Multi Plus Hospital,Multispeciality Hospital,Hospital,"Hospital, Gynecologist, Hospital department, Neurologist, Neurosurgeon, Orthopedic clinic, Plastic surgeon, Psychiatrist, Rehabilitation center, Surgeon",801113,Bihar Circle,Patna HQ Region,Patna Division,"NEORA S.O, ANDA BO, BALUA BO",+91 93349 13390,http://patliputramultiplus.com/,4.6,186.0,"More near Nohsa, AIIMS Rd, Bochachak, Phulwari Sharif, Patna, Bihar 801505","Bochachak, Phulwari Sharif",25.572797299999998,85.0568572,ChIJM1w7dZep8jkRSQPkCutAk9I,https://www.google.com/maps/place/?q=place_id:ChIJM1w7dZep8jkRSQPkCutAk9I,part_376,2026-09-20 20:19:14
Shri Krishna Multi-speciality Hospital,Multispeciality Hospital,Hospital,Hospital,801113,Bihar Circle,Patna HQ Region,Patna Division,"NEORA S.O, ANDA BO, BALUA BO",+91 73680 88174,https://skmh.org.in/,4.8,90.0,"Road No. 23, Rajeev Nagar, Digha Ghat, Patna, Bihar 800024","Rajeev Nagar, Digha Ghat",25.6334375,85.0904375,ChIJJfWQJABX7TkRcqTuWC3qY8U,https://www.google.com/maps/place/?q=place_id:ChIJJfWQJABX7TkRcqTuWC3qY8U,part_376,2026-09-20 20:19:14
Dr. Bimal Hospital and Research Center Pvt. Ltd.,Multispeciality Hospital,Hospital,"Hospital, Private hospital",801113,Bihar Circle,Patna HQ Region,Patna Division,"NEORA S.O, ANDA BO, BALUA BO",+91 70709 31814,http://drbimalhospital.in/,4.4,1907.0,"Raj Ballabh Singh Dwar, Narayan Path Adarsh Colony, Bailey Rd, Saguna More, Patna, Bihar 801503","Saguna More, Kaliket Nagar",25.6201509,85.0434796,ChIJV52fTmdW7TkR7SnCj9ojhNs,https://www.google.com/maps/place/?q=place_id:ChIJV52fTmdW7TkR7SnCj9ojhNs,part_376,2026-09-20 20:19:14
Sanjivani hospital ( Dr. Krishna Kumar ) Bihta,Multispeciality Hospital,Hospital,Hospital,801113,Bihar Circle,Patna HQ Region,Patna Division,"NEORA S.O, ANDA BO, BALUA BO",N/A,N/A,3.5,23.0,"HV68+9P9, Railway Flyover Bridge, Bihta, Bihar 801103",801113,25.5609249,84.86686,ChIJb00GPTRVjTkRRnJi8Akx-tU,https://www.google.com/maps/place/?q=place_id:ChIJb00GPTRVjTkRRnJi8Akx-tU,part_376,2026-09-20 20:19:14
Ziom Multispeciality Hospital,Multispeciality Hospital,Hospital,Hospital,801113,Bihar Circle,Patna HQ Region,Patna Division,"NEORA S.O, ANDA BO, BALUA BO",+91 72558 87782,N/A,4.6,126.0,"near women’s ITI, Digha, Patna, Bihar 800011",Digha,25.645594799999998,85.0932681,ChIJgeDqleBX7TkRiY6gxHW2MN4,https://www.google.com/maps/place/?q=place_id:ChIJgeDqleBX7TkRiY6gxHW2MN4,part_376,2026-09-20 20:19:14
Sanjivani Hospital & Heart Clinic,Multispeciality Hospital,Hospital department,Hospital department,801113,Bihar Circle,Patna HQ Region,Patna Division,"NEORA S.O, ANDA BO, BALUA BO",+91 6115 252 068,N/A,3.0,14.0,"G. J. College Road Maa Devi Mandir, Bihta, Bihta, Bihar 801103",801113,25.561033899999998,84.8671025,ChIJa_edN0ZVjTkRjog4S2c7HnI,https://www.google.com/maps/place/?q=place_id:ChIJa_edN0ZVjTkRjog4S2c7HnI,part_376,2026-09-20 20:19:14
Asian City Hospital - Best Hospital in Patna,Multispeciality Hospital,Hospital,"Hospital, Blood bank, Cardiologist, Dentist, Dermatologist, Oncologist, Orthodontist, Pharmacy, Radiologist",801113,Bihar Circle,Patna HQ Region,Patna Division,"NEORA S.O, ANDA BO, BALUA BO",+91 96963 96896,https://asianpatna.aimsindia.com/,4.6,2836.0,"Mall, behind P& M, Patliputra Industrial Area, Patliputra Colony, Patna, Bihar 800013","Patliputra Industrial Area, Patliputra Colony",25.6358195,85.1040469,ChIJTa_eRI9X7TkRXKmzLvj-CF0,https://www.google.com/maps/place/?q=place_id:ChIJTa_eRI9X7TkRXKmzLvj-CF0,part_376,2026-09-20 20:19:14
BIG Apollo Spectra Hospitals,Multispeciality Hospital,Hospital,"Hospital, Cancer treatment center, Cardiologist, Gastroenterologist, Nephrologist, Neurologist, Private hospital, Urologist",801113,Bihar Circle,Patna HQ Region,Patna Division,"NEORA S.O, ANDA BO, BALUA BO",+91 612 354 0100,https://www.bigapollospectra.com/,4.7,16883.0,"Sheetla Mandir Road, near Sump House, Agam Kuan, Patna, Bihar 800030",Agam Kuan,25.5878069,85.1959298,ChIJo8AHX5dY7TkRQwK2PdYn_BA,https://www.google.com/maps/place/?q=place_id:ChIJo8AHX5dY7TkRQwK2PdYn_BA,part_376,2026-09-20 20:19:14
