business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
VINOD KIRANA STORE,Supermarket,Grocery store,Grocery store,802156,Bihar circle,Patna HQ Region,Bhojpur Division,"Agrsanda Behara BO, Basantpur BO, Dariapur BO",+91 76542 87639,N/A,5.0,2.0,"PIPARPANTI Ara Bhojpur 802351, Bihar 802156",802156,25.6590264,84.5530678,ChIJ4bO6RHKZkjkRKSr8HQJiAn0,https://www.google.com/maps/place/?q=place_id:ChIJ4bO6RHKZkjkRKSr8HQJiAn0,part_376,2026-09-20 20:48:09
Amit general Store,Supermarket,Grocery store,Grocery store,802156,Bihar circle,Patna HQ Region,Bhojpur Division,"Agrsanda Behara BO, Basantpur BO, Dariapur BO",+91 79911 75507,N/A,3.7,3.0,"Sarsiwan, Ara, Bihar 802313",802156,25.6601777,84.5903029,ChIJ5wog_OOZkjkR2gp_6Dq_KWw,https://www.google.com/maps/place/?q=place_id:ChIJ5wog_OOZkjkR2gp_6Dq_KWw,part_376,2026-09-20 20:48:09
Baba kirana and general store,Supermarket,Indian grocery store,Indian grocery store,802156,Bihar circle,Patna HQ Region,Bhojpur Division,"Agrsanda Behara BO, Basantpur BO, Dariapur BO",N/A,N/A,4.7,13.0,"Milki, Bihar 802312",802156,25.5686952,84.5995609,ChIJN_OamcWfkjkRxBzWOGl9B3c,https://www.google.com/maps/place/?q=place_id:ChIJN_OamcWfkjkRxBzWOGl9B3c,part_376,2026-09-20 20:48:09
Shyam Kirana Store,Supermarket,Indian grocery store,Indian grocery store,802156,Bihar circle,Patna HQ Region,Bhojpur Division,"Agrsanda Behara BO, Basantpur BO, Dariapur BO",+91 62068 26933,N/A,5.0,2.0,"Ara, Arrah - Salempur Rd, Mahuli, Ara, Bihar 802312",802156,25.608416599999998,84.6016932,ChIJwWLdgiKfkjkRgMYON8uhiWs,https://www.google.com/maps/place/?q=place_id:ChIJwWLdgiKfkjkRgMYON8uhiWs,part_376,2026-09-20 20:48:09
Grocery,Supermarket,Grocery store,Grocery store,802156,Bihar circle,Patna HQ Region,Bhojpur Division,"Agrsanda Behara BO, Basantpur BO, Dariapur BO",+91 95721 24645,N/A,5.0,1.0,"Arrah - Salempur Rd, Dhobaha, Arrah, Bihar 802312",802156,25.602705999999998,84.59751639999999,ChIJi-WHV5ufkjkRg4OcSKQtgag,https://www.google.com/maps/place/?q=place_id:ChIJi-WHV5ufkjkRg4OcSKQtgag,part_376,2026-09-20 20:48:09
Shatrudhan Sah,Supermarket,Grocery store,Grocery store,802156,Bihar circle,Patna HQ Region,Bhojpur Division,"Agrsanda Behara BO, Basantpur BO, Dariapur BO",+91 97715 28441,N/A,,,"Road Dhobahan, near of Gramin Bank Dhobahan, Dhamar, Dhobaha, Bihar 802156",802156,25.614318599999997,84.5883194,ChIJmbvt5WGfkjkRFJAIZNnS2Ns,https://www.google.com/maps/place/?q=place_id:ChIJmbvt5WGfkjkRFJAIZNnS2Ns,part_376,2026-09-20 20:48:09
Dhanraj Singh Market,Supermarket,Grocery store,Grocery store,802156,Bihar circle,Patna HQ Region,Bhojpur Division,"Agrsanda Behara BO, Basantpur BO, Dariapur BO",N/A,N/A,4.1,7.0,"HJ78+6Q8, Bampali, Bihar 802312",802156,25.563025999999997,84.61694399999999,ChIJi3eLJjFfjTkR_S2IsmYOKYU,https://www.google.com/maps/place/?q=place_id:ChIJi3eLJjFfjTkR_S2IsmYOKYU,part_376,2026-09-20 20:48:09
SHRIRAM PASWAN,Supermarket,Grocery store,Grocery store,802156,Bihar circle,Patna HQ Region,Bhojpur Division,"Agrsanda Behara BO, Basantpur BO, Dariapur BO",+91 90543 57493,N/A,,,"02 Ara Bela Main Road, Ara - Sinha Rd, near by Kali Temple, opposite of Bela, Saraiya, Bihar 802313",802156,25.6427069,84.6259334,ChIJ4a_yj7ihkjkRf3ujRb_i9Nw,https://www.google.com/maps/place/?q=place_id:ChIJ4a_yj7ihkjkRf3ujRb_i9Nw,part_376,2026-09-20 20:48:09
Kamlesh Pan Dukan,Supermarket,Grocery store,Grocery store,802156,Bihar circle,Patna HQ Region,Bhojpur Division,"Agrsanda Behara BO, Basantpur BO, Dariapur BO",+91 95077 23983,N/A,3.0,1.0,"JGJ9 CG3 Belwanoya Belwaniya, Bihar 802351",802156,25.631534199999997,84.5199763,ChIJ-z9t70OdkjkRDUSjkkjIh04,https://www.google.com/maps/place/?q=place_id:ChIJ-z9t70OdkjkRDUSjkkjIh04,part_376,2026-09-20 20:48:09
Dablu Kirana,Supermarket,Produce market,Produce market,802156,Bihar circle,Patna HQ Region,Bhojpur Division,"Agrsanda Behara BO, Basantpur BO, Dariapur BO",+91 70043 84189,N/A,4.3,3.0,"Ramapur Sandia, Arrah, Bihar 802301",802156,25.568728099999998,84.59704599999999,ChIJj-yKNEGfkjkRA2CnMPage5w,https://www.google.com/maps/place/?q=place_id:ChIJj-yKNEGfkjkRA2CnMPage5w,part_376,2026-09-20 20:48:09
Guddu Bhai Dukan,Supermarket,Indian grocery store,Indian grocery store,802156,Bihar circle,Patna HQ Region,Bhojpur Division,"Agrsanda Behara BO, Basantpur BO, Dariapur BO",+91 81025 83002,N/A,,,"Jorwarpur, Arrah, Pakri, Bihar 802156",Jorwarpur,25.596709999999998,84.53348,ChIJE-F5g7ufkjkR1CQQiSwivv4,https://www.google.com/maps/place/?q=place_id:ChIJE-F5g7ufkjkR1CQQiSwivv4,part_376,2026-09-20 20:48:09
JAI DEV BABA MARKET,Supermarket,Supermarket,Supermarket,802156,Bihar circle,Patna HQ Region,Bhojpur Division,"Agrsanda Behara BO, Basantpur BO, Dariapur BO",N/A,N/A,4.4,24.0,"MHCH+WMV, Majhauli, Bihar 802316",802156,25.6723651,84.5791611,ChIJq26ozLKZkjkRafXhClRWFxQ,https://www.google.com/maps/place/?q=place_id:ChIJq26ozLKZkjkRafXhClRWFxQ,part_376,2026-09-20 20:48:09
