business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Waffcha - The European Dessert,Ice Cream Parlour,Ice cream shop,"Ice cream shop, Bakery and Cake Shop, Cafe, Sweets and dessert buffet, Dessert restaurant, Gluten-free restaurant, Dessert shop, Pancake restaurant",801113,Bihar Circle,Patna HQ Region,Patna Division,"NEORA S.O, ANDA BO, BALUA BO",+91 62625 15179,N/A,4.3,1012.0,"Shop No 21, Jagdish Lok Apartment, West Boring Canal Rd, Anandpuri, Patna, Bihar 800001",Anandpuri,25.6144248,85.1195384,ChIJj_9-LFBZ7TkRLMz-aSS32OU,https://www.google.com/maps/place/?q=place_id:ChIJj_9-LFBZ7TkRLMz-aSS32OU,part_376,2026-09-20 20:19:08
"Willy,s ice Cream shop",Ice Cream Parlour,Ice cream shop,Ice cream shop,801113,Bihar Circle,Patna HQ Region,Patna Division,"NEORA S.O, ANDA BO, BALUA BO",N/A,N/A,5.0,3.0,"Balua maner, Patna, Bihar 801113",801113,25.6118432,84.974561,ChIJySBWMAJV7TkRanbHryiVj8M,https://www.google.com/maps/place/?q=place_id:ChIJySBWMAJV7TkRanbHryiVj8M,part_376,2026-09-20 20:19:08
Chiraiya tand,Ice Cream Parlour,Ice cream shop,Ice cream shop,801113,Bihar Circle,Patna HQ Region,Patna Division,"NEORA S.O, ANDA BO, BALUA BO",N/A,N/A,,,"HX9W+776, Shakuntala Nagar, Chiraiya Tand, Neora, Bihar 801113",Shakuntala Nagar,25.5689693,84.9947888,ChIJhY93PwCr8jkRDAZIG1A4JH8,https://www.google.com/maps/place/?q=place_id:ChIJhY93PwCr8jkRDAZIG1A4JH8,part_376,2026-09-20 20:19:08
Madan Prasad ka house,Ice Cream Parlour,Ice cream shop,Ice cream shop,801113,Bihar Circle,Patna HQ Region,Patna Division,"NEORA S.O, ANDA BO, BALUA BO",N/A,N/A,,,"JX3H+6QJ, Baluwa, Bihar 801113",801113,25.603082699999998,84.97938549999999,ChIJ9embGQBV7TkR7wbSN3MPRz4,https://www.google.com/maps/place/?q=place_id:ChIJ9embGQBV7TkR7wbSN3MPRz4,part_376,2026-09-20 20:19:08
Vadilal icecream cnf,Ice Cream Parlour,Ice cream shop,Ice cream shop,801113,Bihar Circle,Patna HQ Region,Patna Division,"NEORA S.O, ANDA BO, BALUA BO",N/A,N/A,,,"HX2P+C6J, Phulwari, Makhdumpur, Bihar 801113",801113,25.5510856,84.98551429999999,ChIJ1wdSDgCr8jkRIaPlAdvpXJw,https://www.google.com/maps/place/?q=place_id:ChIJ1wdSDgCr8jkRIaPlAdvpXJw,part_376,2026-09-20 20:19:08
Treat Ice Cream,Ice Cream Parlour,Ice cream shop,Ice cream shop,801113,Bihar Circle,Patna HQ Region,Patna Division,"NEORA S.O, ANDA BO, BALUA BO",N/A,N/A,4.5,2.0,"HX9V+G65, Cantonment, Chiraiya Tand, Adlipur, Bihar 801113",Cantonment,25.5686751,84.9931374,ChIJZyLNHACr8jkR9URhG7TFAVw,https://www.google.com/maps/place/?q=place_id:ChIJZyLNHACr8jkR9URhG7TFAVw,part_376,2026-09-20 20:19:08
Shiwani Enterprises,Ice Cream Parlour,Ice cream shop,Ice cream shop,801113,Bihar Circle,Patna HQ Region,Patna Division,"NEORA S.O, ANDA BO, BALUA BO",+91 85419 77596,N/A,5.0,2.0,"Kothia, Bihar 801113",801113,25.5769894,85.0101801,ChIJ9ZAAG66r8jkR1lwa-IuocZ0,https://www.google.com/maps/place/?q=place_id:ChIJ9ZAAG66r8jkR1lwa-IuocZ0,part_376,2026-09-20 20:19:08
Subhas Icecream,Ice Cream Parlour,Ice cream shop,Ice cream shop,801113,Bihar Circle,Patna HQ Region,Patna Division,"NEORA S.O, ANDA BO, BALUA BO",+91 90602 36118,N/A,,,"Near Hanuman Mandir Neura Adlipur, Sarai - Neoraganj Rd, Neora, Patna, Bihar 801113",801113,25.5803682,84.98494099999999,ChIJb-HEQpNV7TkRYveB-DnaJTQ,https://www.google.com/maps/place/?q=place_id:ChIJb-HEQpNV7TkRYveB-DnaJTQ,part_376,2026-09-20 20:19:08
Ice cream,Ice Cream Parlour,Ice cream shop,Ice cream shop,801113,Bihar Circle,Patna HQ Region,Patna Division,"NEORA S.O, ANDA BO, BALUA BO",N/A,N/A,,,"star ice cream factory, Neora adlipur, new, Patna, Bihar 801113",801113,25.580755699999997,84.9845454,ChIJl71bXStV7TkRX9p-x_ElkBE,https://www.google.com/maps/place/?q=place_id:ChIJl71bXStV7TkRX9p-x_ElkBE,part_376,2026-09-20 20:19:08
Golden icecream 🍦🍦🍦🍦🍦🍦🍦🍨🍨🍨,Ice Cream Parlour,Ice cream shop,Ice cream shop,801113,Bihar Circle,Patna HQ Region,Patna Division,"NEORA S.O, ANDA BO, BALUA BO",N/A,N/A,,,"HW6V+X4M, Babupur, Bihar 801111",801113,25.562465099999997,84.94278659999999,ChIJkyIyTACr8jkRgGbRA3GzEDQ,https://www.google.com/maps/place/?q=place_id:ChIJkyIyTACr8jkRgGbRA3GzEDQ,part_376,2026-09-20 20:19:08
