business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Kunjamani Handloom,Handloom and Khadi Store,Clothing store,Clothing store,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 87946 60630,N/A,3.8,,"RW2X+8R2, Angom Leikai Rd, Wangkhei, Imphal, Manipur 795001",Wangkhei,24.8007566,93.9495276,ChIJeTUMHv8mSTcR4TGzniG62o8,https://www.google.com/maps/place/?q=place_id:ChIJeTUMHv8mSTcR4TGzniG62o8,part_371,2026-09-20 20:19:07,1054
Akhom Handicraft,Handloom and Khadi Store,Handicraft,Handicraft,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 94029 87076,N/A,4.5,31.0,"Kongba nandeibam leikai, Singjamei - Kongba Rd, Imphal, Manipur 795003",795116,24.785001899999997,93.9571136,ChIJWVkFR6YnSTcRWNvlE5KoFgo,https://www.google.com/maps/place/?q=place_id:ChIJWVkFR6YnSTcRWNvlE5KoFgo,part_371,2026-09-20 20:19:08,1055
Arambai2020,Handloom and Khadi Store,Surplus store,Surplus store,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",N/A,N/A,5.0,5.0,"Kwakeithel Makha, Kwakeithel Akham Leikai, Lourembam Leikai, Imphal, Manipur 795001","Kwakeithel Makha, Kwakeithel Akham Leikai, Lourembam Leikai",24.7883598,93.9228634,ChIJjZB2vRsnSTcRMm_ekZp_LYM,https://www.google.com/maps/place/?q=place_id:ChIJjZB2vRsnSTcRMm_ekZp_LYM,part_371,2026-09-20 20:19:08,1056
Lakhi HANDLOOM ( Innaphi),Handloom and Khadi Store,Clothing store,Clothing store,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",N/A,https://www.instagram.com/innaphi_?igsh=dDM5dGY1NHU2MjB5&utm_source=ig_contact_invite,5.0,2.0,"101, NH2, near Thiyam Residency, Keishampat Thiyam Leikai, Keishamthong, Imphal, Manipur 795001","Keishampat Thiyam Leikai, Keishamthong",24.798981899999998,93.9340873,ChIJM_kkgU4mSTcRVoxFHeTHTF8,https://www.google.com/maps/place/?q=place_id:ChIJM_kkgU4mSTcRVoxFHeTHTF8,part_371,2026-09-20 20:19:08,1057
Assam Manipur Handloom & Handicrafts,Handloom and Khadi Store,Clothing store,Clothing store,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 94356 27236,N/A,4.4,41.0,"Park Rd, Gandhi Bagh, Tarapur, Silchar, Assam 788001","Gandhi Bagh, Tarapur",24.8272309,92.7989762,ChIJ73tXvF5KTjcREKh38h8TlU4,https://www.google.com/maps/place/?q=place_id:ChIJ73tXvF5KTjcREKh38h8TlU4,part_371,2026-09-20 20:19:08,1058
Prabhabati Handloom,Handloom and Khadi Store,Store,Store,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",N/A,N/A,4.8,6.0,"QWRR+2JF, Moirangkhom Loklaobung, Sanakhwa Yaima Kollup, Imphal, Manipur 795001","Moirangkhom Loklaobung, Sanakhwa Yaima Kollup",24.790111,93.94160169999999,ChIJ3epXzVsmSTcRc7pF5G_C2G8,https://www.google.com/maps/place/?q=place_id:ChIJ3epXzVsmSTcRc7pF5G_C2G8,part_371,2026-09-20 20:19:08,1059
Medha Handloom,Handloom and Khadi Store,Clothing store,"Clothing store, Clothing manufacturer",795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 76289 80652,N/A,3.5,14.0,"Eastern Ground, Panthoibi Arcade, opp. Imphal East, Wangkhei, Manipur 795001","Keithel Asangbi Leirak, Wangkhei",24.7972245,93.9513735,ChIJSbGrQvkmSTcRoYgIuvc1fmo,https://www.google.com/maps/place/?q=place_id:ChIJSbGrQvkmSTcRoYgIuvc1fmo,part_371,2026-09-20 20:19:08,1060
Radhamani Collection,Handloom and Khadi Store,Clothing store,Clothing store,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 60094 11657,N/A,4.6,8.0,"Kongba Nongthombam Leikai, Imphal, Kongkham Leikai, Manipur 795003",Kongba Nongthombam Leikai,24.7853283,93.96195139999999,ChIJSSXHq90nSTcRwVfY7OBD1FQ,https://www.google.com/maps/place/?q=place_id:ChIJSSXHq90nSTcRwVfY7OBD1FQ,part_371,2026-09-20 20:19:08,1061
Beda Handloom,Handloom and Khadi Store,Saree Shop,"Saree Shop, Clothing store",795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 76290 34329,N/A,,,"Takyel Khongbal, Takyel, Khongbal Moirangthong, Imphal, Manipur 795001","Takyel, Khongbal Moirangthong",24.807104,93.8971619,ChIJIcC4Q30oSTcROHGjMo24_5A,https://www.google.com/maps/place/?q=place_id:ChIJIcC4Q30oSTcROHGjMo24_5A,part_371,2026-09-20 20:19:08,1062
Panthoibi Manipur Emporium,Handloom and Khadi Store,Craft store,Craft store,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 99901 75984,N/A,4.1,56.0,"State Emporium Complex, C-7, Baba Kharak Singh Rd, Raja Bazar Road Area, Connaught Place, New Delhi, Delhi 110001","Raja Bazar Road Area, Connaught Place",28.629950299999997,77.2123613,ChIJMXwN6E39DDkREhSF-wI-XqM,https://www.google.com/maps/place/?q=place_id:ChIJMXwN6E39DDkREhSF-wI-XqM,part_371,2026-09-20 20:19:08,1063
