business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
AVA Chemicals Private Limited,Chemical Wholesalers,Manufacturer,Manufacturer,795117,North Eastern Circle,North Eastern Region,Manipur Division,"Saikot S.O, Khouwpuibung B.O, Mual Vaiphei B.O",+91 22 2847 5505,http://avachemicals.com/,4.7,,"Narayan Plaza, 1/20 B, Chandivali Farm Rd, Yadav Nagar, Chandivali, Andheri East, Mumbai, Maharashtra 400072","Yadav Nagar, Chandivali, Andheri East",19.1135913,72.891936,ChIJscKJNMfJ5zsRTziPPF5mqCU,https://www.google.com/maps/place/?q=place_id:ChIJscKJNMfJ5zsRTziPPF5mqCU,part_371,2026-09-20 20:20:13,10829
D S Enterprise,Chemical Wholesalers,Chemical wholesaler,Chemical wholesaler,795117,North Eastern Circle,North Eastern Region,Manipur Division,"Saikot S.O, Khouwpuibung B.O, Mual Vaiphei B.O",+91 73082 20492,http://dsenterprise.net.in/,4.9,,"207, Hengrabari Rd, opposite Assam Gyan Vikas Vidyalaya, Near L.P. School, Lichubagan, Hengrabari, Guwahati, Assam 781036","Near L.P. School, Lichubagan, Hengrabari",26.1507409,91.79708199999999,ChIJRcmxEOdYWjcRcdH0UmMf8v0,https://www.google.com/maps/place/?q=place_id:ChIJRcmxEOdYWjcRcdH0UmMf8v0,part_371,2026-09-20 20:20:14,10830
Veeransh Chemicals,Chemical Wholesalers,Chemical Manufacturer,"Chemical Manufacturer, Agrochemicals Supplier, Chemical Exporter",795118,North Eastern Circle,North Eastern Region,Manipur Division,"Saikul S.O, Bunglong B.O, Dolang B.O",+91 70168 55746,https://www.veeranshchemicals.com/en,4.7,,"1st floor, Tirupati Plaza, Office No 112, Road, near Mohit Park, above ICICI Bank, Chala, Vapi, Gujarat 396191",Chala,20.3850472,72.9016377,ChIJyaETtNTP4DsRZexNaJJoIao,https://www.google.com/maps/place/?q=place_id:ChIJyaETtNTP4DsRZexNaJJoIao,part_371,2026-09-20 20:20:53,14027
Shree Laxmi Chemicals.,Chemical Wholesalers,Chemical wholesaler,"Chemical wholesaler, Bathroom supply store, Chemical Exporter, Chemical plant, Chemical Manufacturer, Cleaning products supplier, Supplier, Household chemicals supplier, Industrial chemicals wholesaler, Manufacturer",795118,North Eastern Circle,North Eastern Region,Manipur Division,"Saikul S.O, Bunglong B.O, Dolang B.O",+91 98350 45201,http://www.shreelaxmichemical.com/,4.7,262.0,"more, opposite Electric Transformer, Jhauganj, Chamdoriya, Patna, Bihar 800008","Jhauganj, Chamdoriya",25.5960793,85.2321827,ChIJp3l9pYJf7TkReLtEvtSXF-s,https://www.google.com/maps/place/?q=place_id:ChIJp3l9pYJf7TkReLtEvtSXF-s,part_371,2026-09-20 20:20:53,14028
CENTRAL & WESTERN INDIA CHEMICALS,Chemical Wholesalers,Chemical Manufacturer,Chemical Manufacturer,795122,North Eastern Circle,North Eastern Region,Manipur Division,"Kalapahar S.O, Chandraman B.O, Haipi B.O",+91 98223 07315,https://www.cwicpune.com/,4.3,,"Bhandari Farm, Gat.43/2, Chimbli Tal Khed, Maharashtra 410501","Gaikwad Vasti, Moshi",18.6941052,73.852541,ChIJQYMUJjzIwjsRxScHAGdymM4,https://www.google.com/maps/place/?q=place_id:ChIJQYMUJjzIwjsRxScHAGdymM4,part_371,2026-09-20 20:21:28,15371
Surchem Chemicals Pvt. Ltd.,Chemical Wholesalers,Chemical Manufacturer,Chemical Manufacturer,795124,North Eastern Circle,North Eastern Region,Manipur Division,"Loktak Project S.O, Charoi Khullel B.O, Jiban Nager B.O",+91 2525 661 180,http://www.surchem.in/,4.0,,"F-12/3, Tarapur M.I.D.C., Kolavade, Maharashtra 401506",Tarapur M.I.D.C.,19.7908529,72.72800389999999,ChIJXWevXTke5zsR_uQ9dW8C1Uo,https://www.google.com/maps/place/?q=place_id:ChIJXWevXTke5zsR_uQ9dW8C1Uo,part_371,2026-09-20 20:22:03,17540
Suman Chemical Industries,Chemical Wholesalers,Chemical Manufacturer,Chemical Manufacturer,795124,North Eastern Circle,North Eastern Region,Manipur Division,"Loktak Project S.O, Charoi Khullel B.O, Jiban Nager B.O",+91 95127 12389,http://www.sumanchem.in/,4.8,,"Factory Plot No. 461 Road No. 4, Sub Road No. 82/C, GIDC, Sachin, Surat, Gujarat 394230","GIDC, Sachin",21.0895792,72.8483066,ChIJCx6GZUpR4DsRSTgPKbW9Ew8,https://www.google.com/maps/place/?q=place_id:ChIJCx6GZUpR4DsRSTgPKbW9Ew8,part_371,2026-09-20 20:22:03,17541
Chaudhari Chemicals Corporation,Chemical Wholesalers,Chemical wholesaler,Chemical wholesaler,795124,North Eastern Circle,North Eastern Region,Manipur Division,"Loktak Project S.O, Charoi Khullel B.O, Jiban Nager B.O",+91 81401 46545,https://www.chaudharichemicals.com/,4.7,,"Shed No. C/4, Atria Business zone Complex, Naroda Rd, opp. Arvind Mills, Aditya Nagar, D Colony, Ahmedabad, Gujarat 382345","Aditya Nagar, D Colony",23.0452969,72.6158641,ChIJra3hVA2FXjkRNNqs1JZcpfo,https://www.google.com/maps/place/?q=place_id:ChIJra3hVA2FXjkRNNqs1JZcpfo,part_371,2026-09-20 20:22:03,17542
SHITAL CHEMICAL PVT.LTD.,Chemical Wholesalers,Chemical Manufacturer,Chemical Manufacturer,795125,North Eastern Circle,North Eastern Region,Manipur Division,"Tamei S.O, Atang Khunou B.O, Chaiton B.O",+91 72268 17726,N/A,4.7,13.0,"Sokhada, Gujarat 388620",795125,22.3525432,72.588375,ChIJZwOdVL4DXzkR_UYLoMWJnKI,https://www.google.com/maps/place/?q=place_id:ChIJZwOdVL4DXzkR_UYLoMWJnKI,part_371,2026-09-20 20:22:39,20529
Adishank Chemicals Pvt Ltd,Chemical Wholesalers,Chemical Manufacturer,Chemical Manufacturer,795125,North Eastern Circle,North Eastern Region,Manipur Division,"Tamei S.O, Atang Khunou B.O, Chaiton B.O",+91 98211 12126,http://www.adishank.com/,4.0,5.0,"Additional Ambernath, E-2, Additional M.I.D.C, Ambernath, Maharashtra 421506",Additional M.I.D.C,19.180724899999998,73.19323469999999,ChIJPUf2Kn2T5zsRrPtxzPQIHcY,https://www.google.com/maps/place/?q=place_id:ChIJPUf2Kn2T5zsRrPtxzPQIHcY,part_371,2026-09-20 20:22:39,20530
