business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"AKAS & Associates LLP, (CA Ajay Joshi)",Chartered Accountant (CA),Certified public accountant,Certified public accountant,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 87770 21042,http://akasassociates.com/,5.0,18.0,"K.S.Thanga Building, T-5/B, Tuikhuahtlang Rd, opposite NHIDCL, Aizawl, Mizoram 796001",796181,23.7179175,92.71972939999999,ChIJS0JwESKVTTcRQ2QCcwTWM-8,https://www.google.com/maps/place/?q=place_id:ChIJS0JwESKVTTcRQ2QCcwTWM-8,part_372,2026-09-20 20:19:34
NITISH AGARWALLA & COMPANY,Chartered Accountant (CA),Chartered accountant,Chartered accountant,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 69092 41745,https://canitish.in/,5.0,3.0,"M/C3, opposite SBI, below OFFICE OF PWD, Chaltlang Venglai, Chaltlang, BRANCH, Aizawl, Mizoram 796012","Chaltlang Venglai, Chaltlang",23.7497322,92.7219989,ChIJGxqPFjvrTTcR_8jBjDsGGc4,https://www.google.com/maps/place/?q=place_id:ChIJGxqPFjvrTTcR_8jBjDsGGc4,part_372,2026-09-20 20:19:34
Tosniwal & Associates- Best Chartered Accountant/CA in Kolkata,Chartered Accountant (CA),Accounting firm,Accounting firm,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 33 4007 0872,http://www.tosniwalandassociates.com/,4.0,,"Ground Floor, 1, Charu Chandra Pl E, Charu Market, Kolkata, West Bengal 700033",Charu Market,22.507586,88.34572299999999,ChIJ6_pJRzNxAjoRBwD2FAvU6BM,https://www.google.com/maps/place/?q=place_id:ChIJ6_pJRzNxAjoRBwD2FAvU6BM,part_372,2026-09-20 20:19:35
"Boby,Francis&Pradeep, Chartered Accountants",Chartered Accountant (CA),Certified public accountant,Certified public accountant,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 93888 32210,http://www.bobyfrancisandpradeep.com/,4.9,,"Nandanam Arcade, Thozhuthingal Ln, Sonia Nagar, Mamangalam, Edappally, Kochi, Ernakulam, Keralam 682024","Sonia Nagar, Mamangalam, Edappally",10.0090804,76.3062521,ChIJNxoG4xENCDsRagg3XDfxIvQ,https://www.google.com/maps/place/?q=place_id:ChIJNxoG4xENCDsRagg3XDfxIvQ,part_372,2026-09-20 20:19:35
Garodia & Associates,Chartered Accountant (CA),Chartered accountant,Chartered accountant,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 94350 40955,http://www.cagarodia.com/,4.9,,"13A, Col. Jalnur Ali Road, 1st Floor, opposite Calcutta Jewellers, Lakhtokia, Guwahati, Assam 781001","Lakhtokia, Pan Bazaar",26.182619199999998,91.7437528,ChIJncL0wupbWjcRIvBBndCD6BY,https://www.google.com/maps/place/?q=place_id:ChIJncL0wupbWjcRIvBBndCD6BY,part_372,2026-09-20 20:19:35
Vivek Ankit & Co,Chartered Accountant (CA),Certified public accountant,Certified public accountant,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 98326 74646,http://cavac.co.in/,5.0,,"228, Sevoke Rd, near Gurudwara, Ward 11, Hakim Para, Siliguri, West Bengal 734001","Ward 11, Hakim Para",26.71832,88.4253777,ChIJX3HfMztH5DkRrhp5amtAEVg,https://www.google.com/maps/place/?q=place_id:ChIJX3HfMztH5DkRrhp5amtAEVg,part_372,2026-09-20 20:19:35
Anil Reddy and Co - Chartered Accountants in Hyderabad,Chartered Accountant (CA),Chartered accountant,"Chartered accountant, Accountant, Accounting firm, Auditor, Business management consultant, Financial audit, Payroll Service Provider, Tax consultant, Tax preparation service",796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 63574 45566,https://caanilreddy.com/,4.9,,"HIG-152, near LuLu Mall, Kukatpally Housing Board Colony, K P H B Phase 1, Kukatpally, Hyderabad, Telangana 500072","Kukatpally Housing Board Colony, K P H B Phase 1, Kukatpally",17.4905386,78.39546279999999,ChIJKZx_E_WRyzsRAIWLM5J7ing,https://www.google.com/maps/place/?q=place_id:ChIJKZx_E_WRyzsRAIWLM5J7ing,part_372,2026-09-20 20:19:35
SAMRAT SAHA & ASSOCIATES,Chartered Accountant (CA),Chartered accountant,Chartered accountant,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 82540 87392,N/A,5.0,,"Vivekananda Path, Santinagar, Kokrajhar, Assam 783370",Santinagar,26.4036173,90.26796619999999,ChIJfUUI4OBhWDcRYWwHsHKddWU,https://www.google.com/maps/place/?q=place_id:ChIJfUUI4OBhWDcRYWwHsHKddWU,part_372,2026-09-20 20:19:35
CA B K Goyal & Co LLP Chartered Accountants - Best CA in Delhi,Chartered Accountant (CA),Chartered accountant,"Chartered accountant, Accountant, Accounting firm, Service establishment, Tax consultant",796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 99717 82649,https://www.cabkgoyal.com/ca-in-delhi/,4.9,,"CA B K Goyal & Co LLP Chartered Accountants - Best CA in Delhi, 796181, India",796181,28.6440837,77.0932314,ChIJRUOhq3n9DDkRJJ6363hA8I4,https://www.google.com/maps/place/?q=place_id:ChIJRUOhq3n9DDkRJJ6363hA8I4,part_372,2026-09-20 20:19:35
C K JAIN AND COMPANY,Chartered Accountant (CA),Certified public accountant,Certified public accountant,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 98753 88441,https://www.ckjaincompany.com/,4.3,,"Room No. 6, First Floor, Annapurna Divine, Mall, behind Trends, Old Kodalia, Bandel, Chinsurah, West Bengal 712123",Old Kodalia,22.918798,88.38432159999999,ChIJR7z_9saT-DkRoKUG5dycUMQ,https://www.google.com/maps/place/?q=place_id:ChIJR7z_9saT-DkRoKUG5dycUMQ,part_372,2026-09-20 20:19:35
