business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Johnson Diesel Sales & Services,Commercial Vehicle and Tractor Dealer,Construction machine dealer,"Construction machine dealer, Agricultural Product Wholesaler",796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",N/A,N/A,4.3,26.0,"House No B/128, Bara Bazar, Dawrpui, Aizawl, Mizoram 796001",Dawrpui,23.7325595,92.71732829999999,ChIJ96xpEraUTTcRrkI6wNrv8rQ,https://www.google.com/maps/place/?q=place_id:ChIJ96xpEraUTTcRrkI6wNrv8rQ,part_372,2026-09-20 20:19:18
New Holland - Johnson Diesel Sales & Services,Commercial Vehicle and Tractor Dealer,Tractor dealer,"Tractor dealer, Agricultural machinery manufacturer, Farm equipment supplier, Tractor repair shop",796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 97311 62658,https://dealers.newhollandtractorindia.com/new-holland-johnson-diesel-sales-services-tractor-dealer-dawrpui-aizawl-493277/Home?utm_source=locator&utm_medium=googleplaces,5.0,1.0,"No B/128, Bara Bazar, Dawrpui, Aizawl, Mizoram 796001",Dawrpui,23.732722,92.717333,ChIJVeEaAFeVTTcRMj7F1qyGrtU,https://www.google.com/maps/place/?q=place_id:ChIJVeEaAFeVTTcRMj7F1qyGrtU,part_372,2026-09-20 20:19:18
Mahindra Tractors - Zonun Enterprise,Commercial Vehicle and Tractor Dealer,Tractor dealer,"Tractor dealer, Farm equipment supplier, Tractor repair shop",796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 94361 41273,https://www.mahindratractor.com/,,,"Ground Floor, No T12, nearby Zoram Educational Trust, Republic Veng, Aizawl, Mizoram 796001",Republic Veng,23.7183066,92.72064379999999,ChIJM69xjKGVTTcRFXlI7nJ4Cjw,https://www.google.com/maps/place/?q=place_id:ChIJM69xjKGVTTcRFXlI7nJ4Cjw,part_372,2026-09-20 20:19:18
Tata Motors - Zothan Autoworks,Commercial Vehicle and Tractor Dealer,Truck dealer,"Truck dealer, Truck parts supplier, Truck repair shop",796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 74117 81218,https://commercial-vehicles.fleetverse.tatamotors.com/tata-motors-commercial-vehicle-dealer-zothan-autoworks-truck-dealers-puhunchawng-aizawl-190360/Home?utm_source=locator&utm_medium=googleplaces,3.7,200.0,"103501/01/1535/2010, 103504/01/1537/2010, Airport Road, opposite Saprawnga Truck Terminal, Puhunchawng, Aizawl, Mizoram 796009",Puhunchawng,23.7760367,92.6685736,ChIJR6STfpLsTTcReMgLzg6Ohb4,https://www.google.com/maps/place/?q=place_id:ChIJR6STfpLsTTcReMgLzg6Ohb4,part_372,2026-09-20 20:19:18
Zonun Enterprise,Commercial Vehicle and Tractor Dealer,Tractor dealer,Tractor dealer,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",N/A,N/A,5.0,1.0,"Silaimual, Mel 3, Aizawl, Mizoram 796005",Mel 3,23.6818349,92.7242583,ChIJq7EjJqyVTTcRXGwZYnf0HTI,https://www.google.com/maps/place/?q=place_id:ChIJq7EjJqyVTTcRXGwZYnf0HTI,part_372,2026-09-20 20:19:18
TATA VST Motors - Tata Ace Commercial Vehicle Dealer,Commercial Vehicle and Tractor Dealer,Truck dealer,"Truck dealer, Tata Motors dealer",796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 97890 68774,https://commercial-vehicles.buytrucknbus.tatamotors.com/,4.9,,"34a, Lakshmipuram Redhills High Road, Janakiraman Colony, Kolathur, Chennai, Tamil Nadu 600049","Janakiraman Colony, Kolathur",13.116654599999999,80.2063974,ChIJvZ3b249kUjoRJC6m6yUGpu0,https://www.google.com/maps/place/?q=place_id:ChIJvZ3b249kUjoRJC6m6yUGpu0,part_372,2026-09-20 20:19:18
VENKAT SAI ENTERPRISES PVT LTD (John deere Tractors),Commercial Vehicle and Tractor Dealer,Tractor dealer,Tractor dealer,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 89782 22972,https://venkatsaienterprises.com/,3.8,,"3-157/2, LAMBADI THANDA, Bellampalle, Budhakalan, Telangana 504251",796181,19.0734508,79.5164917,ChIJSUFuf8CxMjoRfvBLMbFCRUY,https://www.google.com/maps/place/?q=place_id:ChIJSUFuf8CxMjoRfvBLMbFCRUY,part_372,2026-09-20 20:19:19
Swaraj showr6💪💪,Commercial Vehicle and Tractor Dealer,Tractor dealer,Tractor dealer,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 83284 72008,N/A,4.5,,"Thorrur, Telangana 506163",796181,17.593335,79.646717,ChIJ_aUe_uGlNDoR6rlgY4hBugk,https://www.google.com/maps/place/?q=place_id:ChIJ_aUe_uGlNDoR6rlgY4hBugk,part_372,2026-09-20 20:19:19
POWERTRAC SHOWROOM,Commercial Vehicle and Tractor Dealer,Tractor dealer,Tractor dealer,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 96665 64645,N/A,3.9,,"4-4-36/2, Manthani - Peddapalli Rd, Manthani, Telangana 505184",796181,18.6431234,79.6619334,ChIJ_7o9_rXdMjoR_Q1BMAm_1_Q,https://www.google.com/maps/place/?q=place_id:ChIJ_7o9_rXdMjoR_Q1BMAm_1_Q,part_372,2026-09-20 20:19:19
Mahalakshmi enterprises / TRAKSTAR TRACTOR SHOW ROOM,Commercial Vehicle and Tractor Dealer,Tractor dealer,Tractor dealer,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",N/A,N/A,5.0,,"JWCW+F7H, Garepalle, Nallagunta, Telangana 505503",796181,18.621344699999998,79.94541459999999,ChIJ4d9rMeP9MjoRXJIFV4B6210,https://www.google.com/maps/place/?q=place_id:ChIJ4d9rMeP9MjoRXJIFV4B6210,part_372,2026-09-20 20:19:19
Powertrac Tractor - Shiva Balaji Enterprises,Commercial Vehicle and Tractor Dealer,Tractor dealer,Tractor dealer,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",N/A,N/A,4.8,,"Ghanpur(Station, Telangana 506144",796181,17.866636,79.3819613,ChIJlQGsALRTMzoR2a3MdjKNiCQ,https://www.google.com/maps/place/?q=place_id:ChIJlQGsALRTMzoR2a3MdjKNiCQ,part_372,2026-09-20 20:19:19
Mahindra Tractors - Vinay Auto Tech Pvt Ltd,Commercial Vehicle and Tractor Dealer,Tractor dealer,"Tractor dealer, Farm equipment supplier, Tractor repair shop",796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 91542 84475,https://www.mahindratractor.com/,3.8,,"No 1-98/1/A/A/1, Main Road, opposite Bajaj Showroom, Padma Nagar, Chennur, Telangana 504201",Padma Nagar,18.852147,79.7767009,ChIJjy2Om1TqMjoRBiCAF35ISdQ,https://www.google.com/maps/place/?q=place_id:ChIJjy2Om1TqMjoRBiCAF35ISdQ,part_372,2026-09-20 20:19:19
Jai Bajrang Auto Sales,Commercial Vehicle and Tractor Dealer,Tractor dealer,Tractor dealer,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 93696 84162,N/A,5.0,,"Rasulabad, Uttar Pradesh 209306",796181,26.6729015,79.7791847,ChIJ569yzx_dnTkRbAihSe7vpvU,https://www.google.com/maps/place/?q=place_id:ChIJ569yzx_dnTkRbAihSe7vpvU,part_372,2026-09-20 20:19:19
