business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
D&E Car Bazar,Car Showroom and Used Car Dealer,Used car dealer,"Used car dealer, Auto insurance agency, Car finance and loan company, Motor scooter dealer, Motor vehicle dealer, Two Wheeler Dealer, Used motorcycle dealer",796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 91637 71323,http://dandecarbazar.com/,5.0,23.0,"New street, Saron Veng, Ch Chhunga Road, near Local Council house, Aizawl, Mizoram 796001",796181,23.7327108,92.7192182,ChIJs1kwR7GVTTcRpdy4H6VCId0,https://www.google.com/maps/place/?q=place_id:ChIJs1kwR7GVTTcRpdy4H6VCId0,part_372,2026-09-20 20:19:18,2478
"NEXA (G.I.G Motors, Aizawl, Thuampui)",Car Showroom and Used Car Dealer,Car dealer,Car dealer,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 80 6251 1021,https://www.nexaofthuampui.com/?utm_source=gmb&utm_medium=google&utm_campaign=seo-local,5.0,1548.0,"Lunglei Rd, opposite Helipad, Thuampui, Aizawl, Mizoram 796017",Thuampui,23.7472158,92.7357821,ChIJocGNADnrTTcRlDt9xhjrLUs,https://www.google.com/maps/place/?q=place_id:ChIJocGNADnrTTcRlDt9xhjrLUs,part_372,2026-09-20 20:19:18,2479
"Maruti Suzuki ARENA (G.I.G Motors, Aizawl, Edenthar)",Car Showroom and Used Car Dealer,Car dealer,Car dealer,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 80 6251 3652,https://www.arenaofedenthar.com/?utm_source=gmb&utm_medium=google&utm_campaign=seo-local,4.7,2109.0,"NH 44A, Edenthar, Aizawl, Mizoram 796007",Edenthar,23.7521974,92.7182619,ChIJPRXd90frTTcRGz1B5XA3IVc,https://www.google.com/maps/place/?q=place_id:ChIJPRXd90frTTcRGz1B5XA3IVc,part_372,2026-09-20 20:19:18,2480
CK Hyundai Servicing & Parts,Car Showroom and Used Car Dealer,Hyundai dealer,Hyundai dealer,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 96127 63250,https://ck.hyundaimotor.in/,4.4,343.0,"Falkland Rd, Aizawl, Mizoram 796008",796181,23.733261499999998,92.73511239999999,ChIJIXgf5iqVTTcRklAQq6OqQR8,https://www.google.com/maps/place/?q=place_id:ChIJIXgf5iqVTTcRklAQq6OqQR8,part_372,2026-09-20 20:19:18,2481
Momita Auto Zone,Car Showroom and Used Car Dealer,Used car dealer,"Used car dealer, Car dealer, Used motorcycle dealer",796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 91017 37912,https://momitaautozone.in/,4.5,30.0,"Gate no :- 2, Assam - Agartala Rd, opposite Power Grid Office, Ratiabari, Noydrone, Kumarghat, Tripura 799264",Ratiabari,24.1484366,92.02053289999999,ChIJJ4G1NSqJUTcRpB6NnLN7fck,https://www.google.com/maps/place/?q=place_id:ChIJJ4G1NSqJUTcRpB6NnLN7fck,part_372,2026-09-20 20:19:18,2482
AC ENTERPRISES IMPHAL,Car Showroom and Used Car Dealer,Used car dealer,Used car dealer,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 93625 84872,http://acenterprisesimphal.net/,4.9,45.0,"Sagolband Rd, Tera Loukrakpam Leikai, Sagolband, Imphal, Manipur 795001","Tera Loukrakpam Leikai, Sagolband",24.8053732,93.91663919999999,ChIJnefb5_wnSTcRxPLBE0X8Gcg,https://www.google.com/maps/place/?q=place_id:ChIJnefb5_wnSTcRxPLBE0X8Gcg,part_372,2026-09-20 20:19:18,2483
Deccan Cars,Car Showroom and Used Car Dealer,Used car dealer,Used car dealer,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 98498 36501,N/A,4.9,274.0,"Road No 1, near by Kothirampur, Karimnagar, Telangana 505001",Kothirampur,18.413964,79.13752219999999,ChIJ26R202jZzDsR5vNDB4UeNbA,https://www.google.com/maps/place/?q=place_id:ChIJ26R202jZzDsR5vNDB4UeNbA,part_372,2026-09-20 20:19:18,2484
NEW KAKATIYA CARS USED CAR SHOWROOM,Car Showroom and Used Car Dealer,Used car dealer,Used car dealer,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 93948 61831,N/A,4.8,37.0,"Sri Sai Nagar Colony, Shyampet, Hanamkonda, Telangana 506001","Sri Sai Nagar Colony, Shyampet",17.987546899999998,79.570455,ChIJczOjWiZFMzoRdR-tKKHpvvQ,https://www.google.com/maps/place/?q=place_id:ChIJczOjWiZFMzoRdR-tKKHpvvQ,part_372,2026-09-20 20:19:18,2485
Mizo Car Bazar & Accessories,Car Showroom and Used Car Dealer,Car stereo store,Car stereo store,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 98627 26303,N/A,4.1,108.0,"Ramhlun N Rd, Chaltlang, Aizawl, Mizoram 796014",Chaltlang,23.750233899999998,92.72487319999999,ChIJ7fDXjzDrTTcRd55s6tMkE2w,https://www.google.com/maps/place/?q=place_id:ChIJ7fDXjzDrTTcRd55s6tMkE2w,part_372,2026-09-20 20:19:18,2486
"TATA.CARS Showroom - National Business Enterprises, Khatla",Car Showroom and Used Car Dealer,Car dealer,"Car dealer, Auto Accessories Store, Electric motor vehicle dealer",796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 70451 15329,https://dealer-locator.cars.tatamotors.com/tata-cars-showroom-national-business-enterprises-khatla-car-dealer-khatla-aizawl-78377/Home?utm_source=locator&utm_medium=googleplaces,4.8,391.0,"No E 1, Johnson Estate, Peter St, Khatla, Aizawl, Mizoram 796001",Khatla,23.718615999999997,92.7179958,ChIJTdtOWeuVTTcRoFsHC3RZyeE,https://www.google.com/maps/place/?q=place_id:ChIJTdtOWeuVTTcRoFsHC3RZyeE,part_372,2026-09-20 20:19:18,2487
