business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
New Government Junior College and Degree College,Junior College and Degree College,Junior college,"Junior college, Government college",802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",N/A,N/A,4.2,,"Oppsite, Anusha Granites, Vivek Nagar, Kukatpally, Hyderabad, Telangana 500072","Vivek Nagar, Kukatpally",17.4810801,78.41537,ChIJxfEBIaWRyzsRVo-RliSGy5Y,https://www.google.com/maps/place/?q=place_id:ChIJxfEBIaWRyzsRVo-RliSGy5Y,part_377,2026-09-20 20:19:28,3655
VIJETHA Junior and Degree College,Junior College and Degree College,College,College,802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 77804 22339,https://vijethacollege.com/,4.7,141.0,"Beside HP Petrol Bunk, Allwyn Colony, Pipeline Rd, Vivekananda Nagar, Kukatpally, Hyderabad, Telangana 500072","Vivekananda Nagar, Kukatpally",17.4992025,78.413682,ChIJ0WfnLQCRyzsRUGleBPsgrJM,https://www.google.com/maps/place/?q=place_id:ChIJ0WfnLQCRyzsRUGleBPsgrJM,part_377,2026-09-20 20:19:29,3656
PGR JUNIOR COLLEGE,Junior College and Degree College,College,College,802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 91000 97077,https://pgrjuniorcollege.com/,4.7,84.0,"6-2/271/A, opp. BJP Office Road, M J Colony, Vivek Nagar, Kukatpally, Hyderabad, Telangana 500072","M J Colony, Vivek Nagar, Kukatpally",17.4825038,78.4135866,ChIJoY3EkbeRyzsRYqagE9ivxF8,https://www.google.com/maps/place/?q=place_id:ChIJoY3EkbeRyzsRYqagE9ivxF8,part_377,2026-09-20 20:19:29,3657
Deeksha Junior College KPHB,Junior College and Degree College,College,College,802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 91606 00739,http://www.deekshaeducation.com/,4.8,216.0,"MIG - 8, Kukatpally Housing Board Colony, Phase 1, K P H B Phase 1, Kukatpally, Hyderabad, Telangana 500072","Kukatpally Housing Board Colony, Phase 1, K P H B Phase 1, Kukatpally",17.492549099999998,78.4026908,ChIJQ8R9Kg-RyzsRvAjtCRoUx8Q,https://www.google.com/maps/place/?q=place_id:ChIJQ8R9Kg-RyzsRvAjtCRoUx8Q,part_377,2026-09-20 20:19:29,3658
Avinash College of Commerce (Degree) - KPHB,Junior College and Degree College,Educational institution,Educational institution,802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 99492 22244,https://acc.edu.in/kukatpally-degree-branch/,4.5,3864.0,"53 & 54, ACC Towers, Plot No. 21, Usha Mullapudi Rd, behind South India Shopping Mall, Kukatpally Housing Board Colony, A.S.Raju Nagar, Vivekananda Nagar, Kukatpally, Hyderabad, Telangana 500072","Kukatpally Housing Board Colony, A.S.Raju Nagar, Vivekananda Nagar, Kukatpally",17.4936836,78.40468369999999,ChIJv7hHuZSRyzsRgyRSNhnq26w,https://www.google.com/maps/place/?q=place_id:ChIJv7hHuZSRyzsRgyRSNhnq26w,part_377,2026-09-20 20:19:29,3659
"Narayana Junior Colleges - Kukatpally, Hyderabad",Junior College and Degree College,Junior college,"Junior college, CBSE School, College, Education center, Educational institution",802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 1800 102 3344,https://branches.narayanajuniorcolleges.com/narayana-junior-college/centre-in-hyderabad/centre-in-Kukatpally/narayana-junior-college-in-Kukatpally-hyderabad--1oMqdi/home,4.8,18.0,"House No 12, Jaya Complex, Balanagar Mandal, 6-2/219/1, Main Road, nearby Metro Piller, Vivek Nagar, Kukatpally, Hyderabad, Telangana 500072","Vivek Nagar, Kukatpally",17.4836374,78.41453709999999,ChIJl-KCgbuRyzsRuyt3W-6wYx8,https://www.google.com/maps/place/?q=place_id:ChIJl-KCgbuRyzsRuyt3W-6wYx8,part_377,2026-09-20 20:19:29,3660
"Government Degree College, Kukatpally",Junior College and Degree College,College,College,802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",N/A,https://gdcts.cgg.gov.in/kukatpally.edu,4.1,356.0,"FCJ8+J67, Vivek Nagar, Kukatpally, Hyderabad, Telangana 500072","Vivek Nagar, Kukatpally",17.4815298,78.4155518,ChIJSf8GhpiRyzsR_yUB8t-DFmw,https://www.google.com/maps/place/?q=place_id:ChIJSf8GhpiRyzsR_yUB8t-DFmw,part_377,2026-09-20 20:19:29,3661
Royal Junior College,Junior College and Degree College,Junior college,Junior college,802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 40 2370 1130,http://www.royalcolleges.in/,4.1,89.0,"No. 14/3RT, Opp Andhra Bank, Sanjeeva Reddy Nagar Road, Sanjeeva Reddy Nagar, Hyderabad, Telangana 500038","Sanjeeva Reddy Nagar Office Area, Sanjeeva Reddy Nagar",17.442288599999998,78.4423139,ChIJryAFo8SQyzsR-1rbDZJyoQQ,https://www.google.com/maps/place/?q=place_id:ChIJryAFo8SQyzsR-1rbDZJyoQQ,part_377,2026-09-20 20:19:29,3662
Prathibha Degree & PG College,Junior College and Degree College,College,"College, Educational institution",802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 93907 26237,https://prathibhacolleges.in/,4.0,421.0,"Metro Pillar No. 814, PRATHIBHA DEGREE AND PG COLLEGE HNo.12-6-2/210, Road No. 4, opposite BJP Office Road, Vivek Nagar, Kukatpally, Hyderabad, Telangana 500072","Vivek Nagar, Kukatpally",17.482202,78.4128296,ChIJVcYqU5-RyzsRXC_VG4DvnFE,https://www.google.com/maps/place/?q=place_id:ChIJVcYqU5-RyzsRXC_VG4DvnFE,part_377,2026-09-20 20:19:29,3663
Pragathi junior college girls,Junior College and Degree College,College,College,802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",N/A,N/A,4.5,,"FCR5+G83, Vivekananda Nagar, Kukatpally, Hyderabad, Telangana 500072","Vivekananda Nagar, Kukatpally",17.4912729,78.4082907,ChIJnSeOHOSRyzsR52XIzcBxy8g,https://www.google.com/maps/place/?q=place_id:ChIJnSeOHOSRyzsR52XIzcBxy8g,part_377,2026-09-20 20:19:29,3664
