business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Form and space architects,Architects,Architecture firm,"Architecture firm, Interior architect office, Landscape architect",795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",N/A,http://formnspaceimphal.com/,4.8,14.0,"Sougaijam Leirak Rd, opposite Symasakhi School, Moirangkhom Loklaobung, Sougaijam Leikai, Imphal, Manipur 795001","Moirangkhom Loklaobung, Sougaijam Leikai",24.792715899999997,93.9414994,ChIJVVVVVaUnSTcRI4O47pBgOYA,https://www.google.com/maps/place/?q=place_id:ChIJVVVVVaUnSTcRI4O47pBgOYA,part_371,2026-09-20 20:19:17
BIS Architecture LLP,Architects,Architecture firm,"Architecture firm, Interior designer, Landscape designer",795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 84139 79966,N/A,4.9,39.0,"Besides Iboyaima Printers, Moirangkhom Loklaobung, Makha Leirak, Imphal, Manipur 795001","Moirangkhom Loklaobung, Makha Leirak",24.7892117,93.9413359,ChIJexd321smSTcRkWYLCksf1_w,https://www.google.com/maps/place/?q=place_id:ChIJexd321smSTcRkWYLCksf1_w,part_371,2026-09-20 20:19:17
BUILD-X ARCHITECTS,Architects,Architecture firm,Architecture firm,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 89748 93160,N/A,5.0,8.0,"purana rajbari, Nongmeibung Rd, Angom Colony, Imphal, Lairikyengbam Leikai, Manipur 795005",Angom Colony,24.804927,93.9522793,ChIJxwPiYYcnSTcRbpXcX4A61zI,https://www.google.com/maps/place/?q=place_id:ChIJxwPiYYcnSTcRbpXcX4A61zI,part_371,2026-09-20 20:19:17
IKO Architects,Architects,Architecture firm,Architecture firm,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",N/A,N/A,5.0,1.0,"Leikai, Sangaiprou Mamang, Imphal, Manipur 795001",795116,24.7820908,93.91483,ChIJazoNxoknSTcRrDQupyXKI8Q,https://www.google.com/maps/place/?q=place_id:ChIJazoNxoknSTcRrDQupyXKI8Q,part_371,2026-09-20 20:19:17
YUMe Design Studio,Architects,Architecture firm,Architecture firm,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 94360 37900,N/A,4.8,17.0,"Ayangpalli Road, Porompat, Imphal, Manipur 795001",Khongnang Makhong,24.811402599999997,93.9588751,ChIJOc6rSdonSTcRG_gtD5mj95k,https://www.google.com/maps/place/?q=place_id:ChIJOc6rSdonSTcRG_gtD5mj95k,part_371,2026-09-20 20:19:17
Huidrom Design Studio,Architects,Architecture firm,"Architecture firm, Interior designer",795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 96320 22388,http://www.huidromdesignstudio.com/,4.8,4.0,"20, Khurai Salanthong Chaithabi Leirak, Khurai Salanthong, Imphal, Manipur 795010","Khurai Salanthong Chaithabi Leirak, Khurai Salanthong",24.8312061,93.9646044,ChIJMZF-lAInSTcRuPKKUlsOD20,https://www.google.com/maps/place/?q=place_id:ChIJMZF-lAInSTcRuPKKUlsOD20,part_371,2026-09-20 20:19:17
KARTA KLAN ARCHITEK,Architects,Architect,Architect,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 97112 38642,https://www.facebook.com/kartaklanarchitek/,,,"Longjam Leirak, Maning Longjam Leikai, Keishamthong, Imphal, Manipur 795001","Maning Longjam Leikai, Keishamthong",24.7936357,93.93363719999999,ChIJ8UXH8EInSTcR6waekvcfmW8,https://www.google.com/maps/place/?q=place_id:ChIJ8UXH8EInSTcR6waekvcfmW8,part_371,2026-09-20 20:19:17
Devson Decor,Architects,Interior designer,"Interior designer, Interior construction contractor",795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",N/A,N/A,4.4,30.0,"2nd floor, Naoremthong Bazaar, Uripok Kangchup Rd, above Salai Mart, Uripok, Imphal, Manipur 795001",Uripok,24.8075324,93.9163013,ChIJRbRrlbknSTcRx0CRIWJG8IU,https://www.google.com/maps/place/?q=place_id:ChIJRbRrlbknSTcRx0CRIWJG8IU,part_371,2026-09-20 20:19:17
KOHORT DESIGN & BUILD,Architects,Interior designer,"Interior designer, Building consultant, Building materials supplier, Home builder, Real Estate Builders & Construction Company, Real estate appraiser, Steel construction company, Structural engineer",795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",N/A,N/A,5.0,4.0,"Ccpur Parking, Keishamthong Laisom Leirak, opposite to ISCOM, Keishampat, Keishamthong, Imphal, Manipur 795001","Keishampat, Keishamthong",24.798077,93.9336653,ChIJ02YOF10mSTcR5i2BSwJB7w0,https://www.google.com/maps/place/?q=place_id:ChIJ02YOF10mSTcR5i2BSwJB7w0,part_371,2026-09-20 20:19:17
Sajana CNC milling and engraving co,Architects,Architecture firm,Architecture firm,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 87875 43691,N/A,5.0,3.0,"Khurai Rd, above Punjab and Sind Bank, Thoidingjam Leikai, Imphal, Manipur 795010",Thoidingjam Leikai,24.8261497,93.9653884,ChIJDz0SnQknSTcRpDbu_yvD6cY,https://www.google.com/maps/place/?q=place_id:ChIJDz0SnQknSTcRpDbu_yvD6cY,part_371,2026-09-20 20:19:17
Habitat Design Studio,Architects,Architect,Architect,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",N/A,N/A,5.0,6.0,"Tera, Sayang Rd, Sagolband Thangjam Leirak, Tera Bazar, Sagolband, Imphal, Manipur 795001","Sagolband Thangjam Leirak, Tera Bazar, Sagolband",24.7989949,93.91960739999999,ChIJlTpAId0nSTcRjwEBrfwIKzI,https://www.google.com/maps/place/?q=place_id:ChIJlTpAId0nSTcRjwEBrfwIKzI,part_371,2026-09-20 20:19:17
