business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Makeup Magic,Cosmetics Wholesaler,Cosmetics store,Cosmetics store,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 97744 95747,N/A,4.5,47.0,"RXF7+52C, Lamlong Bridge, bazar, Khurai, Imphal, Manipur 795010",bazar,24.8229707,93.96272909999999,ChIJ46S4ABQnSTcRwyIAXXnP_CM,https://www.google.com/maps/place/?q=place_id:ChIJ46S4ABQnSTcRwyIAXXnP_CM,part_371,2026-09-20 20:19:19
Kaybiyu Cosmetics,Cosmetics Wholesaler,Cosmetics store,Cosmetics store,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",N/A,N/A,5.0,7.0,"QWX8+CC2, Lukram Leirak Rd, Machin, Sagolband, Imphal, Manipur 795004","Machin, Sagolband",24.7985056,93.91600629999999,ChIJm-9x0WgnSTcRNewz0QADfX4,https://www.google.com/maps/place/?q=place_id:ChIJm-9x0WgnSTcRNewz0QADfX4,part_371,2026-09-20 20:19:19
I LOVE COSMETICS,Cosmetics Wholesaler,Cosmetics store,Cosmetics store,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",N/A,N/A,4.7,14.0,"RX43+QJM, Nongmeibung Old Checkon Bazaar, opposite Ananda Academy, Manipur 795001",Angom Colony,24.806967699999998,93.9540597,ChIJXZN6C04nSTcRGqsv2xnOoSE,https://www.google.com/maps/place/?q=place_id:ChIJXZN6C04nSTcRGqsv2xnOoSE,part_371,2026-09-20 20:19:19
"Aphrodite, The Beauty Buffet",Cosmetics Wholesaler,Cosmetics store,Cosmetics store,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",N/A,N/A,4.9,7.0,"Singjamei, Imphal, Manipur 795008",Singjamei,24.784278099999998,93.9386698,ChIJx7CKmT0nSTcR-6Sir8MYacI,https://www.google.com/maps/place/?q=place_id:ChIJx7CKmT0nSTcR-6Sir8MYacI,part_371,2026-09-20 20:19:19
Manoj mona Cosmetic,Cosmetics Wholesaler,Cosmetics store,Cosmetics store,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 70057 07592,N/A,4.2,10.0,"Shop Number, Alu Gali, behind Ima market, Thangal Bazar, Imphal, Manipur 795001",Thangal Bazar,24.8081976,93.9339882,ChIJPeNGJgQnSTcRRsWezpzhrXI,https://www.google.com/maps/place/?q=place_id:ChIJPeNGJgQnSTcRRsWezpzhrXI,part_371,2026-09-20 20:19:19
Alice Cosmetic Store,Cosmetics Wholesaler,Cosmetics store,Cosmetics store,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 84138 36868,N/A,3.5,19.0,"Canchipur, Imphal, Khongman, Manipur 795003",Canchipur,24.7547279,93.9346777,ChIJ8SXHLiIlSTcRVbBnEbMTqFg,https://www.google.com/maps/place/?q=place_id:ChIJ8SXHLiIlSTcRVbBnEbMTqFg,part_371,2026-09-20 20:19:19
ARUSH COSMETIC AND JEWELLERY,Cosmetics Wholesaler,Cosmetics store,Cosmetics store,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 70052 42206,N/A,5.0,3.0,"Merai Colony, Kshetri Bengoon Mayai Leikai, Imphal, Manipur 795005","Merai Colony, Kshetri Bengoon Mayai Leikai",24.798876,93.973306,ChIJBTsx1NInSTcRjg4Lt__3rP8,https://www.google.com/maps/place/?q=place_id:ChIJBTsx1NInSTcRjg4Lt__3rP8,part_371,2026-09-20 20:19:19
KHUDOL LEITENG,Cosmetics Wholesaler,Cosmetics store,Cosmetics store,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 80140 85568,https://www.instagram.com/khudol_leiteng?igsh=MXZ0czRxZmR4am04bg==,4.6,19.0,"Thongju Prchu Lampak, Thongju Pechu Lampak, Imphal, Manipur 795003",795116,24.7591537,93.9355825,ChIJsc680-cnSTcR8FUnl3mcyOY,https://www.google.com/maps/place/?q=place_id:ChIJsc680-cnSTcR8FUnl3mcyOY,part_371,2026-09-20 20:19:19
MOULANA INCORPORATION,Cosmetics Wholesaler,Cosmetics wholesaler,"Cosmetics wholesaler, Cosmetics store",795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 94351 91376,N/A,4.0,83.0,"Gopalganj, Kanakpur, Silchar, Assam 788001","Gopalganj, Kanakpur",24.8234262,92.8009618,ChIJy73VVdxLTjcRfIBheYw1Dw0,https://www.google.com/maps/place/?q=place_id:ChIJy73VVdxLTjcRfIBheYw1Dw0,part_371,2026-09-20 20:19:19
Raju Cosmetic,Cosmetics Wholesaler,Cosmetics store,Cosmetics store,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 93622 76432,N/A,5.0,1.0,"White House, Thangal Bazar, Ghari, Imphal, Manipur 795001",Thangal Bazar,24.8089263,93.93461479999999,ChIJn-VqM9onSTcRlm-JaGmQIFw,https://www.google.com/maps/place/?q=place_id:ChIJn-VqM9onSTcRlm-JaGmQIFw,part_371,2026-09-20 20:19:19
Yamee Cosmetics,Cosmetics Wholesaler,Cosmetics wholesaler,Cosmetics wholesaler,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",N/A,N/A,,,"RW4M+8G8, Paona Bazar, Imphal, Manipur 795001",Paona Bazar,24.805795099999997,93.9338203,ChIJneL_LrMnSTcRdAJgJWOXvoc,https://www.google.com/maps/place/?q=place_id:ChIJneL_LrMnSTcRdAJgJWOXvoc,part_371,2026-09-20 20:19:19
Oriflame Store,Cosmetics Wholesaler,Cosmetics store,"Cosmetics store, Health and beauty shop",795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",N/A,https://in.oriflame.com/,4.1,14.0,"Tiddim Rd, Kwakeithel Makha, Lourembam Leikai, Imphal, Manipur 795001","Kwakeithel Makha, Lourembam Leikai",24.7876703,93.9219863,ChIJSR7IrD4mSTcR9rOPiy1a8Q4,https://www.google.com/maps/place/?q=place_id:ChIJSR7IrD4mSTcR9rOPiy1a8Q4,part_371,2026-09-20 20:19:19
IROM SONIA SPO ORIFLAME,Cosmetics Wholesaler,Cosmetics store,Cosmetics store,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 70059 80213,N/A,5.0,,"RWMX+HWQ, Laipham Siphai, Heingang, Manipur 795010",795116,24.8339502,93.9498512,ChIJy2fLPAAnSTcRpuCsFRZjm84,https://www.google.com/maps/place/?q=place_id:ChIJy2fLPAAnSTcRpuCsFRZjm84,part_371,2026-09-20 20:19:19
S2 Shop,Cosmetics Wholesaler,Cosmetics store,Cosmetics store,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 60098 00736,N/A,,,"Kasimpur Road, Kasimpur, Jiribam, Manipur 795116",Kasimpur,24.768875599999998,93.11554869999999,ChIJf0T0Q_r5TjcR9eKjhdH71ZU,https://www.google.com/maps/place/?q=place_id:ChIJf0T0Q_r5TjcR9eKjhdH71ZU,part_371,2026-09-20 20:19:20
RAMU COSMETICS,Cosmetics Wholesaler,Cosmetics store,Cosmetics store,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 96120 34321,N/A,,,"RAMU COSMETICS, Jiribam, Manipur 795116",795116,24.8030317,93.11112709999999,ChIJvY9cO0z_TjcR53ro__kbil0,https://www.google.com/maps/place/?q=place_id:ChIJvY9cO0z_TjcR53ro__kbil0,part_371,2026-09-20 20:19:20
