business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
ROYAL FURNISH IMPHAL,Furniture Showroom,Furniture store,Furniture store,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 91003 44841,N/A,4.8,67.0,"Changangei ucheckon, airport road, Imphal, Manipur 795140",795116,24.770230299999998,93.9013038,ChIJqdPK-FApSTcRK3ITTZQDBFM,https://www.google.com/maps/place/?q=place_id:ChIJqdPK-FApSTcRK3ITTZQDBFM,part_371,2026-09-20 20:19:18
Planet Interio,Furniture Showroom,Furniture wholesaler,"Furniture wholesaler, Furniture Manufacturer, Home improvement store",795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 94296 91445,http://www.planetinterio.com/,4.5,55.0,"Canchipur, Langthabal Kunja, Khongman, Manipur 795003",Canchipur,24.7445547,93.9346269,ChIJS2AgIsUlSTcRsotMlNlKqOg,https://www.google.com/maps/place/?q=place_id:ChIJS2AgIsUlSTcRsotMlNlKqOg,part_371,2026-09-20 20:19:18
Smart Furniture,Furniture Showroom,Furniture store,Furniture store,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 70021 51791,N/A,,,"Jirighat, Jiribam, Manipur 795116",795116,24.808424,93.1107043,ChIJ0xVhtbf_TjcRCSS8yZx9yLY,https://www.google.com/maps/place/?q=place_id:ChIJ0xVhtbf_TjcRCSS8yZx9yLY,part_371,2026-09-20 20:19:18
Altab furniture house 786,Furniture Showroom,Furniture store,Furniture store,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",N/A,N/A,1.0,1.0,"Sonapur part 1, Kadamtala, Jiribam, Manipur 795116",Kadamtala,24.7681021,93.13642759999999,ChIJfVe9KcH5TjcR4Z3hnMs7WSE,https://www.google.com/maps/place/?q=place_id:ChIJfVe9KcH5TjcR4Z3hnMs7WSE,part_371,2026-09-20 20:19:18
Woody Imphal,Furniture Showroom,Furniture store,Furniture store,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",N/A,N/A,4.1,,"QWH6+8G2, NH2, Imphal, Ghari, Manipur 795001",795116,24.7782666,93.9112636,ChIJw9cczR4mSTcRBqXxPVURR3Y,https://www.google.com/maps/place/?q=place_id:ChIJw9cczR4mSTcRBqXxPVURR3Y,part_371,2026-09-20 20:19:19
Furniture Square,Furniture Showroom,Furniture store,"Furniture store, Used office furniture store",795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",N/A,N/A,4.8,,"International Airport, NH2, near Imphal, Imphal, Lamjaotongba, Manipur 795140",795116,24.7722056,93.90369129999999,ChIJfdZLw7opSTcRZe6QjbM80yc,https://www.google.com/maps/place/?q=place_id:ChIJfdZLw7opSTcRZe6QjbM80yc,part_371,2026-09-20 20:19:19
SMART HOME FURNITURE,Furniture Showroom,Furniture store,Furniture store,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 89748 91478,N/A,5.0,,"Kyamgei, Nongpok Inkhol, Imphal, Manipur 795001","Kyamgei, Nongpok Inkhol",24.8055527,93.9491369,ChIJKQGRMgAnSTcRiJoUasCJ1Ls,https://www.google.com/maps/place/?q=place_id:ChIJKQGRMgAnSTcRiJoUasCJ1Ls,part_371,2026-09-20 20:19:19
M.I. Furniture,Furniture Showroom,Furniture store,"Furniture store, Furniture Manufacturer",795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 79820 56576,N/A,5.0,,"Akham Leikai, Tera Amudon, Sagolband, Imphal, Manipur 795001","Akham Leikai, Tera Amudon, Sagolband",24.802118699999998,93.9174534,ChIJVVVVZS0mSTcRIX20Epbh_bc,https://www.google.com/maps/place/?q=place_id:ChIJVVVVZS0mSTcRIX20Epbh_bc,part_371,2026-09-20 20:19:19
SINLUNG INTERIOR,Furniture Showroom,Furniture store,Furniture store,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 97079 23799,N/A,4.9,43.0,"David Ramenglien, Jiribam Road, Fulertal, Assam 788103",Tolengram,24.794278,93.0204727,ChIJk_4sPwBVTjcRKFfOpo8d_K8,https://www.google.com/maps/place/?q=place_id:ChIJk_4sPwBVTjcRKFfOpo8d_K8,part_371,2026-09-20 20:19:20
Shiv furniture,Furniture Showroom,Furniture store,Furniture store,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",N/A,N/A,4.6,15.0,"V358+MRM, Pailapool - Rajabazar- Harinagar - Kumachara Rd, Dikcha Grant, Kamranga Bond Pt I, Assam 788107",795116,24.8592187,93.0670363,ChIJpaQen5BVTjcR9gBi5x_hDLA,https://www.google.com/maps/place/?q=place_id:ChIJpaQen5BVTjcR9gBi5x_hDLA,part_371,2026-09-20 20:19:20
