business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Paona Health Care Physiotherapy Centre,Orthopedic and Physiotherapy Clinic,Physiotherapist,Physiotherapist,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 70051 82390,N/A,5.0,,"Paona Road Paona Bazar 1st floor gypsy building, Imphal, Manipur 795001",Paona Bazar,24.801096599999997,93.9351635,ChIJq4BduU0mSTcRHEpAf5sE-ws,https://www.google.com/maps/place/?q=place_id:ChIJq4BduU0mSTcRHEpAf5sE-ws,part_371,2026-09-20 20:19:10
N&B Physiotherapy & Rehabilitation Center,Orthopedic and Physiotherapy Clinic,Physiotherapist,Physiotherapist,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",N/A,N/A,5.0,,"Near Assam Rifle Camp Old bridge road, Pallel Thong Bridge, Manipur 795135",795116,24.4540862,94.0248384,ChIJqVedARpBSTcRM-HKM2H0x0U,https://www.google.com/maps/place/?q=place_id:ChIJqVedARpBSTcRM-HKM2H0x0U,part_371,2026-09-20 20:19:10
PANACEA PHYSIOTHERAPY & PAIN MANAGEMENT CLINIC,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,"Physiotherapy Center, Medical clinic",795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 90892 41385,https://www.facebook.com/paramountphysio/,4.9,,"behind Old UCO Bank, Ward No. 7, Bishnupur, Manipur 795126",Ward No. 7,24.626908999999998,93.761057,ChIJveP41N0ySTcRxoJQwyDIksk,https://www.google.com/maps/place/?q=place_id:ChIJveP41N0ySTcRxoJQwyDIksk,part_371,2026-09-20 20:19:10
"NEUROLOGICAL PHYSICAL THERAPY CLINIC,MANIPUR ( A Multispeciality Residencial Neuro & Ortho Rehabilitation Clinic)",Orthopedic and Physiotherapy Clinic,Physiotherapist,Physiotherapist,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 70056 75927,http://www.nptcmanipur.com/,5.0,,"Thoubal, Manipur 795138",795116,24.6298182,93.93582289999999,ChIJ49M4TA87STcRJ4FxVhMnSoc,https://www.google.com/maps/place/?q=place_id:ChIJ49M4TA87STcRJ4FxVhMnSoc,part_371,2026-09-20 20:19:10
Physiotheraphy Clinic,Orthopedic and Physiotherapy Clinic,Doctor,Doctor,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",N/A,N/A,5.0,,"near, Sangaiprou Kabui Rd, FCI Godown, Imphal, Manipur 795140",FCI Godown,24.7877387,93.9120418,ChIJ6VGlGXEnSTcRaLuDIuusOu4,https://www.google.com/maps/place/?q=place_id:ChIJ6VGlGXEnSTcRaLuDIuusOu4,part_371,2026-09-20 20:19:10
"Physio Care Clinic, Pungdongbam Lamkhai",Orthopedic and Physiotherapy Clinic,Physiotherapy Center,Physiotherapy Center,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",N/A,N/A,5.0,,"V2CQ+9PC, Pungdongbam, Manipur 795010",795116,24.8709414,94.0392778,ChIJSwm7SQDfSDcRMT-dcDMN6gY,https://www.google.com/maps/place/?q=place_id:ChIJSwm7SQDfSDcRMT-dcDMN6gY,part_371,2026-09-20 20:19:10
Physiotherapy &pain clinic,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,Physiotherapy Center,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",N/A,N/A,5.0,,"PR8P+9MX, Imphal, Nambol, Manipur 795134",795116,24.715994199999997,93.8367967,ChIJSf-XBQAvSTcRm41k2nNCncg,https://www.google.com/maps/place/?q=place_id:ChIJSf-XBQAvSTcRm41k2nNCncg,part_371,2026-09-20 20:19:10
LEISHI SPORTS PHYSIOTHERAPY AND OSTEOPATHIC CLINIC,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,"Physiotherapy Center, Health consultant",795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 99110 40956,https://leishi-sports.grexa.site/,5.0,,"Bhudhiraj Road, near Youth Welfare Club, Moirangthem Leikai, Kakching, Manipur 795103",Moirangthem Leikai,24.4968696,93.9812449,ChIJT7-MpEE5STcRiJ_jR8GmHjA,https://www.google.com/maps/place/?q=place_id:ChIJT7-MpEE5STcRiJ_jR8GmHjA,part_371,2026-09-20 20:19:10
Physio Healer & Rehabilitation Clinic,Orthopedic and Physiotherapy Clinic,Medical Center,Medical Center,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 96121 00566,N/A,5.0,,"PO, Komlathabi, Pallel Mamang Leikai, Manipur 795135",795116,24.4300177,94.0118415,ChIJecWaa2dBSTcRVjqjcS4mwx4,https://www.google.com/maps/place/?q=place_id:ChIJecWaa2dBSTcRVjqjcS4mwx4,part_371,2026-09-20 20:19:10
Revive Physiotherapy Clinic,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,"Physiotherapy Center, Physiotherapist",795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 85870 34659,N/A,5.0,,"Rikhumai Taphou, NH2 Highway, opposite Blath Clinic, Senapati, Manipur 795106",795116,25.2669382,94.0207925,ChIJzReGQga_SDcReh528GpvDKA,https://www.google.com/maps/place/?q=place_id:ChIJzReGQga_SDcReh528GpvDKA,part_371,2026-09-20 20:19:10
Physiotherapy & Rehabilitation Centre,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,Physiotherapy Center,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 98628 46896,N/A,5.0,,"Mamang Leirak, Salam Leikai, Sagolband, Imphal, Manipur 795001","Salam Leikai, Sagolband",24.804109,93.9314277,ChIJ3_I3y6InSTcR4KD71FQDTho,https://www.google.com/maps/place/?q=place_id:ChIJ3_I3y6InSTcR4KD71FQDTho,part_371,2026-09-20 20:19:10
Top Prosthetics Orthotics Rehabilitation Centre,Orthopedic and Physiotherapy Clinic,Doctor,Doctor,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 93624 19544,N/A,4.9,,"Nongmeibung Rd, Angom Colony, Imphal, Lairikyengbam Leikai, Manipur 795001",Angom Colony,24.804344099999998,93.9538279,ChIJr0pYfConSTcRCEHUBWfuszs,https://www.google.com/maps/place/?q=place_id:ChIJr0pYfConSTcRCEHUBWfuszs,part_371,2026-09-20 20:19:10
CI PHYSIOTHERAPY CLINIC,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,Physiotherapy Center,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",N/A,N/A,5.0,,"Khongman zone 2, opposite UNACCO SCHOOL, near BASU Dukan, Imphal, Manipur 795003",795116,24.7777706,93.950743,ChIJTe7pLC4nSTcRLgYS_pYDrAg,https://www.google.com/maps/place/?q=place_id:ChIJTe7pLC4nSTcRLgYS_pYDrAg,part_371,2026-09-20 20:19:10
SANITATUM PHYSIO CARE,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,Physiotherapy Center,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 96120 06947,N/A,5.0,,"Lamboikhongnangkhong, Emoinu Sanglen, Leirak, Imphal, Manipur 795004","Emoinu Sanglen, Leirak",24.8092427,93.899829,ChIJdU_GYjImSTcRMAKiMQyeQ6s,https://www.google.com/maps/place/?q=place_id:ChIJdU_GYjImSTcRMAKiMQyeQ6s,part_371,2026-09-20 20:19:10
Surbati Physio Therapy Clinic,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,"Physiotherapy Center, Physiotherapist",795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 98628 82767,N/A,5.0,,"Meihoupham Lampak, Wangkhei, Imphal, Manipur 795001",Wangkhei,24.790389299999998,93.9549036,ChIJo6VVVvAmSTcRePm69NgtiYc,https://www.google.com/maps/place/?q=place_id:ChIJo6VVVvAmSTcRePm69NgtiYc,part_371,2026-09-20 20:19:10
Genesis Physio Care,Orthopedic and Physiotherapy Clinic,Physiotherapist,Physiotherapist,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 81320 75320,N/A,5.0,,"RX75+49V, opposite Medilane Service, Ahongei Leikai, Soibam Leikai, Porompat, Kairang Meitei, Manipur 795010","Ahongei Leikai, Soibam Leikai",24.8129113,93.9584483,ChIJ3-H5nr0nSTcRF2461-Xk6uI,https://www.google.com/maps/place/?q=place_id:ChIJ3-H5nr0nSTcRF2461-Xk6uI,part_371,2026-09-20 20:19:10
Surbina Physiotherapy Clinic,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,Physiotherapy Center,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",N/A,N/A,5.0,,"RW2X+CW5, Angom Leikai Rd, Angom Colony, Imphal, Manipur 795001",Angom Colony,24.8010119,93.94984559999999,ChIJrWKKe_8nSTcRNBDz7y-tEiI,https://www.google.com/maps/place/?q=place_id:ChIJrWKKe_8nSTcRNBDz7y-tEiI,part_371,2026-09-20 20:19:10
